supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.807119,-5.41651,0,1.60091e-05,0.807119,28.01
AW 00436,0.813179,-5.30191,0,6.8036e-06,0.813179,27.13
AW 00625,0.0617798,-26.5212,0,0,0.0617798,99.83
AW 00698,1.02953,0.824218,0,0.444028,1.02953,5.18
AW 00801,0.865503,-3.81991,0,0.00126649,0.865503,20.87
AW 00819,1.05809,1.62941,0,0.138157,1.05809,1.52
AW 00844,0.900272,-2.83042,0,0.0107038,0.900272,16.75
AW 00891,1.00139,0.0193781,0,0.43569,1.00139,6.4
AW 00925,1.0154,0.453801,0,0.509886,1.0154,4.63
AW 00962,1.04007,1.13722,0,0.265304,1.04007,1.86
AW 01018,1.04678,1.32249,0,0.186315,1.04678,0.87
AW 01055,1.02735,0.773087,0,0.439532,1.02735,2.5
AW 01109,1.04643,1.30475,0,0.207806,1.04643,0.28
AW 01159,1.0121,0.32891,0,0.63653,1.0121,3.82
AW 01219,1.00395,0.0981331,0,0.600106,1.00395,4.84
AW 01274,0.973676,-0.762262,0,0.554162,0.973676,8.19
BR 00009,0.963372,-1.00501,0,0.453744,0.963372,9.57
BTB 00027,0.969862,-0.840451,0,0.442116,0.969862,9.38
BTB 00084,1.02337,0.663598,0,0.510788,1.02337,4.57
BTB 00241,0.977207,-0.654215,0,0.546116,0.977207,9.67
BTB 00333,0.971549,-0.807641,0,0.42475,0.971549,10.75
BTB 00374,0.995773,-0.119495,0,0.904884,0.995773,8.89
BTB 00441,1.00883,0.251298,0,0.80209,1.00883,8.1
BTB 00496,0.973953,-0.744438,0,0.481624,0.973953,11.92
BTB 00554,0.402784,-16.8594,0,0,0.402784,67.15
BTB 00596,0.485155,-14.5401,0,0,0.485155,59.46
BTB 00667,1.01865,0.546367,0,0.512364,1.01865,8.87
BTB 00694,0.662996,-9.50442,0,2.96434e-19,0.662996,42.98
BTB 00730,1.01954,0.55308,0,0.58063,1.01954,9.6
BTB 00778,1.0111,0.314168,0,0.753468,1.0111,10.76
BTB 00828,0.976638,-0.688727,0,0.366944,0.976638,14.35
BTB 00881,0.966893,-0.934312,0,0.350458,0.966893,15.47
