supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.986314,-0.542388,0,0.617362,0.986314,13.28
AW 00436,0.987539,-0.495217,0,0.633826,0.987539,12.9
AW 00625,1.02819,1.12652,0,0.272684,1.02819,8.75
AW 00698,0.986099,-0.558896,0,0.578594,0.986099,12.51
AW 00801,0.942465,-2.31301,0,0.0336864,0.942465,16.43
AW 00819,1.01335,0.523205,0,0.488754,1.01335,9.37
AW 00844,0.91552,-3.41421,0,0.0567296,0.91552,18.52
AW 00891,0.985293,-0.589674,0,0.555436,0.985293,11.61
AW 00925,1.05646,2.26112,0,0.0252314,1.05646,4.49
AW 00962,1.03781,1.51522,0,0.129806,1.03781,6.06
AW 01018,1.03456,1.38276,0,0.172847,1.03456,6.12
AW 01055,0.987334,-0.515048,0,0.64634,0.987334,10.46
AW 01109,1.00124,0.0481968,0,0.93046,1.00124,8.86
AW 01159,0.979434,-0.831766,0,0.458586,0.979434,10.84
AW 01219,0.952136,-1.92203,0,0.0607356,0.952136,13.43
AW 01274,0.988975,-0.43666,0,0.680638,0.988975,9.78
BR 00009,1.01238,0.499218,0,0.623676,1.01238,7.46
BTB 00027,1.03333,1.33729,0,0.182658,1.03333,5.42
BTB 00084,1.02409,0.964057,0,0.337574,1.02409,6.36
BTB 00241,0.99084,-0.374415,0,0.657262,0.99084,9.66
BTB 00333,0.978189,-0.868169,0,0.422128,0.978189,10.99
BTB 00374,0.970633,-1.18377,0,0.279454,0.970633,11.75
BTB 00441,0.967902,-1.29231,0,0.226862,0.967902,12.08
BTB 00496,0.984734,-0.607572,0,0.559614,0.984734,10.52
BTB 00554,1.05436,2.17922,0,0.0293218,1.05436,3.76
BTB 00596,0.723843,-11.074,0,2.1978e-27,0.723843,36.08
BTB 00667,1.0455,1.82383,0,0.0681794,1.0455,4.73
BTB 00694,0.888036,-4.48708,0,7.47694e-06,0.888036,20.11
BTB 00730,0.983788,-0.660583,0,0.567954,0.983788,10.75
BTB 00778,0.997964,-0.0890055,0,0.628252,0.997964,9.34
BTB 00828,0.96376,-1.46191,0,0.215608,0.96376,12.61
BTB 00881,0.968593,-1.25718,0,0.211682,0.968593,12.06
BTB 00992,1.08723,3.50225,0,0.00091564,1.08723,0.35
BTB 01022,0.971783,-1.1262,0,0.283746,0.971783,11.53
BTB 01036,1.04804,1.91938,0,0.0759226,1.04804,3.91
BTB 01061,0.997761,-0.0913049,0,0.91897,0.997761,8.7
BTB 01088,0.974834,-1.0206,0,0.439802,0.974834,10.78
BTB 01148,1.00588,0.234482,0,0.815338,1.00588,7.53
BTB 01177,0.964604,-1.42788,0,0.22389,0.964604,11.4
BTB 01196,0.96761,-1.29432,0,0.210968,0.96761,10.88
BTB 01235,1.04342,1.74303,0,0.0855972,1.04342,3.12
BTB 01260,0.479759,-20.8244,0,0,0.479759,58.96
BTB 01296,1.03441,1.37886,0,0.16806,1.03441,3.57
BTB 01349,1.0013,0.0538332,0,0.906032,1.0013,6.7
BTB 01396,0.992694,-0.285671,0,0.650172,0.992694,7.44
BTB 01410,0.991751,-0.335918,0,0.744734,0.991751,7.47
BTB 01444,0.95011,-2.02003,0,0.245034,0.95011,11.6
BTB 01514,0.86478,-5.42853,0,5.34922e-07,0.86478,20.07
BTB 01585,1.0552,2.21134,0,0.0277438,1.0552,0.94
BTB 01706,1.03937,1.56568,0,0.237614,1.03937,2.53
BTB 01787,1.02159,0.875134,0,0.4724,1.02159,4.27
BTB 01869,1.0028,0.118071,0,0.711778,1.0028,6.19
BTB 01909,0.991463,-0.341747,0,0.73265,0.991463,7.39
BTB 01965,0.973767,-1.05646,0,0.315528,0.973767,9.23
BTB 02003,0.962784,-1.50647,0,0.30093,0.962784,10.41
BTB 02050,0.955676,-1.77749,0,0.0759084,0.955676,11.12
BTB 02082,1.04056,1.62648,0,0.104253,1.04056,2.66
BTB 02134,1.02062,0.839249,0,0.543804,1.02062,4.65
