supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.985948,-0.414831,0,0.144707,0.985948,13.57
AW 00436,0.939084,-1.33906,0,0.4875,0.939084,17.58
AW 00625,0.941579,-1.00879,0,0.171845,0.941579,16.32
AW 00698,0.947197,-0.922818,0,0.241406,0.947197,15.62
AW 00801,0.88602,-2.06275,0,0.262258,0.88602,20.89
AW 00819,0.93254,-1.19054,0,0.221932,0.93254,16.48
AW 00844,0.987319,-0.348615,0,0.291224,0.987319,11.84
AW 00891,1.05251,0.876687,0,0.107893,1.05251,5.74
AW 00925,1.03068,0.572248,0,0.617026,1.03068,7.25
AW 00962,1.05161,0.92311,0,0.34517,1.05161,5.28
AW 01018,1.05052,0.905709,0,0.3607,1.05052,5.17
AW 01055,1.03453,0.580247,0,0.24722,1.03453,6.46
AW 01109,0.936437,-1.12056,0,0.231256,0.936437,14.8
AW 01159,0.940315,-1.07075,0,0.32936,0.940315,14.51
AW 01219,0.923979,-1.3754,0,0.334546,0.923979,16.07
AW 01274,1.00004,-0.1106,0,0.186866,1.00004,9.81
BR 00009,1.01236,0.106383,0,0.0924806,1.01236,9.04
BTB 00027,1.03959,0.66298,0,0.193127,1.03959,6.77
BTB 00084,0.953322,-0.82146,0,0.300896,0.953322,14.29
BTB 00241,0.952257,-0.882464,0,0.525196,0.952257,14.78
BTB 00333,0.969007,-0.550608,0,0.45948,0.969007,13.41
BTB 00374,0.932219,-1.20545,0,0.258136,0.932219,16.59
BTB 00441,0.90274,-1.77517,0,0.36355,0.90274,19.25
BTB 00496,1.0134,0.138408,0,0.122569,1.0134,9.99
BTB 00554,1.03962,0.679394,0,0.258924,1.03962,7.24
BTB 00596,0.876898,-2.60909,0,0.163875,0.876898,22.32
BTB 00667,0.936639,-1.10652,0,0.192416,0.936639,15.42
BTB 00694,0.932351,-1.47169,0,0.453074,0.932351,16.3
BTB 00730,0.910452,-1.60396,0,0.237356,0.910452,17.22
BTB 00778,0.933045,-1.16756,0,0.173002,0.933045,14.76
BTB 00828,0.96804,-0.717723,0,0.478398,0.96804,11.45
BTB 00881,0.977391,-0.51349,0,0.533636,0.977391,10.08
BTB 00992,1.02526,0.455129,0,0.57488,1.02526,5
BTB 01022,1.01357,0.202717,0,0.414878,1.01357,5.73
BTB 01036,1.01309,0.232578,0,0.724126,1.01309,5.36
BTB 01061,0.993631,-0.151269,0,0.783114,0.993631,6.91
BTB 01088,0.985627,-0.307433,0,0.764306,0.985627,7.39
BTB 01148,0.989422,-0.225175,0,0.82385,0.989422,6.77
BTB 01177,0.879168,-2.16996,0,0.186269,0.879168,17.69
BTB 01196,0.965994,-0.691873,0,0.491464,0.965994,8.84
BTB 01235,0.987499,-0.26127,0,0.79537,0.987499,6.64
BTB 01260,0.328472,-13.6347,0,8.4339e-33,0.328472,72.22
BTB 01296,1.00946,0.188314,0,0.850656,1.00946,4.45
BTB 01349,0.99225,-0.164049,0,0.870338,0.99225,6.19
BTB 01396,0.987157,-0.268768,0,0.789826,0.987157,6.72
BTB 01410,0.93178,-1.20508,0,0.223656,0.93178,12.35
BTB 01444,0.957628,-0.861517,0,0.392688,0.957628,9.7
BTB 01514,0.896618,-2.08795,0,0.0386294,0.896618,15.77
BTB 01585,1.01583,0.288188,0,0.733032,1.01583,3.88
BTB 01706,0.993138,-0.144531,0,0.885446,0.993138,6.12
BTB 01787,1.02003,0.404185,0,0.686154,1.02003,3.38
BTB 01869,0.990886,-0.202069,0,0.824186,0.990886,6.2
BTB 01909,0.972858,-0.550939,0,0.58259,0.972858,7.93
BTB 01965,0.910546,-1.57038,0,0.130018,0.910546,14.23
BTB 02003,0.962818,-0.753094,0,0.452682,0.962818,8.73
BTB 02050,0.952115,-1.004,0,0.374388,0.952115,9.66
BTB 02082,0.98972,-0.224644,0,0.826318,0.98972,5.78
BTB 02134,1.00409,0.0555157,0,0.751868,1.00409,4.23
BTB 02164,0.0493479,-19.2285,0,0,0.0493479,100
BTB 02191,0.997333,-0.0719305,0,0.827172,0.997333,4.86
BTB 02242,1.00061,0.00803197,0,0.959132,1.00061,4.57
BTB 02289,0.872738,-2.3081,0,0.259074,0.872738,17.61
BTB 02335,0.866873,-2.38706,0,0.151433,0.866873,18.22
BTB 02361,0.942428,-1.18623,0,0.264928,0.942428,10.4
BTB 02389,1.00668,0.100087,0,0.686824,1.00668,3.92
BTB 02411,1.00798,0.131701,0,0.73566,1.00798,3.78
BTB 02461,0.997675,-0.0936555,0,0.57721,0.997675,4.82
