supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.902663,-5.92729,0,4.26624e-08,0.902663,13.81
AW 00436,0.896011,-6.32048,0,4.3501e-10,0.896011,14.38
AW 00625,0.99508,-0.30343,0,0.76492,0.99508,4.28
AW 00698,0.970421,-1.79192,0,0.0772126,0.970421,6.67
AW 00801,0.964965,-2.14936,0,0.0892164,0.964965,7.14
AW 00819,1.00264,0.164192,0,0.870984,1.00264,3.22
AW 00844,0.981362,-1.14507,0,0.305456,0.981362,5.3
AW 00891,0.994876,-0.312029,0,0.755124,0.994876,3.84
AW 00925,0.999259,-0.0455819,0,0.963652,0.999259,3.31
AW 00962,0.997313,-0.162113,0,0.871316,0.997313,3.43
AW 01018,1.00029,0.0279195,0,0.710944,1.00029,3.05
AW 01055,0.98844,-0.702409,0,0.482458,0.98844,4.17
AW 01109,1.02192,1.33994,0,0.20071,1.02192,0.66
AW 01159,1.00489,0.297262,0,0.766272,1.00489,2.35
AW 01219,1.00907,0.556959,0,0.58763,1.00907,1.87
AW 01274,1.00299,0.177953,0,0.860162,1.00299,2.45
BR 00009,0.950947,-2.97636,0,0.00308128,0.950947,7.74
BTB 00027,0.98433,-0.951012,0,0.341762,0.98433,4.3
BTB 00084,1.00891,0.551167,0,0.605272,1.00891,1.77
BTB 00241,0.978488,-1.30656,0,0.191362,0.978488,4.87
BTB 00333,0.98458,-0.940608,0,0.352296,0.98458,4.24
BTB 00374,0.996422,-0.214785,0,0.830668,0.996422,3.04
BTB 00441,1.00777,0.464366,0,0.65425,1.00777,1.89
BTB 00496,0.987993,-0.727154,0,0.46849,0.987993,3.91
BTB 00554,0.992322,-0.485983,0,0.517686,0.992322,3.47
BTB 00596,0.682066,-19.3272,0,0,0.682066,35.18
BTB 00667,1.01066,0.658077,0,0.543216,1.01066,1.58
BTB 00694,0.847963,-9.25341,0,6.89574e-18,0.847963,18.19
BTB 00730,1.00014,0.0152028,0,0.8047,1.00014,2.61
BTB 00778,1.00982,0.597494,0,0.550458,1.00982,1.6
BTB 00828,0.992769,-0.44323,0,0.661138,0.992769,3.33
