supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.437642,-12.3062,0,3.29952e-30,0.437642,63.9
AW 00436,0.274283,-15.8575,0,0,0.274283,79.43
AW 00625,0.0604001,-20.5337,0,0,0.0604001,99.97
AW 00698,0.928113,-1.56922,0,0.116904,0.928113,15.85
AW 00801,0.685669,-6.87594,0,7.71508e-11,0.685669,39.09
AW 00819,1.0058,0.142145,0,0.750982,1.0058,7.59
AW 00844,0.79487,-4.47273,0,7.73978e-06,0.79487,27.91
AW 00891,0.972255,-0.597111,0,0.555422,0.972255,10.19
AW 00925,1.00667,0.13537,0,0.83992,1.00667,6.45
AW 00962,1.00848,0.170849,0,0.777596,1.00848,5.93
AW 01018,1.02051,0.450695,0,0.653094,1.02051,4.4
AW 01055,0.98391,-0.360829,0,0.72385,0.98391,7.68
AW 01109,1.0173,0.375449,0,0.707482,1.0173,3.98
AW 01159,0.961749,-0.822435,0,0.42353,0.961749,9.36
AW 01219,1.00169,0.0398301,0,0.949934,1.00169,5.24
AW 01274,0.97017,-0.645654,0,0.520396,0.97017,8.4
BR 00009,0.819627,-3.93964,0,9.70354e-05,0.819627,23.56
BTB 00027,0.969939,-0.654084,0,0.5132,0.969939,8.59
BTB 00084,1.00707,0.154973,0,0.87686,1.00707,5.01
BTB 00241,0.812567,-4.09578,0,5.68916e-05,0.812567,24.6
BTB 00333,1.02457,0.524445,0,0.609372,1.02457,3.57
BTB 00374,1.01311,0.282433,0,0.77811,1.01311,4.87
BTB 00441,0.96114,-0.853571,0,0.397368,0.96114,10.17
BTB 00496,0.994716,-0.114763,0,0.908636,0.994716,6.96
BTB 00554,0.807592,-4.18658,0,3.5713e-05,0.807592,25.68
BTB 00596,0.186734,-17.7674,0,0,0.186734,87.3
BTB 00667,1.00331,0.0626881,0,0.846078,1.00331,6.54
BTB 00694,0.230006,-16.8491,0,0,0.230006,83.07
BTB 00730,0.989562,-0.238949,0,0.816098,0.989562,8.21
BTB 00778,1.00177,0.0448257,0,0.89717,1.00177,7.18
BTB 00828,0.947077,-1.1333,0,0.297696,0.947077,12.73
BTB 00881,0.999923,0.0153122,0,0.728284,0.999923,7.68
BTB 00992,1.01738,0.387792,0,0.702816,1.01738,6.11
BTB 01022,0.405864,-12.9783,0,6.49298e-36,0.405864,66.09
BTB 01036,0.945647,-1.21738,0,0.319676,0.945647,13.36
BTB 01061,0.628305,-8.12941,0,1.52939e-14,0.628305,44.45
BTB 01088,1.04399,0.946754,0,0.358674,1.04399,3.93
BTB 01148,1.08117,1.77494,0,0.077659,1.08117,0.39
BTB 01177,0.950672,-1.07706,0,0.281734,0.950672,13.2
BTB 01196,0.96053,-0.852367,0,0.400494,0.96053,12.35
BTB 01235,0.96327,-0.79051,0,0.439252,0.96327,12.19
BTB 01260,0.156444,-18.432,0,0,0.156444,90.61
BTB 01296,0.998919,-0.0305458,0,0.886486,0.998919,8.89
BTB 01349,0.743958,-5.58266,0,2.3767e-08,0.743958,33.68
BTB 01396,0.945896,-1.18772,0,0.241492,0.945896,14.14
BTB 01410,1.0543,1.18109,0,0.238276,1.0543,3.67
BTB 01444,1.00947,0.208036,0,0.835288,1.00947,8.04
BTB 01514,0.729854,-5.89582,0,4.90924e-09,0.729854,35.12
BTB 01585,0.918924,-1.77142,0,0.0774156,0.918924,16.82
BTB 01706,0.94811,-1.13236,0,0.257608,0.94811,14.01
BTB 01787,0.998312,-0.0301875,0,0.892458,0.998312,9.22
BTB 01869,1.02315,0.504393,0,0.613994,1.02315,6.96
BTB 01909,1.03662,0.788802,0,0.439016,1.03662,5.83
BTB 01965,0.945768,-1.18348,0,0.236754,0.945768,14.76
BTB 02003,1.03789,0.837225,0,0.41452,1.03789,6.09
BTB 02050,0.987033,-0.249405,0,0.50945,0.987033,11.13
BTB 02082,0.852597,-3.23924,0,0.0034094,0.852597,24.17
BTB 02134,1.05106,1.10266,0,0.2812,1.05106,5.26
BTB 02164,0.0625551,-20.4847,0,0,0.0625551,99.82
BTB 02191,0.907793,-2.01825,0,0.0464098,0.907793,19.06
BTB 02242,0.968309,-0.707752,0,0.50458,0.968309,13.37
BTB 02289,0.883363,-2.52648,0,0.0162713,0.883363,21.59
BTB 02335,1.02408,0.54007,0,0.6067,1.02408,8.34
BTB 02361,1.03892,0.819682,0,0.487972,1.03892,7.08
BTB 02389,0.911822,-1.93863,0,0.065681,0.911822,19.23
BTB 02411,0.97199,-0.614135,0,0.540162,0.97199,13.54
BTB 02461,1.02873,0.629813,0,0.529874,1.02873,8.12
BTB 02498,0.997956,-0.0462212,0,0.963156,0.997956,10.93
BTB 02544,0.997284,-0.0578062,0,0.953922,0.997284,10.76
BTB 02581,1.00887,0.188915,0,0.850794,1.00887,9.38
BTB 02635,0.971695,-0.614587,0,0.539356,0.971695,12.66
BTB 02660,0.915311,-1.83744,0,0.0705994,0.915311,17.81
BTB 02678,0.716215,-6.21062,0,5.23688e-09,0.716215,36.76
BTB 02719,0.933085,-1.44766,0,0.158195,0.933085,15.6
BTB 02761,0.961547,-0.835703,0,0.403988,0.961547,12.59
BTB 02768,1.08177,1.78886,0,0.0759592,1.08177,0.66
BTB 02848,0.985973,-0.300926,0,0.76461,0.985973,9.7
BTB 02874,0.705493,-6.43393,0,3.73846e-10,0.705493,36.84
BTB 02933,0.459556,-11.7996,0,1.27324e-30,0.459556,60.75
BTB 03010,1.02814,0.613917,0,0.539286,1.02814,4.72
BTB 03055,0.67856,-7.05295,0,4.43926e-10,0.67856,41.79
BTB 03059,1.00882,0.177399,0,0.763086,1.00882,10.28
BTB 03107,1.07155,1.55847,0,0.119252,1.07155,4.05
BTB 03148,0.897732,-2.23735,0,0.0271352,0.897732,20.35
BTB 03234,1.00494,0.0890083,0,0.70376,1.00494,9.87
BTB 03320,0.726835,-5.99153,0,7.58578e-08,0.726835,36.29
BTB 03415,1.06688,1.46194,0,0.144991,1.06688,3.38
BTB 03438,1.03377,0.73246,0,0.46518,1.03377,6.29
BTB 03489,1.00854,0.184808,0,0.853432,1.00854,8.45
BTB 03563,0.846558,-3.35488,0,0.000988278,0.846558,23.88
BTB 03586,0.858203,-3.11193,0,0.00377346,0.858203,22.52
BTB 03653,1.04686,1.02696,0,0.307438,1.04686,3.9
BTB 03699,1.06347,1.38445,0,0.166281,1.06347,2.01
BTB 03791,0.181748,-17.8847,0,0,0.181748,88.15
BTB 03853,1.02364,0.50836,0,0.61494,1.02364,5.19
BTB 03920,0.949063,-1.09805,0,0.287482,0.949063,12.26
BTB 04022,0.954345,-1.00063,0,0.31985,0.954345,11.5
BTB 04071,1.00132,0.0347132,0,0.902326,1.00132,6.65
BTB 04115,0.966887,-0.743309,0,0.498718,0.966887,9.89
BTB 04181,0.59463,-8.86925,0,1.02025e-16,0.59463,46.81
BTB 04212,1.0071,0.160608,0,0.873278,1.0071,5.7
BTB 04281,1.0411,0.89694,0,0.369848,1.0411,2.37
BTB 04346,1.01805,0.391917,0,0.695272,1.01805,4.86
BTB 04417,1.02129,0.481633,0,0.65154,1.02129,4.83
BTB 04487,0.546813,-9.89772,0,7.5959e-22,0.546813,52.02
BTB 04536,0.925081,-1.62943,0,0.104312,0.925081,15.08
BTB 04603,0.252777,-16.3314,0,0,0.252777,81.28
BTB 04647,1.05185,1.13139,0,0.258006,1.05185,3.85
BTB 04665,1.08512,1.85246,0,0.0645694,1.08512,1.46
BTB 04688,0.964828,-0.77727,0,0.447434,0.964828,13.91
BTB 04722,1.05366,1.1825,0,0.252622,1.05366,6.44
BTB 04785,0.931879,-1.47024,0,0.159737,0.931879,18.87
BTB 04832,0.967295,-0.718773,0,0.47535,0.967295,16.49
BTB 04862,0.989972,-0.205145,0,0.78732,0.989972,15.31
BTB 04891,0.908475,-2.00716,0,0.0510048,0.908475,23.54
BTB 04938,0.95704,-0.954453,0,0.371404,0.95704,19.81
BTB 04978,1.1197,2.5894,0,0.0161284,1.1197,5.7
BTB 05020,0.816977,-3.99261,0,6.68186e-05,0.816977,32.99
BTB 05047,0.209964,-17.2554,0,0,0.209964,87.22
BTB 05098,0.804093,-4.28774,0,4.17776e-05,0.804093,34
BTB 05123,0.88307,-2.55501,0,0.0111713,0.88307,26.65
BTB 05165,0.990346,-0.220531,0,0.829058,0.990346,16.58
BTB 05191,0.795741,-4.47371,0,2.5939e-05,0.795741,33.69
BTB 05197,1.03445,0.753598,0,0.45176,1.03445,11.26
BTB 05231,0.701402,-6.53765,0,1.21178e-09,0.701402,41.19
BTB 05265,0.926274,-1.602,0,0.111235,0.926274,19.58
BTB 05284,1.08743,1.89783,0,0.0613314,1.08743,3.56
BTB 05318,1.07053,1.5456,0,0.127137,1.07053,4.13
BTB 05356,0.315635,-14.9477,0,0,0.315635,75.65
BTB 05417,0.0616975,-20.5046,0,0,0.0616975,100
