supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.947693,-2.43629,0,0.0157292,0.947693,3.95
SPE01500764,0.990925,-0.417299,0,0.691502,0.990925,-0.79
SPE01500779,1.01283,0.592619,0,0.555792,1.01283,-3.23
SPE01500833,1.01644,0.771231,0,0.46003,1.01644,-3.66
SPE01500867,0.995638,-0.208245,0,0.835962,0.995638,-1.44
SPE01500872,0.994167,-0.273907,0,0.784166,0.994167,-1.33
SPE01500901,0.991176,-0.416483,0,0.679216,0.991176,-1.05
SPE01500906,0.972459,-1.27863,0,0.218574,0.972459,0.96
SPE01500525,1.01123,0.523158,0,0.602052,1.01123,-3.36
SPE01500984,0.97933,-0.963305,0,0.337228,0.97933,0.16
SPE01501017,1.01254,0.590985,0,0.579312,1.01254,-3.55
SPE01501126,1.01374,0.642722,0,0.528868,1.01374,-3.71
SPE01501130,0.992045,-0.379562,0,0.713862,0.992045,-1.38
SPE01501172,0.990326,-0.461666,0,0.663368,0.990326,-1.24
SPE01501181,0.998151,-0.0891731,0,0.928972,0.998151,-2.14
SPE01501204,0.847722,-7.1017,0,2.04862e-12,0.847722,14.29
SPE01502103,0.97312,-1.2587,0,0.213568,0.97312,0.45
SPE01502128,1.02586,1.2155,0,0.28239,1.02586,-5.37
SPE01502155,1.02704,1.25964,0,0.209616,1.02704,-5.54
SPE01502237,1.00569,0.265858,0,0.79169,1.00569,-3.22
SPE01502252,0.996898,-0.151697,0,0.84859,0.996898,-2.29
SPE01503044,0.986303,-0.643728,0,0.52311,0.986303,-1.16
SPE01503073,0.985216,-0.693263,0,0.489638,0.985216,-1.09
SPE01505299,0.96236,-1.77236,0,0.138197,0.96236,1.68
SPE01503253,0.0664921,-43.5279,0,0,0.0664921,99.86
SPE01503341,0.0737955,-43.1835,0,0,0.0737955,99.05
SPE01503626,1.0207,0.968251,0,0.346202,1.0207,-5.22
SPE01503636,1.00223,0.106711,0,0.833116,1.00223,-3.13
SPE01503722,0.854237,-6.80578,0,1.11405e-10,0.854237,13.08
SPE01503821,0.997493,-0.127128,0,0.750486,0.997493,-2.72
SPE01503904,0.879981,-5.59167,0,2.81596e-08,0.879981,10.21
SPE01503922,0.986203,-0.644413,0,0.519538,0.986203,-1.53
SPE01500699,1.01118,0.521555,0,0.604682,1.01118,-4.39
SPE01502234,1.01984,0.92191,0,0.356628,1.01984,-5.41
SPE01503982,1.02581,1.20377,0,0.233724,1.02581,-6.11
SPE01504002,0.325711,-31.4519,0,0,0.325711,71.2
SPE01504025,0.990695,-0.438989,0,0.663088,0.990695,-2.26
SPE01504142,0.98743,-0.588771,0,0.55619,0.98743,-1.89
SPE01504187,0.987393,-0.5902,0,0.55512,0.987393,-1.89
SPE01505265,0.966706,-1.56065,0,0.132774,0.966706,0.57
SPE01504269,1.01746,0.812973,0,0.417242,1.01746,-5.25
SPE01504272,0.980334,-0.919584,0,0.358108,0.980334,-1.13
SPE01504410,1.02221,1.04081,0,0.32345,1.02221,-5.8
