supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.953264,-1.96266,0,0.0550694,0.953264,1.22
SPE01500764,1.00044,0.0204469,0,0.945984,1.00044,-4.09
SPE01500779,1.01292,0.546145,0,0.592274,1.01292,-5.53
SPE01500833,1.0124,0.521985,0,0.609926,1.0124,-5.51
SPE01500867,0.98914,-0.454953,0,0.649298,0.98914,-2.96
SPE01500872,0.976401,-0.991059,0,0.321724,0.976401,-1.58
SPE01500901,0.987581,-0.524673,0,0.591126,0.987581,-2.87
SPE01500906,0.390664,-25.6357,0,0,0.390664,63.83
SPE01500525,1.01319,0.557789,0,0.58443,1.01319,-5.85
SPE01500984,0.981471,-0.77729,0,0.437984,0.981471,-2.26
SPE01501017,1.01054,0.444835,0,0.656722,1.01054,-5.59
SPE01501126,1.02153,0.907749,0,0.366698,1.02153,-6.85
SPE01501130,0.993669,-0.264577,0,0.791352,0.993669,-3.76
SPE01501172,0.973504,-1.11408,0,0.27461,0.973504,-1.5
SPE01501181,0.966339,-1.41432,0,0.157413,0.966339,-0.69
SPE01501204,0.863129,-5.75413,0,1.22778e-08,0.863129,10.89
SPE01502103,0.983199,-0.705969,0,0.485022,0.983199,-2.5
SPE01502128,1.02088,0.880369,0,0.380128,1.02088,-6.68
SPE01502155,1.02292,0.964466,0,0.340542,1.02292,-6.87
SPE01502237,1.00556,0.234103,0,0.818442,1.00556,-4.9
SPE01502252,0.989281,-0.448573,0,0.655252,0.989281,-3.05
SPE01503044,0.974203,-1.08498,0,0.292896,0.974203,-1.35
SPE01503073,0.966986,-1.38683,0,0.165554,0.966986,-0.55
SPE01505299,0.993527,-0.270521,0,0.78678,0.993527,-3.69
SPE01503253,0.0685267,-39.1768,0,0,0.0685267,99.86
SPE01503341,0.0767137,-38.8323,0,0,0.0767137,98.94
SPE01503626,1.02204,0.928075,0,0.353998,1.02204,-6.76
SPE01503636,1.01916,0.809427,0,0.443018,1.01916,-6.44
SPE01503722,0.896393,-4.35211,0,9.00832e-05,0.896393,7.31
SPE01503821,0.989798,-0.42861,0,0.673164,0.989798,-3.11
SPE01503904,0.855323,-6.08605,0,7.13224e-09,0.855323,11.95
SPE01503922,0.953197,-1.96385,0,0.0750662,0.953197,1.01
SPE01500699,1.01746,0.735315,0,0.466194,1.01746,-6.26
SPE01502234,1.02116,0.893129,0,0.38506,1.02116,-6.73
SPE01503982,1.03202,1.34802,0,0.177763,1.03202,-7.98
SPE01504002,0.698678,-12.6528,0,1.54548e-22,0.698678,29.34
SPE01504025,0.975846,-1.01537,0,0.317032,0.975846,-1.67
SPE01504142,0.964629,-1.48677,0,0.139402,0.964629,-0.38
SPE01504187,0.957884,-1.76723,0,0.0996942,0.957884,0.4
SPE01505265,0.983671,-0.685042,0,0.4934,0.983671,-2.43
SPE01504269,1.02427,1.02224,0,0.307072,1.02427,-6.98
SPE01504272,0.987045,-0.541895,0,0.59643,0.987045,-2.84
SPE01504410,1.03686,1.55121,0,0.122823,1.03686,-8.35
SPE01504604,1.03425,1.44353,0,0.158435,1.03425,-8
SPE01505200,0.985873,-0.594512,0,0.570184,0.985873,-2.53
SPE01505201,0.979223,-0.874756,0,0.417278,0.979223,-1.71
SPE01505203,0.959759,-1.69175,0,0.0935168,0.959759,0.53
SPE01505205,0.955618,-1.86542,0,0.0625074,0.955618,1.04
SPE01505209,1.00646,0.273516,0,0.784482,1.00646,-4.56
SPE01505210,1.01078,0.454732,0,0.649582,1.01078,-4.97
SPE01505212,1.02677,1.12684,0,0.261766,1.02677,-6.66
SPE01505213,1.00363,0.153241,0,0.870156,1.00363,-4
SPE01505222,0.990657,-0.391757,0,0.695902,0.990657,-2.48
SPE01505230,0.976717,-0.978819,0,0.335842,0.976717,-0.85
SPE01505244,0.966855,-1.39164,0,0.167088,0.966855,0.3
SPE01505245,0.944126,-2.34778,0,0.0194556,0.944126,2.86
SPE01505248,0.992694,-0.304353,0,0.765662,0.992694,-2.51
SPE01505249,1.01426,0.599748,0,0.563706,1.01426,-4.89
SPE01505256,1.03187,1.3435,0,0.191131,1.03187,-6.83
SPE01505261,0.90693,-3.91656,0,0.000422678,0.90693,7.01
SPE01505262,0.745117,-10.73,0,1.54561e-19,0.745117,24.93
SPE01505263,0.990333,-0.405645,0,0.6867,0.990333,-2.24
SPE01505264,0.973155,-1.13021,0,0.300142,0.973155,-0.38
SPE01505314,0.954575,-1.91174,0,0.079536,0.954575,1.63
SPE01500663,0.971971,-1.18071,0,0.30315,0.971971,-0.33
SPE01505215,1.0136,0.575537,0,0.583042,1.0136,-5
SPE01505267,0.98323,-0.701509,0,0.508298,0.98323,-1.59
SPE01505270,1.01724,0.726015,0,0.46968,1.01724,-5.43
SPE01505271,1.01398,0.590328,0,0.556854,1.01398,-5.08
SPE01505281,1.00113,0.049125,0,0.960826,1.00113,-3.66
SPE01505294,0.978905,-0.88792,0,0.404822,0.978905,-1.18
SPE01505296,0.979816,-0.849164,0,0.41541,0.979816,-1.24
SPE01500523,0.970713,-1.23076,0,0.220486,0.970713,0.24
SPE01505304,0.992958,-0.292289,0,0.733076,0.992958,-2.6
SPE01505305,1.01727,0.726511,0,0.476778,1.01727,-5.25
SPE01505306,1.01665,0.700581,0,0.49274,1.01665,-5.13
SPE01505308,1.08637,3.63536,0,0.00034668,1.08637,-12.79
SPE01505309,0.0696203,-39.1309,0,0,0.0696203,99.81
SPE01505310,1.00243,0.103166,0,0.918158,1.00243,-3.39
SPE01505312,0.9811,-0.79425,0,0.432132,0.9811,-0.97
SPE01500101,1.01607,0.6764,0,0.503056,1.01607,-4.04
SPE01500391,1.00248,0.10394,0,0.752258,1.00248,-2.75
SPE01500408,0.982507,-0.734417,0,0.463098,0.982507,-0.16
SPE01500497,0.989874,-0.424274,0,0.671366,0.989874,-1.46
SPE01500532,0.98139,-0.780615,0,0.436346,0.98139,-0.73
SPE01500556,1.02601,1.09513,0,0.273864,1.02601,-5.23
SPE01503242,0.971528,-1.19522,0,0.234438,0.971528,0.95
SPE01504184,0.978937,-0.880364,0,0.46069,0.978937,-0.35
SPE01500322,0.986565,-0.56172,0,0.5882,0.986565,-1.41
SPE01500395,0.991183,-0.369108,0,0.71209,0.991183,-2.3
SPE01500434,0.995921,-0.170704,0,0.865414,0.995921,-2.65
SPE01500450,0.975443,-1.03146,0,0.302682,0.975443,-0.61
SPE01500536,1.02193,0.923293,0,0.358644,1.02193,-5.42
SPE01502013,0.973534,-1.11047,0,0.273348,0.973534,-0.45
SPE01503223,0.156363,-35.4833,0,0,0.156363,90.22
SPE01503816,1.01985,0.834431,0,0.427064,1.01985,-5.4
SPE00330082,0.419703,-24.4121,0,0,0.419703,60.79
SPE01500102,1.023,0.966837,0,0.364844,1.023,-6.28
SPE01500168,1.03605,1.51624,0,0.142969,1.03605,-7.8
SPE01500399,0.985089,-0.62666,0,0.537006,0.985089,-2.17
SPE01500467,0.984679,-0.642631,0,0.520568,0.984679,-2.16
SPE01500538,1.01298,0.546628,0,0.590094,1.01298,-5.07
SPE01500548,0.988863,-0.4643,0,0.66685,0.988863,-2.3
SPE01500566,0.967568,-1.36113,0,0.182606,0.967568,-0.26
SPE00330002,0.95743,-1.79176,0,0.102455,0.95743,0.85
SPE01500135,1.00358,0.153882,0,0.80517,1.00358,-4.31
SPE01500404,0.98767,-0.520376,0,0.642624,0.98767,-2.55
SPE01500502,0.987901,-0.510191,0,0.645242,0.987901,-2.57
SPE01500504,1.00598,0.254427,0,0.80412,1.00598,-4.56
SPE01500551,1.02702,1.13904,0,0.258402,1.02702,-6.93
SPE01500578,1.01513,0.640874,0,0.563436,1.01513,-5.6
SPE01500592,0.966597,-1.40414,0,0.163927,0.966597,-0.19
SPE01500264,1.03665,1.54189,0,0.128945,1.03665,-7.72
SPE01500300,1.00011,0.00618556,0,0.981238,1.00011,-3.56
SPE01500381,0.513724,-20.4569,0,0,0.513724,50.56
SPE01500503,0.987987,-0.506625,0,0.648488,0.987987,-2.14
SPE01500539,1.01479,0.625697,0,0.549194,1.01479,-5.45
SPE01500553,1.02262,0.953704,0,0.341702,1.02262,-6.25
SPE01501188,0.0711212,-39.0686,0,0,0.0711212,99.69
SPE01503923,0.655651,-14.4826,0,0,0.655651,34.51
SPE01500115,0.97909,-0.878915,0,0.386204,0.97909,-0.33
SPE01500284,0.469515,-22.3095,0,0,0.469515,55.61
SPE01500354,1.02462,1.03673,0,0.300152,1.02462,-5.72
SPE01500483,0.974668,-1.06156,0,0.318304,0.974668,-0.06
SPE01500507,0.987464,-0.522298,0,0.646938,0.987464,-1.35
SPE01500668,0.981454,-0.779906,0,0.447894,0.981454,-0.52
SPE01502113,1.01859,0.784257,0,0.434722,1.01859,-5.28
SPE01503422,0.56874,-18.1436,0,0,0.56874,44.51
SPE01500137,1.00577,0.244795,0,0.806838,1.00577,-3.15
SPE01500216,0.982817,-0.72235,0,0.478354,0.982817,-0.56
SPE01500267,1.02055,0.868286,0,0.417478,1.02055,-4.67
SPE01500364,0.960323,-1.67019,0,0.131438,0.960323,2.23
SPE01500518,0.985608,-0.602826,0,0.550328,0.985608,-0.7
SPE01500521,0.173954,-34.743,0,0,0.173954,88.49
SPE01500541,1.01715,0.72243,0,0.471144,1.01715,-4.37
SPE02300241,0.982779,-0.722738,0,0.469848,0.982779,-0.46
SPE01500110,1.03173,1.33908,0,0.227258,1.03173,-5.51
SPE01500244,0.132175,-36.4995,0,0,0.132175,93.1
SPE01500276,1.02437,1.02784,0,0.310626,1.02437,-4.63
SPE01500489,0.995328,-0.195111,0,0.845408,0.995328,-1.42
SPE01500499,0.962621,-1.56888,0,0.128269,0.962621,2.18
SPE01500510,0.949356,-2.13059,0,0.043025,0.949356,3.65
SPE01500605,0.980902,-0.799331,0,0.45248,0.980902,0.2
SPE01501118,1.00326,0.13957,0,0.8898,1.00326,-2.43
SPE01500240,0.983216,-0.702693,0,0.495672,0.983216,-0.07
SPE01500246,1.01342,0.564654,0,0.579436,1.01342,-3.4
SPE01500253,1.02097,0.885018,0,0.390368,1.02097,-4.26
SPE01500339,1.0217,0.911535,0,0.4027,1.0217,-4.38
SPE01500406,0.982879,-0.71883,0,0.472982,0.982879,-0.27
SPE01500446,0.510628,-20.5733,0,0,0.510628,51.53
SPE01500491,0.962595,-1.57306,0,0.124713,0.962595,2.01
SPE02300270,0.971903,-1.17869,0,0.249844,0.971903,0.85
SPE00330001,0.719976,-11.7768,0,1.11726e-31,0.719976,28.3
SPE01500104,1.00052,0.0235871,0,0.981184,1.00052,-2.55
SPE01500363,1.01295,0.545201,0,0.589946,1.01295,-3.83
SPE01500368,0.972746,-1.14155,0,0.307618,0.972746,0.43
SPE01500496,0.978767,-0.895345,0,0.454062,0.978767,-0.12
SPE01500527,0.998536,-0.0574935,0,0.700568,0.998536,-2.12
SPE01500547,1.01479,0.62418,0,0.533116,1.01479,-3.95
SPE01503267,1.01405,0.591903,0,0.555744,1.01405,-3.91
SPE01500124,0.981405,-0.778548,0,0.456346,0.981405,-0.97
SPE01500193,0.967125,-1.38142,0,0.167798,0.967125,0.62
SPE01500225,0.97224,-1.1664,0,0.244714,0.97224,0.05
SPE01500304,0.983083,-0.710881,0,0.482158,0.983083,-1.13
SPE01500589,1.01371,0.57838,0,0.563008,1.01371,-4.52
SPE01500595,1.02832,1.19164,0,0.24141,1.02832,-6.14
SPE01502010,0.95873,-1.73513,0,0.0860086,0.95873,1.56
SPE01505376,1.01371,0.57856,0,0.563014,1.01371,-4.52
SPE01500145,0.970012,-1.25913,0,0.209536,0.970012,0.15
SPE01500230,0.980788,-0.807238,0,0.4232,0.980788,-1.11
SPE01500590,0.994301,-0.238895,0,0.812742,0.994301,-2.39
SPE01500597,1.02248,0.945302,0,0.36742,1.02248,-5.51
SPE01501145,1.01532,0.642481,0,0.579092,1.01532,-4.72
SPE01503017,0.98707,-0.541066,0,0.594278,0.98707,-1.68
SPE01503610,0.0683065,-39.1862,0,0,0.0683065,100.09
SPE01505432,1.03545,1.49435,0,0.148252,1.03545,-6.95
SPE01500117,0.967656,-1.35585,0,0.218596,0.967656,0.29
SPE01500231,0.968237,-1.33992,0,0.33347,0.968237,0.16
SPE01500581,1.01795,0.75326,0,0.511754,1.01795,-5.36
SPE01500614,1.00915,0.38485,0,0.708524,1.00915,-4.36
SPE01500839,1.00204,0.0878422,0,0.930212,1.00204,-3.62
SPE01502001,0.98241,-0.738755,0,0.461688,0.98241,-1.44
SPE01505453,1.03687,1.55305,0,0.121634,1.03687,-7.49
SPE02300212,0.956563,-1.82465,0,0.069478,0.956563,1.44
