supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.968997,-1.65705,0,0.171453,0.968997,0.92
SPE01500764,1.00373,0.200751,0,0.843996,1.00373,-2.93
SPE01500779,1.01029,0.543451,0,0.593044,1.01029,-3.72
SPE01500833,1.01351,0.718456,0,0.474008,1.01351,-4.16
SPE01500867,0.992271,-0.412303,0,0.68178,0.992271,-1.93
SPE01500872,0.977852,-1.1726,0,0.254668,0.977852,-0.44
SPE01500901,0.982658,-0.933191,0,0.48045,0.982658,-1.05
SPE01500906,0.920615,-4.23343,0,0.000919186,0.920615,5.63
SPE01500525,1.01677,0.888374,0,0.377442,1.01677,-5
SPE01500984,0.97306,-1.43645,0,0.177049,0.97306,-0.16
SPE01501017,1.01406,0.74737,0,0.456006,1.01406,-4.78
SPE01501126,1.01621,0.856353,0,0.40935,1.01621,-5.09
SPE01501130,0.994259,-0.299303,0,0.724006,0.994259,-2.75
SPE01501172,0.982931,-0.908979,0,0.368726,0.982931,-1.58
SPE01501181,0.982775,-0.919014,0,0.374482,0.982775,-1.61
SPE01501204,0.822881,-9.40294,0,2.06138e-20,0.822881,15.86
SPE01502103,0.998633,-0.0769764,0,0.78806,0.998633,-3.47
SPE01502128,1.01796,0.952878,0,0.340984,1.01796,-5.61
SPE01502155,1.02568,1.35742,0,0.210166,1.02568,-6.48
SPE01502237,0.998048,-0.100773,0,0.843342,0.998048,-3.46
SPE01502252,0.993092,-0.372829,0,0.727846,0.993092,-2.94
SPE01503044,0.978853,-1.12254,0,0.262108,0.978853,-1.39
SPE01503073,0.985233,-0.790802,0,0.466782,0.985233,-2.13
SPE01505299,0.980044,-1.06685,0,0.331882,0.980044,-1.4
SPE01503253,0.0549258,-50.2023,0,0,0.0549258,99.94
SPE01503341,0.0554468,-50.1746,0,0,0.0554468,99.88
SPE01503626,1.02457,1.29814,0,0.231192,1.02457,-6.59
SPE01503636,1.02602,1.38447,0,0.172251,1.02602,-6.73
SPE01503722,0.93321,-3.55537,0,0.00125522,0.93321,3.44
SPE01503821,0.989558,-0.552441,0,0.584636,0.989558,-2.72
SPE01503904,0.726527,-14.5382,0,2.73533e-42,0.726527,26.18
SPE01503922,0.97431,-1.36922,0,0.190513,0.97431,-1.01
SPE01500699,1.02922,1.55107,0,0.121077,1.02922,-7.04
SPE01502234,1.02995,1.59193,0,0.113496,1.02995,-7.11
SPE01503982,1.02696,1.42572,0,0.183464,1.02696,-6.76
SPE01504002,0.575269,-22.5626,0,0,0.575269,42.85
SPE01504025,0.979856,-1.07473,0,0.304982,0.979856,-1.5
SPE01504142,0.980961,-1.01566,0,0.328564,0.980961,-1.58
SPE01504187,0.976945,-1.2222,0,0.226902,0.976945,-1.11
SPE01505265,0.989768,-0.550079,0,0.613848,0.989768,-2.71
SPE01504269,1.00391,0.210513,0,0.836346,1.00391,-4.04
SPE01504272,0.990025,-0.533533,0,0.603528,0.990025,-2.54
SPE01504410,1.02742,1.46224,0,0.173192,1.02742,-6.61
SPE01504604,1.0139,0.740088,0,0.462662,1.0139,-5.13
SPE01505200,0.982015,-0.959983,0,0.35872,0.982015,-1.64
SPE01505201,0.969896,-1.59517,0,0.120892,0.969896,-0.3
SPE01505203,0.980406,-1.05152,0,0.40065,0.980406,-1.48
SPE01505205,0.983958,-0.858236,0,0.426676,0.983958,-1.89
SPE01505209,0.998746,-0.0721035,0,0.732806,0.998746,-3.53
SPE01505210,1.01925,1.00972,0,0.447474,1.01925,-5.81
SPE01505212,1.01252,0.666377,0,0.507264,1.01252,-5.08
SPE01505213,1.01056,0.569576,0,0.626058,1.01056,-4.87
SPE01505222,1.00473,0.249208,0,0.804378,1.00473,-4.24
SPE01505230,0.977805,-1.17713,0,0.24206,0.977805,-1.29
SPE01505244,0.987464,-0.672109,0,0.534172,0.987464,-2.35
SPE01505245,0.963667,-1.93473,0,0.0656286,0.963667,0.27
SPE01505248,0.994187,-0.310612,0,0.757536,0.994187,-3.05
SPE01505249,1.00747,0.40016,0,0.697066,1.00747,-4.46
SPE01505256,1.02044,1.08287,0,0.284088,1.02044,-5.84
SPE01505261,1.00441,0.229876,0,0.802204,1.00441,-4.04
SPE01505262,0.920501,-4.23982,0,0.000975496,0.920501,5.17
SPE01505263,0.991118,-0.470454,0,0.639398,0.991118,-2.51
SPE01505264,0.992527,-0.402531,0,0.705162,0.992527,-2.66
SPE01505314,0.981892,-0.969845,0,0.393232,0.981892,-1.51
SPE01500663,0.988084,-0.637211,0,0.538888,0.988084,-2.17
SPE01505215,1.00423,0.217122,0,0.637704,1.00423,-3.96
SPE01505267,0.966463,-1.78145,0,0.0748704,0.966463,0.18
SPE01505270,1.00742,0.394005,0,0.693612,1.00742,-4.29
SPE01505271,0.995882,-0.219667,0,0.826342,0.995882,-3.02
SPE01505281,1.00899,0.474439,0,0.640056,1.00899,-4.46
SPE01505294,0.985714,-0.759324,0,0.44785,0.985714,-1.91
SPE01505296,0.98857,-0.61529,0,0.590238,0.98857,-2.23
SPE01500523,0.985636,-0.769934,0,0.485096,0.985636,-1.87
SPE01505304,0.994276,-0.299131,0,0.755454,0.994276,-2.83
SPE01505305,1.00397,0.212192,0,0.832902,1.00397,-3.89
SPE01505306,1.01876,0.994732,0,0.32229,1.01876,-5.51
SPE01505308,1.07036,3.72772,0,0.000787342,1.07036,-11.16
SPE01505309,0.0595949,-49.9541,0,0,0.0595949,99.45
SPE01505310,0.994358,-0.292767,0,0.663946,0.994358,-2.83
SPE01505312,0.998235,-0.103042,0,0.560286,0.998235,-3.26
SPE01500101,1.01358,0.719919,0,0.472908,1.01358,-3.28
SPE01500391,0.988975,-0.585504,0,0.558232,0.988975,-0.76
SPE01500408,0.973014,-1.43475,0,0.153101,0.973014,1.22
SPE01500497,0.99143,-0.46038,0,0.662412,0.99143,-1.09
SPE01500532,0.980562,-1.03459,0,0.305408,0.980562,-0.04
SPE01500556,1.01684,0.893028,0,0.37259,1.01684,-3.7
SPE01503242,0.974606,-1.34701,0,0.180681,0.974606,0.98
SPE01504184,0.97978,-1.08087,0,0.325432,0.97978,0.11
SPE01500322,0.97671,-1.24051,0,0.22602,0.97671,0.32
SPE01500395,0.995442,-0.238554,0,0.816626,0.995442,-1.91
SPE01500434,1.00279,0.150385,0,0.881794,1.00279,-2.62
SPE01500450,0.931093,-3.654,0,0.000519636,0.931093,5.05
SPE01500536,1.01816,0.962514,0,0.337872,1.01816,-4.22
SPE01502013,0.958484,-2.20063,0,0.033839,0.958484,2.08
SPE01503223,0.130375,-46.1964,0,0,0.130375,91.8
SPE01503816,1.01149,0.613885,0,0.551032,1.01149,-3.61
SPE00330082,0.889303,-5.89171,0,2.02688e-07,0.889303,9.67
SPE01500102,1.0112,0.591557,0,0.561114,1.0112,-3.71
SPE01500168,1.017,0.905505,0,0.374924,1.017,-4.33
SPE01500399,0.987157,-0.685777,0,0.5041,0.987157,-1.08
SPE01500467,0.972931,-1.45076,0,0.281706,0.972931,0.5
SPE01500538,1.00914,0.490855,0,0.644582,1.00914,-3.46
SPE01500548,0.984934,-0.802724,0,0.42787,0.984934,-0.82
SPE01500566,0.968629,-1.67084,0,0.10967,0.968629,1.03
SPE00330002,0.952787,-2.51472,0,0.0216154,0.952787,3.1
SPE01500135,1.00654,0.351238,0,0.734964,1.00654,-2.91
SPE01500404,0.993169,-0.363078,0,0.716554,0.993169,-1.33
SPE01500502,0.972757,-1.44907,0,0.151063,0.972757,0.91
SPE01500504,0.993683,-0.333827,0,0.740284,0.993683,-1.56
SPE01500551,1.01101,0.588729,0,0.571782,1.01101,-3.34
SPE01500578,1.01447,0.770985,0,0.448242,1.01447,-3.67
SPE01500592,0.954424,-2.42751,0,0.0258342,0.954424,2.91
SPE01500264,1.02079,1.10663,0,0.27691,1.02079,-4.19
SPE01500300,0.986851,-0.708387,0,0.560508,0.986851,-0.5
SPE01500381,0.91851,-4.32739,0,1.52086e-05,0.91851,6.91
SPE01500503,0.973954,-1.39225,0,0.230356,0.973954,0.92
SPE01500539,1.02185,1.1651,0,0.267796,1.02185,-4.35
SPE01500553,1.02462,1.31787,0,0.285968,1.02462,-4.62
SPE01501188,0.0566578,-50.1104,0,0,0.0566578,99.82
SPE01503923,0.963912,-1.91604,0,0.055585,0.963912,1.9
SPE01500115,0.940336,-3.17658,0,0.00391532,0.940336,4.71
SPE01500284,1.02567,1.371,0,0.223636,1.02567,-4.7
