supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.995056,-0.24951,0,0.801876,0.995056,-3.32
SPE01500764,0.99148,-0.429051,0,0.686966,0.99148,-3.03
SPE01500779,1.00218,0.111225,0,0.866816,1.00218,-4.32
SPE01500833,1.00683,0.324678,0,0.584096,1.00683,-4.95
SPE01500867,0.999503,-0.0290084,0,0.957568,0.999503,-4.25
SPE01500872,0.979897,-1.04196,0,0.320344,0.979897,-2.19
SPE01500901,0.977977,-1.13368,0,0.260046,0.977977,-2.08
SPE01500906,0.993345,-0.372674,0,0.425258,0.993345,-3.9
SPE01500525,1.02335,1.18985,0,0.235558,1.02335,-7.47
SPE01500984,0.983086,-0.853501,0,0.446546,0.983086,-2.87
SPE01501017,1.00554,0.274633,0,0.784596,1.00554,-5.6
SPE01501126,1.01531,0.800941,0,0.54245,1.01531,-6.8
SPE01501130,0.980568,-1.00975,0,0.345772,0.980568,-3.04
SPE01501172,0.990748,-0.479556,0,0.632038,0.990748,-4.26
SPE01501181,0.979474,-1.05309,0,0.292356,0.979474,-3.05
SPE01501204,0.798818,-10.3023,0,4.76704e-22,0.798818,17.15
SPE01502103,1.00679,0.345425,0,0.731696,1.00679,-6.21
SPE01502128,1.02093,1.06493,0,0.287328,1.02093,-7.81
SPE01502155,1.03119,1.58688,0,0.112558,1.03119,-8.98
SPE01502237,0.998212,-0.0941252,0,0.92524,0.998212,-5.29
SPE01502252,0.992055,-0.41763,0,0.682506,0.992055,-4.6
SPE01503044,0.973405,-1.38002,0,0.222434,0.973405,-2.51
SPE01503073,0.967548,-1.66924,0,0.102136,0.967548,-1.85
SPE01505299,0.990496,-0.485066,0,0.63287,0.990496,-4.36
SPE01503253,0.0592082,-48.0974,0,0,0.0592082,100.02
SPE01503341,0.0643062,-47.837,0,0,0.0643062,99.44
SPE01503626,1.03384,1.74368,0,0.144073,1.03384,-9.26
SPE01503636,1.01903,0.979213,0,0.364742,1.01903,-7.62
SPE01503722,0.890572,-5.58434,0,6.06736e-08,0.890572,6.83
SPE01503821,0.990605,-0.495634,0,0.638352,0.990605,-4.35
SPE01503904,0.792216,-10.6265,0,3.21048e-25,0.792216,17.91
SPE01503922,0.967465,-1.66933,0,0.096065,0.967465,-1.72
SPE01500699,1.02889,1.46402,0,0.150567,1.02889,-8.64
SPE01502234,1.02766,1.41757,0,0.178126,1.02766,-8.51
SPE01503982,1.03651,1.85745,0,0.0635966,1.03651,-9.5
SPE01504002,0.604435,-20.2273,0,0,0.604435,38.94
SPE01504025,0.974855,-1.29822,0,0.210708,0.974855,-2.53
SPE01504142,0.978067,-1.1538,0,0.414224,0.978067,-2.86
SPE01504187,0.968845,-1.60626,0,0.124829,0.968845,-1.82
SPE01505265,0.978534,-1.11214,0,0.291486,0.978534,-2.97
SPE01504269,1.02493,1.27355,0,0.210442,1.02493,-8.14
SPE01504272,0.973071,-1.36633,0,0.212956,0.973071,-2.31
SPE01504410,1.02316,1.17882,0,0.23895,1.02316,-7.97
SPE01504604,1.02036,1.04988,0,0.347124,1.02036,-7.69
SPE01505200,0.975361,-1.24919,0,0.25642,0.975361,-2.68
SPE01505201,0.988212,-0.61461,0,0.54903,0.988212,-4.15
SPE01505203,0.966736,-1.71958,0,0.121826,0.966736,-1.78
SPE01505205,0.977372,-1.16087,0,0.245694,0.977372,-3.01
SPE01505209,0.989597,-0.530478,0,0.602438,0.989597,-4.41
SPE01505210,1.01543,0.777493,0,0.442144,1.01543,-7.33
SPE01505212,1.02379,1.22238,0,0.256658,1.02379,-8.26
SPE01505213,1.0271,1.38563,0,0.175929,1.0271,-8.62
SPE01505222,0.99951,-0.0333328,0,0.927222,0.99951,-5.51
SPE01505230,0.991925,-0.411159,0,0.687132,0.991925,-4.64
SPE01505244,0.979898,-1.05974,0,0.449908,0.979898,-3.28
SPE01505245,0.968873,-1.60696,0,0.132647,0.968873,-2.05
SPE01505248,0.974324,-1.32114,0,0.190955,0.974324,-2.65
SPE01505249,1.01144,0.583857,0,0.563654,1.01144,-6.79
SPE01505256,1.0138,0.705559,0,0.488012,1.0138,-7.03
SPE01505261,1.01804,0.914528,0,0.360816,1.01804,-7.48
SPE01505262,0.964408,-1.82275,0,0.0683438,0.964408,-1.44
SPE01505263,0.986149,-0.703637,0,0.498712,0.986149,-3.86
SPE01505264,1.00122,0.0462132,0,0.743768,1.00122,-5.55
SPE01505314,0.982276,-0.914043,0,0.363654,0.982276,-3.44
SPE01500663,0.977452,-1.17188,0,0.291502,0.977452,-2.72
SPE01505215,1.01734,0.884366,0,0.380406,1.01734,-7.41
SPE01505267,0.962,-1.95818,0,0.067106,0.962,-1.19
SPE01505270,1.01365,0.690864,0,0.489788,1.01365,-6.99
SPE01505271,1.00136,0.079676,0,0.630026,1.00136,-5.59
SPE01505281,1.01424,0.736152,0,0.504772,1.01424,-7
SPE01505294,0.986247,-0.702933,0,0.486832,0.986247,-3.82
SPE01505296,0.99796,-0.0979822,0,0.72144,0.99796,-5.08
SPE01500523,0.981918,-0.930166,0,0.352762,0.981918,-2.7
SPE01505304,0.986243,-0.710662,0,0.478948,0.986243,-3.65
SPE01505305,1.0073,0.375544,0,0.716298,1.0073,-5.94
SPE01505306,1.01307,0.669567,0,0.515094,1.01307,-6.52
SPE01505308,1.10557,5.39846,0,2.83258e-07,1.10557,-16.79
SPE01505309,0.0691905,-47.5907,0,0,0.0691905,98.94
SPE01505310,0.993767,-0.316682,0,0.757078,0.993767,-4.17
SPE01505312,0.999661,-0.037418,0,0.646188,0.999661,-4.75
SPE01500101,1.00717,0.35651,0,0.72387,1.00717,-2.13
SPE01500391,1.00639,0.333069,0,0.72302,1.00639,-2.37
SPE01500408,0.977839,-1.14194,0,0.258964,0.977839,1.35
SPE01500497,0.99833,-0.0945489,0,0.903384,0.99833,-1.69
SPE01500532,0.97409,-1.30804,0,0.276532,0.97409,0.62
SPE01500556,1.0184,0.95921,0,0.466426,1.0184,-3.48
SPE01503242,0.964079,-1.81379,0,0.161238,0.964079,2.72
SPE01504184,0.98664,-0.687377,0,0.491856,0.98664,-0.59
SPE01500322,0.97271,-1.41557,0,0.210994,0.97271,0.57
SPE01500395,0.995705,-0.225085,0,0.821928,0.995705,-2.55
SPE01500434,0.972058,-1.43207,0,0.152131,0.972058,0.33
SPE01500450,0.998607,-0.075837,0,0.93956,0.998607,-3.01
SPE01500536,1.0095,0.485109,0,0.631868,1.0095,-3.59
SPE01502013,0.994811,-0.261735,0,0.796074,0.994811,-2.73
SPE01503223,0.13685,-44.1311,0,0,0.13685,91.46
SPE01503816,1.01943,1.00744,0,0.40648,1.01943,-5
SPE00330082,0.987808,-0.625366,0,0.533076,0.987808,-2.91
SPE01500102,1.0107,0.53427,0,0.600924,1.0107,-5.07
SPE01500168,1.02314,1.19425,0,0.301458,1.02314,-6.55
SPE01500399,0.997998,-0.104319,0,0.917338,0.997998,-3.87
SPE01500467,0.996543,-0.193331,0,0.727392,0.996543,-3.79
SPE01500538,0.999852,-0.0108256,0,0.948456,0.999852,-3.72
SPE01500548,0.964757,-1.81359,0,0.0794966,0.964757,0.28
SPE01500566,0.984704,-0.793465,0,0.438274,0.984704,-2.53
SPE00330002,0.971221,-1.46602,0,0.158229,0.971221,-1.34
SPE01500135,1.00018,0.0126647,0,0.789284,1.00018,-4.38
SPE01500404,0.998245,-0.0978747,0,0.92235,0.998245,-4.31
SPE01500502,0.993216,-0.371713,0,0.562816,0.993216,-3.78
SPE01500504,0.978485,-1.11112,0,0.27786,0.978485,-1.93
SPE01500551,0.999526,-0.0186443,0,0.73416,0.999526,-4.36
SPE01500578,1.01973,1.00699,0,0.319158,1.01973,-6.66
SPE01500592,0.980381,-1.00735,0,0.313768,0.980381,-2.35
SPE01500264,1.02924,1.49252,0,0.139245,1.02924,-7.83
SPE01500300,1.00645,0.324386,0,0.745648,1.00645,-5.26
SPE01500381,0.958157,-2.14864,0,0.0351636,0.958157,0.2
SPE01500503,0.985594,-0.746686,0,0.462144,0.985594,-2.9
SPE01500539,1.0064,0.326499,0,0.746754,1.0064,-5.3
SPE01500553,1.01018,0.508802,0,0.616418,1.01018,-5.73
SPE01501188,0.0595097,-48.0841,0,0,0.0595097,99.91
SPE01503923,0.934539,-3.35148,0,0.000852022,0.934539,2.7
SPE01500115,0.974058,-1.34341,0,0.215492,0.974058,-1.17
SPE01500284,1.00739,0.369114,0,0.713,1.00739,-5.08
SPE01500354,1.01825,0.930084,0,0.355188,1.01825,-6.23
SPE01500483,0.986031,-0.706342,0,0.511482,0.986031,-2.59
SPE01500507,0.975623,-1.25723,0,0.219428,0.975623,-1.39
SPE01500668,0.972789,-1.38545,0,0.184125,0.972789,-0.98
SPE01502113,1.00907,0.459168,0,0.64644,1.00907,-5.31
SPE01503422,0.182228,-41.7857,0,0,0.182228,86.32
SPE01500137,1.00133,0.0568709,0,0.858374,1.00133,-4.13
SPE01500216,1.00536,0.264166,0,0.793392,1.00536,-4.59
SPE01500267,1.02456,1.25879,0,0.229076,1.02456,-6.72
SPE01500364,0.970774,-1.51914,0,0.21012,0.970774,-0.94
SPE01500518,0.980926,-0.974246,0,0.33615,0.980926,-1.97
SPE01500521,0.977603,-1.15995,0,0.27244,0.977603,-1.65
SPE01500541,0.997536,-0.133821,0,0.893904,0.997536,-3.71
SPE02300241,1.00263,0.135636,0,0.8345,1.00263,-4.33
SPE01500110,1.0092,0.448078,0,0.642612,1.0092,-5.21
SPE01500244,1.01583,0.801203,0,0.423884,1.01583,-5.91
SPE01500276,1.02511,1.27789,0,0.201546,1.02511,-6.91
SPE01500489,1.00066,0.0282613,0,0.977454,1.00066,-4.18
SPE01500499,0.989374,-0.541963,0,0.594294,0.989374,-2.92
SPE01500510,0.987675,-0.626742,0,0.543342,0.987675,-2.73
SPE01500605,0.989369,-0.538124,0,0.608478,0.989369,-2.94
SPE01501118,0.980565,-1.00925,0,0.342644,0.980565,-2.03
SPE01500240,0.987714,-0.638165,0,0.529152,0.987714,-2.78
SPE01500246,0.98956,-0.530141,0,0.608164,0.98956,-3
SPE01500253,0.994344,-0.298128,0,0.767324,0.994344,-3.55
SPE01500339,1.0108,0.551397,0,0.586476,1.0108,-5.38
SPE01500406,1.00477,0.23027,0,0.806986,1.00477,-4.84
SPE01500446,0.0729068,-47.3977,0,0,0.0729068,98.43
SPE01500491,0.96827,-1.63014,0,0.106364,0.96827,-0.74
SPE02300270,0.97999,-1.04137,0,0.343034,0.97999,-2.17
SPE00330001,0.991493,-0.445103,0,0.66064,0.991493,-3.77
SPE01500104,1.01574,0.797518,0,0.425378,1.01574,-6.41
SPE01500363,1.00322,0.161524,0,0.872042,1.00322,-4.91
SPE01500368,0.972844,-1.39901,0,0.171311,0.972844,-1.76
SPE01500496,0.99394,-0.306772,0,0.766212,0.99394,-3.93
SPE01500527,0.980893,-0.979199,0,0.328326,0.980893,-2.3
SPE01500547,1.00224,0.106851,0,0.91507,1.00224,-4.71
SPE01503267,1.01421,0.729269,0,0.483704,1.01421,-6.08
SPE01500124,0.991937,-0.416917,0,0.676744,0.991937,-1.52
SPE01500193,1.00673,0.351994,0,0.694896,1.00673,-3
SPE01500225,0.986702,-0.6717,0,0.534324,0.986702,-1.09
SPE01500304,0.973047,-1.4081,0,0.2909,0.973047,1.31
SPE01500589,0.991575,-0.43073,0,0.670238,0.991575,-0.84
SPE01500595,1.02074,1.05984,0,0.297416,1.02074,-4.26
SPE01502010,0.929158,-3.61131,0,0.00061839,0.929158,5.57
SPE01505376,1.0149,0.787342,0,0.456382,1.0149,-3.51
SPE01500145,0.99661,-0.170756,0,0.812828,0.99661,-3
SPE01500230,0.977687,-1.14955,0,0.255478,0.977687,-1.02
SPE01500590,0.95983,-2.0787,0,0.0843916,0.95983,1.74
SPE01500597,0.997229,-0.163567,0,0.608326,0.997229,-2.48
SPE01501145,1.00681,0.3516,0,0.735662,1.00681,-3.67
SPE01503017,0.991637,-0.44595,0,0.682904,0.991637,-2.33
SPE01503610,0.0590057,-48.1085,0,0,0.0590057,100.16
SPE01505432,1.01364,0.693055,0,0.488832,1.01364,-4.53
SPE01500117,0.952688,-2.41872,0,0.0159527,0.952688,1.61
SPE01500231,0.984469,-0.780683,0,0.50121,0.984469,-2.51
SPE01500581,1.02418,1.24476,0,0.263942,1.02418,-6.51
SPE01500614,0.996059,-0.207519,0,0.835672,0.996059,-3.28
SPE01500839,1.00308,0.146928,0,0.872476,1.00308,-4.37
SPE01502001,1.00041,0.0151058,0,0.985444,1.00041,-4.14
SPE01505453,1.01364,0.68323,0,0.50798,1.01364,-5.44
SPE02300212,0.983002,-0.888805,0,0.42669,0.983002,-2.27
SPE01500136,0.992733,-0.353056,0,0.493658,0.992733,-3.24
SPE01500232,0.974547,-1.31768,0,0.220524,0.974547,-1.16
SPE01500588,0.986802,-0.665389,0,0.544344,0.986802,-2.81
SPE01500604,1.00742,0.363074,0,0.73033,1.00742,-5.09
SPE01500666,1.0063,0.307353,0,0.768078,1.0063,-4.79
SPE01500667,0.98849,-0.596232,0,0.552848,0.98849,-3.01
SPE01503648,0.999362,-0.0612465,0,0.469242,0.999362,-4.09
SPE01505396,1.03425,1.76439,0,0.139035,1.03425,-8.05
SPE00330064,1.00231,0.0953509,0,0.598346,1.00231,-4.17
SPE01500207,0.980138,-1.02499,0,0.312032,0.980138,-1.61
SPE01500227,1.01966,1.00892,0,0.336958,1.01966,-6.12
SPE01500233,0.952296,-2.42862,0,0.0235412,0.952296,1.48
SPE01500517,0.964771,-1.80799,0,0.0723894,0.964771,-0.06
SPE01500632,0.973758,-1.36673,0,0.26148,0.973758,-0.97
SPE01502248,0.997501,-0.137084,0,0.891846,0.997501,-3.56
SPE01505412,1.06569,3.34245,0,0.00107655,1.06569,-11.17
SPE01500210,0.974109,-1.3325,0,0.187911,0.974109,-1.14
SPE01500235,0.904529,-4.88833,0,1.77634e-06,0.904529,6.5
SPE01500277,1.01387,0.699124,0,0.487726,1.01387,-5.32
SPE01500602,0.997254,-0.130765,0,0.647434,0.997254,-3.48
SPE01500621,1.00283,0.14496,0,0.854524,1.00283,-4.22
SPE01500669,0.994018,-0.338754,0,0.411668,0.994018,-3.28
SPE01505465,0.0589085,-48.1136,0,0,0.0589085,100.13
SPE01505805,1.03681,1.90163,0,0.147111,1.03681,-7.89
SPE00240929,0.947449,-2.68739,0,0.00727314,0.947449,1.51
SPE01500157,1.01809,0.924995,0,0.3644,1.01809,-6.24
SPE01500212,0.98073,-1.01365,0,0.435958,0.98073,-2.51
SPE01500236,0.954256,-2.36978,0,0.0691298,0.954256,0.33
SPE01500462,1.03548,1.83577,0,0.179128,1.03548,-8.35
SPE01500639,0.993286,-0.359581,0,0.735512,0.993286,-3.73
SPE01500645,1.01654,0.81587,0,0.528478,1.01654,-6.4
SPE01501170,0.929429,-3.61911,0,0.000506866,0.929429,3.67
SPE01500237,0.928649,-3.68115,0,0.00364912,0.928649,2.75
SPE01500598,1.02346,1.21693,0,0.344124,1.02346,-7.64
SPE01500633,0.0577417,-48.174,0,0,0.0577417,100.18
SPE01500646,0.994572,-0.274728,0,0.789642,0.994572,-4.69
SPE01502260,0.980641,-0.99475,0,0.320006,0.980641,-2.73
SPE01503604,1.02054,1.0409,0,0.299848,1.02054,-7.51
SPE01504236,1.02159,1.10759,0,0.293698,1.02159,-7.54
SPE01505172,0.990764,-0.480784,0,0.63303,0.990764,-4.25
SPE01500172,1.0413,2.10722,0,0.036188,1.0413,-9.51
SPE01500220,0.942855,-2.94375,0,0.0104513,0.942855,1.7
SPE01500238,0.974875,-1.30297,0,0.237292,0.974875,-1.79
SPE01500355,1.02127,1.07694,0,0.285046,1.02127,-7.48
SPE01500596,0.986685,-0.68314,0,0.495508,0.986685,-3.52
SPE01500623,0.0595133,-48.0821,0,0,0.0595133,100.01
SPE01500634,1.02371,1.20048,0,0.235278,1.02371,-7.46
SPE01503014,0.993553,-0.329613,0,0.744628,0.993553,-4.47
SPE01500224,1.02062,1.05602,0,0.307574,1.02062,-6.27
SPE01500241,0.98916,-0.559381,0,0.575938,0.98916,-2.71
SPE01500249,0.993972,-0.314794,0,0.753218,0.993972,-3.4
SPE01500552,0.985855,-0.748938,0,0.544026,0.985855,-2.92
SPE01500570,1.00592,0.29331,0,0.770588,1.00592,-4.98
SPE01502003,1.00307,0.17155,0,0.537328,1.00307,-4.5
