supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.933994,-2.81986,0,0.0109421,0.933994,2.3
SPE01500764,0.994748,-0.227605,0,0.819978,0.994748,-4.65
SPE01500779,1.0095,0.401124,0,0.688344,1.0095,-6.43
SPE01500833,1.01181,0.50031,0,0.62193,1.01181,-6.81
SPE01500867,0.977928,-0.943632,0,0.353034,0.977928,-3.11
SPE01500872,0.987657,-0.52961,0,0.596968,0.987657,-4.32
SPE01500901,0.991435,-0.371907,0,0.596332,0.991435,-4.85
SPE01500906,0.982105,-0.765783,0,0.448578,0.982105,-3.9
SPE01500525,1.0183,0.77267,0,0.540202,1.0183,-8.2
SPE01500984,0.951827,-2.05841,0,0.045859,0.951827,-0.57
SPE01501017,1.00248,0.102855,0,0.839142,1.00248,-6.5
SPE01501126,1.01129,0.477638,0,0.63297,1.01129,-7.59
SPE01501130,0.995708,-0.189576,0,0.605652,0.995708,-5.91
SPE01501172,1.02237,0.953531,0,0.461318,1.02237,-9.02
SPE01501181,0.995459,-0.198148,0,0.844584,0.995459,-6.02
SPE01501204,0.747505,-10.7638,0,1.13961e-25,0.747505,22.14
SPE01502103,0.970425,-1.26359,0,0.211618,0.970425,-3.28
SPE01502128,1.00781,0.331926,0,0.62502,1.00781,-7.52
SPE01502155,1.01759,0.745179,0,0.461532,1.01759,-8.59
SPE01502237,0.988514,-0.491129,0,0.65358,0.988514,-5.23
SPE01502252,1.00234,0.097289,0,0.818642,1.00234,-6.74
SPE01503044,1.00691,0.291004,0,0.771564,1.00691,-7.2
SPE01503073,0.964447,-1.5202,0,0.135498,0.964447,-2.34
SPE01505299,0.943539,-2.41042,0,0.0159518,0.943539,-0.21
SPE01503253,0.0621233,-39.979,0,0,0.0621233,100.17
SPE01503341,0.0690106,-39.6858,0,0,0.0690106,99.39
SPE01503626,1.01257,0.529953,0,0.618296,1.01257,-7.76
SPE01503636,0.988216,-0.511425,0,0.373444,0.988216,-5
SPE01503722,0.288764,-30.3202,0,0,0.288764,74.44
SPE01503821,0.997883,-0.094507,0,0.924956,0.997883,-6.07
SPE01503904,0.679352,-13.6699,0,3.59573e-42,0.679352,30.1
SPE01503922,0.966764,-1.41801,0,0.198714,0.966764,-2.52
SPE01500699,1.00361,0.150719,0,0.881018,1.00361,-6.74
SPE01502234,0.996056,-0.170518,0,0.791444,0.996056,-5.91
SPE01503982,1.02456,1.04492,0,0.322936,1.02456,-9.17
SPE01504002,0.0817548,-39.1427,0,0,0.0817548,97.94
SPE01504025,1.00814,0.341158,0,0.706258,1.00814,-7.34
SPE01504142,0.985696,-0.613841,0,0.540138,0.985696,-4.79
SPE01504187,0.984322,-0.673484,0,0.515676,0.984322,-4.62
SPE01505265,0.973128,-1.1487,0,0.252628,0.973128,-3.26
SPE01504269,1.00133,0.0536875,0,0.875542,1.00133,-6.52
SPE01504272,0.971823,-1.2021,0,0.287684,0.971823,-3.2
SPE01504410,1.00257,0.106074,0,0.91578,1.00257,-6.62
SPE01504604,1.01827,0.776088,0,0.450132,1.01827,-8.36
SPE01505200,0.961208,-1.65988,0,0.138027,0.961208,-1.82
SPE01505201,1.00728,0.305221,0,0.767846,1.00728,-6.99
SPE01505203,0.998928,-0.048322,0,0.818542,0.998928,-5.99
SPE01505205,0.975637,-1.03851,0,0.409168,0.975637,-3.3
SPE01505209,0.973573,-1.12723,0,0.333008,0.973573,-3.02
SPE01505210,0.98693,-0.559697,0,0.585722,0.98693,-4.5
SPE01505212,1.00756,0.319506,0,0.754626,1.00756,-6.81
SPE01505213,0.839315,-6.86468,1,2.4699e-06,0.839315,12.26
SPE01505222,0.990657,-0.404249,0,0.703252,0.990657,-4.88
SPE01505230,0.996188,-0.170625,0,0.420992,0.996188,-5.5
SPE01505244,1.00133,0.054239,0,0.806668,1.00133,-6.09
SPE01505245,0.971698,-1.21281,0,0.283478,0.971698,-2.72
SPE01505248,0.97053,-1.25913,0,0.212758,0.97053,-2.57
SPE01505249,1.00562,0.236246,0,0.814618,1.00562,-6.52
SPE01505256,0.986741,-0.567233,0,0.590516,0.986741,-4.39
SPE01505261,1.02035,0.865845,0,0.424658,1.02035,-8.2
SPE01505262,0.528518,-20.1011,0,0,0.528518,47.42
SPE01505263,1.01782,0.755076,0,0.452184,1.01782,-7.97
SPE01505264,1.00403,0.166496,0,0.818158,1.00403,-6.44
SPE01505314,0.949127,-2.17335,0,0.034028,0.949127,-0.26
SPE01500663,0.990594,-0.402215,0,0.65636,0.990594,-5.23
SPE01505215,0.984756,-0.653044,0,0.51585,0.984756,-4.33
SPE01505267,0.965797,-1.46228,0,0.146538,0.965797,-2.17
SPE01505270,0.970972,-1.24147,0,0.215818,0.970972,-2.77
SPE01505271,1.01833,0.777512,0,0.436958,1.01833,-8.14
SPE01505281,1.01963,0.833767,0,0.410278,1.01963,-8.34
SPE01505294,0.985456,-0.624436,0,0.536008,0.985456,-4.52
SPE01505296,1.00947,0.400717,0,0.692736,1.00947,-7.31
SPE01500523,0.940938,-2.52696,0,0.0755982,0.940938,-0.08
SPE01505304,0.954175,-1.95761,0,0.0518562,0.954175,-1.15
SPE01505305,0.975426,-1.05251,0,0.306196,0.975426,-3.63
SPE01505306,1.01176,0.498668,0,0.628148,1.01176,-7.83
SPE01505308,1.07441,3.16794,0,0.00156542,1.07441,-15.02
SPE01505309,0.0643941,-39.8823,0,0,0.0643941,99.9
SPE01505310,1.01031,0.432741,0,0.63849,1.01031,-7.85
SPE01505312,1.00763,0.321567,0,0.748368,1.00763,-7.63
SPE01500101,1.01776,0.753339,0,0.451506,1.01776,-5.53
SPE01500391,1.00374,0.155365,0,0.87661,1.00374,-4.25
SPE01500408,0.955954,-1.88088,0,0.0603808,0.955954,1.61
SPE01500497,0.999597,-0.0211278,0,0.983146,0.999597,-3.92
SPE01500532,0.988192,-0.505418,0,0.631362,0.988192,-2.91
SPE01500556,1.02226,0.943422,0,0.362818,1.02226,-6.16
SPE01503242,0.959277,-1.73864,0,0.0865842,0.959277,1.1
SPE01504184,1.0027,0.110605,0,0.907882,1.0027,-4.4
SPE01500322,0.886962,-4.82188,0,1.43314e-06,0.886962,8.29
SPE01500395,1.0094,0.39719,0,0.691774,1.0094,-5.81
SPE01500434,0.986686,-0.572871,0,0.583188,0.986686,-3.1
SPE01500450,0.856385,-6.12397,0,1.64531e-09,0.856385,11.34
SPE01500536,1.00597,0.250057,0,0.804334,1.00597,-5.15
SPE01502013,1.01235,0.523871,0,0.60878,1.01235,-6.18
SPE01503223,0.150934,-36.1938,0,0,0.150934,90.54
SPE01503816,1.01035,0.439734,0,0.667642,1.01035,-5.86
SPE00330082,1.0672,2.86145,0,0.00513066,1.0672,-12.1
SPE01500102,1.00303,0.123403,0,0.709218,1.00303,-5.14
SPE01500168,1.01264,0.536182,0,0.599724,1.01264,-6.2
SPE01500399,1.00231,0.0925322,0,0.68894,1.00231,-5
SPE01500467,1.00804,0.33911,0,0.734592,1.00804,-5.59
SPE01500538,0.982005,-0.771893,0,0.449352,0.982005,-2.79
SPE01500548,0.956657,-1.84928,0,0.0824962,0.956657,0.06
SPE01500566,0.992029,-0.343357,0,0.731592,0.992029,-3.73
SPE00330002,0.98037,-0.836704,0,0.512614,0.98037,-1.9
SPE01500135,0.989714,-0.440864,0,0.67027,0.989714,-3.32
SPE01500404,1.0038,0.155295,0,0.597286,1.0038,-4.7
SPE01500502,0.998453,-0.0689792,0,0.879316,0.998453,-4.03
SPE01500504,0.963862,-1.54083,0,0.19474,0.963862,-0.47
SPE01500551,1.00238,0.0993498,0,0.765892,1.00238,-4.68
SPE01500578,1.01646,0.695719,0,0.519222,1.01646,-6.19
SPE01500592,0.967723,-1.38151,0,0.195664,0.967723,-0.53
SPE01500264,0.990317,-0.415748,0,0.680986,0.990317,-2.85
SPE01500300,0.995412,-0.196317,0,0.5686,0.995412,-3.35
SPE01500381,1.04486,1.91009,0,0.0755366,1.04486,-8.63
SPE01500503,0.979409,-0.881955,0,0.379698,0.979409,-1.46
SPE01500539,1.00781,0.330423,0,0.749742,1.00781,-4.88
SPE01500553,1.01744,0.738259,0,0.471466,1.01744,-5.92
SPE01501188,0.0696762,-39.6572,0,0,0.0696762,99.76
SPE01503923,0.934287,-2.80284,0,0.00771494,0.934287,3.28
SPE01500115,0.980633,-0.826873,0,0.45603,0.980633,-0.61
SPE01500284,1.022,0.933736,0,0.350466,1.022,-5.66
SPE01500354,1.0095,0.398465,0,0.633504,1.0095,-4.15
SPE01500483,0.978759,-0.910874,0,0.386466,0.978759,-0.64
SPE01500507,0.99402,-0.258117,0,0.79756,0.99402,-2.21
SPE01500668,0.985016,-0.637559,0,0.441846,0.985016,-0.97
SPE01502113,0.993971,-0.261721,0,0.796346,0.993971,-2.67
SPE01503422,0.89906,-4.30672,0,1.87397e-05,0.89906,7.76
SPE01500137,0.960117,-1.70411,0,0.089139,0.960117,1.91
SPE01500216,1.05659,2.40902,0,0.0173156,1.05659,-8.57
SPE01500267,1.03127,1.31832,1,0.241946,1.03127,-5.79
SPE01500364,0.972526,-1.17253,0,0.28555,0.972526,0.05
SPE01500518,0.992151,-0.339034,0,0.736476,0.992151,-1.75
SPE01500521,0.50748,-20.9945,0,0,0.50748,51.52
SPE01500541,1.00193,0.0802843,0,0.71561,1.00193,-2.6
SPE02300241,0.984168,-0.679185,0,0.499472,0.984168,-0.73
SPE01500110,0.976712,-0.996343,0,0.31916,0.976712,-0.78
SPE01500244,1.09395,4.00132,0,7.79108e-05,1.09395,-13.96
SPE01500276,1.04504,1.91772,0,0.0678594,1.04504,-8.71
SPE01500489,1.00107,0.0419639,0,0.966556,1.00107,-3.97
SPE01500499,1.03185,1.35329,0,0.178366,1.03185,-7.55
SPE01500510,0.901753,-4.19214,0,3.42676e-05,0.901753,6.81
SPE01500605,1.01779,0.755254,0,0.45428,1.01779,-6.31
SPE01501118,0.964022,-1.53557,0,0.144836,0.964022,0.81
SPE01500240,0.924706,-3.21337,0,0.001343,0.924706,3.96
SPE01500246,0.984169,-0.67945,0,0.502658,0.984169,-2.84
SPE01500253,0.996432,-0.154409,0,0.775646,0.996432,-4.34
SPE01500339,1.02226,0.94385,0,0.352136,1.02226,-7.34
SPE01500406,1.00571,0.239012,0,0.811614,1.00571,-5.68
SPE01500446,0.185911,-34.71,0,0,0.185911,86.57
SPE01500491,0.977374,-0.96789,0,0.333998,0.977374,-2.4
SPE02300270,0.988358,-0.498575,0,0.631282,0.988358,-3.91
SPE00330001,0.890646,-4.66407,0,3.64016e-06,0.890646,6.5
SPE01500104,1.03383,1.43745,0,0.155222,1.03383,-9.62
SPE01500363,1.01688,0.714516,0,0.481842,1.01688,-7.48
SPE01500368,0.981019,-0.809869,0,0.486994,0.981019,-3.87
SPE01500496,1.00166,0.0647063,0,0.685882,1.00166,-5.86
SPE01500527,0.950744,-2.10842,0,0.131735,0.950744,0.26
SPE01500547,0.971244,-1.23021,0,0.223072,0.971244,-2.15
SPE01503267,0.991396,-0.371053,0,0.711834,0.991396,-4.51
SPE01500124,0.940048,-2.56395,0,0.0494894,0.940048,1.71
SPE01500193,0.997085,-0.128956,0,0.872826,0.997085,-4.63
SPE01500225,0.908071,-3.93272,0,0.0281346,0.908071,5.24
SPE01500304,0.965452,-1.47677,0,0.141155,0.965452,-0.66
SPE01500589,1.0098,0.416404,0,0.642386,1.0098,-5.72
SPE01500595,1.02086,0.883906,0,0.390116,1.02086,-7.12
SPE01502010,0.968819,-1.33282,0,0.18259,0.968819,-1.37
SPE01505376,1.02511,1.06492,0,0.308458,1.02511,-7.51
SPE01500145,0.982335,-0.754035,0,0.507534,0.982335,-3.71
SPE01500230,0.960083,-1.70136,0,0.171826,0.960083,-1.27
SPE01500590,0.977176,-0.976926,0,0.329284,0.977176,-2.65
SPE01500597,1.00895,0.375763,0,0.72353,1.00895,-6.31
SPE01501145,1.01482,0.628755,0,0.53522,1.01482,-7.06
SPE01503017,0.994233,-0.248449,0,0.80862,0.994233,-4.97
SPE01503610,0.0636828,-39.9126,0,0,0.0636828,100.32
SPE01505432,1.04514,1.91698,0,0.103269,1.04514,-10.55
SPE01500117,0.895936,-4.43928,0,9.02742e-06,0.895936,5.93
SPE01500231,0.959468,-1.72929,0,0.10862,0.959468,-1.36
SPE01500581,1.01988,0.842699,0,0.404508,1.01988,-8.22
SPE01500614,0.986797,-0.569446,0,0.621956,0.986797,-4.42
SPE01500839,1.00322,0.132606,0,0.857044,1.00322,-6.35
SPE01502001,1.00133,0.0554191,0,0.647358,1.00133,-6.13
SPE01505453,1.01992,0.843651,0,0.416054,1.01992,-8.24
SPE02300212,0.982165,-0.761471,0,0.495786,0.982165,-3.94
SPE01500136,0.989988,-0.430312,0,0.667408,0.989988,-4.36
SPE01500232,0.960515,-1.68117,0,0.270942,0.960515,-0.96
SPE01500588,0.981629,-0.786698,0,0.431684,0.981629,-3.86
SPE01500604,1.0157,0.664975,0,0.506644,1.0157,-7.62
SPE01500666,0.98195,-0.773293,0,0.439472,0.98195,-3.53
SPE01500667,0.995921,-0.178623,0,0.860408,0.995921,-5.44
SPE01503648,1.0079,0.333823,0,0.741262,1.0079,-6.56
SPE01505396,1.02366,1.00055,0,0.435,1.02366,-8.44
SPE00330064,1.07186,3.06016,0,0.00266114,1.07186,-13.38
SPE01500207,0.988404,-0.495133,0,0.62066,0.988404,-3.66
SPE01500227,1.00221,0.0896446,0,0.924252,1.00221,-5.59
SPE01500233,0.939748,-2.57029,0,0.0136471,0.939748,1.82
SPE01500517,0.965238,-1.48422,0,0.148363,0.965238,-1.46
SPE01500632,0.929973,-2.98511,0,0.0097516,0.929973,2.79
SPE01502248,1.00185,0.0743158,0,0.898182,1.00185,-5.23
SPE01505412,1.06234,2.65393,0,0.00854214,1.06234,-12.22
SPE01500210,0.96419,-1.52803,0,0.156528,0.96419,-0.68
SPE01500235,1.02478,1.05786,0,0.514182,1.02478,-7.37
SPE01500277,1.0086,0.362573,0,0.71693,1.0086,-5.94
SPE01500602,1.00144,0.0561071,0,0.802298,1.00144,-5.13
SPE01500621,0.981019,-0.815929,0,0.488718,0.981019,-2.75
SPE01500669,0.852598,-6.28732,0,5.31308e-10,0.852598,11.76
SPE01505465,0.0637857,-39.9081,0,0,0.0637857,100.34
SPE01505805,1.00799,0.336002,0,0.738444,1.00799,-5.87
SPE00240929,0.76617,-9.97253,0,8.8167e-22,0.76617,21.77
SPE01500157,1.00512,0.214857,0,0.831206,1.00512,-5
SPE01500212,0.986883,-0.562726,0,0.573886,0.986883,-3.01
SPE01500236,0.955616,-1.89741,0,0.0727844,0.955616,0.47
SPE01500462,1.02929,1.23469,0,0.254746,1.02929,-7.69
SPE01500639,1.01228,0.520867,0,0.616168,1.01228,-5.79
SPE01500645,0.957752,-1.80329,0,0.0794764,0.957752,0.28
SPE01501170,1.00138,0.0569379,0,0.706798,1.00138,-4.66
SPE01500237,0.956018,-1.87785,0,0.0619222,0.956018,-0.21
SPE01500598,0.990235,-0.419985,0,0.674516,0.990235,-3.43
SPE01500633,0.0639055,-39.903,0,0,0.0639055,100.34
SPE01500646,1.02525,1.07357,0,0.292954,1.02525,-7.7
SPE01502260,0.919082,-3.44884,0,0.00334714,0.919082,4.55
SPE01503604,1.03738,1.58812,0,0.125276,1.03738,-8.81
SPE01504236,0.703341,-12.6479,0,1.24195e-36,0.703341,28.69
SPE01505172,0.99908,-0.0407315,0,0.6632,0.99908,-4.91
SPE01500172,0.985574,-0.621642,0,0.592902,0.985574,-3.96
SPE01500220,1.04523,1.92462,0,0.0559162,1.04523,-11.11
SPE01500238,0.968961,-1.32576,0,0.193017,0.968961,-2.59
SPE01500355,1.01396,0.591489,0,0.555806,1.01396,-7
SPE01500596,0.992411,-0.328147,0,0.74586,0.992411,-4.66
