supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.951078,-1.92809,0,0.100353,0.951078,0.82
SPE01500764,1.00251,0.100035,0,0.920488,1.00251,-5.03
SPE01500779,1.01754,0.695983,0,0.488518,1.01754,-6.83
SPE01500833,1.01725,0.68516,0,0.494072,1.01725,-6.92
SPE01500867,0.996974,-0.116386,0,0.90786,0.996974,-4.78
SPE01500872,0.976089,-0.945946,0,0.345064,0.976089,-2.56
SPE01500901,0.977017,-0.895227,0,0.510338,0.977017,-2.78
SPE01500906,0.947394,-2.07745,0,0.0571748,0.947394,0.44
SPE01500525,1.02123,0.843772,0,0.398862,1.02123,-8.05
SPE01500984,0.982975,-0.670841,0,0.507926,0.982975,-3.65
SPE01501017,1.0305,1.20293,0,0.28119,1.0305,-9.19
SPE01501126,1.01744,0.687677,0,0.51431,1.01744,-7.8
SPE01501130,1.00037,0.00849389,0,0.677442,1.00037,-5.96
SPE01501172,0.99488,-0.187494,0,0.460624,0.99488,-5.37
SPE01501181,0.96886,-1.21768,0,0.384322,0.96886,-2.45
SPE01501204,0.71902,-11.1431,0,6.3309e-28,0.71902,25.71
SPE01502103,0.983925,-0.6382,0,0.525876,0.983925,-4.1
SPE01502128,1.02916,1.15442,0,0.261476,1.02916,-9.14
SPE01502155,1.02825,1.12088,0,0.264954,1.02825,-8.95
SPE01502237,1.01112,0.435348,0,0.68849,1.01112,-6.94
SPE01502252,0.98974,-0.404192,0,0.68671,0.98974,-4.46
SPE01503044,0.965599,-1.35259,0,0.24644,0.965599,-1.71
SPE01503073,0.93624,-2.52418,0,0.0137011,0.93624,1.58
SPE01505299,0.968703,-1.23576,0,0.229326,0.968703,-2.42
SPE01503253,0.0594002,-37.3345,0,0,0.0594002,100.09
SPE01503341,0.0613778,-37.2561,0,0,0.0613778,99.86
SPE01503626,1.03094,1.22568,0,0.230426,1.03094,-9.25
SPE01503636,1.0232,0.922196,0,0.356428,1.0232,-8.35
SPE01503722,0.893792,-4.2109,0,2.76754e-05,0.893792,6.21
SPE01503821,0.982722,-0.67832,0,0.516658,0.982722,-3.75
SPE01503904,0.651869,-13.8123,0,2.158e-43,0.651869,33.48
SPE01503922,0.912539,-3.44142,0,0.024569,0.912539,4.18
SPE01500699,1.02684,1.0627,0,0.298364,1.02684,-8.75
SPE01502234,1.04141,1.64612,0,0.100677,1.04141,-10.41
SPE01503982,1.02137,0.845178,0,0.41091,1.02137,-8.14
SPE01504002,0.126712,-34.6476,0,0,0.126712,92.52
SPE01504025,0.975078,-0.983225,0,0.336598,0.975078,-2.79
SPE01504142,0.959206,-1.60594,0,0.170046,0.959206,-0.92
SPE01504187,0.922139,-3.07211,0,0.0130897,0.922139,3.33
SPE01505265,0.99581,-0.162095,0,0.872332,0.99581,-5.22
SPE01504269,1.02978,1.18566,0,0.239172,1.02978,-8.54
SPE01504272,0.98971,-0.406941,0,0.6841,0.98971,-4.15
SPE01504410,1.03216,1.27189,0,0.22716,1.03216,-8.69
SPE01504604,1.01729,0.691478,0,0.49837,1.01729,-6.93
SPE01505200,0.977957,-0.874813,0,0.384048,0.977957,-2.44
SPE01505201,0.971865,-1.11076,0,0.277278,0.971865,-1.68
SPE01505203,0.966483,-1.317,0,0.265744,0.966483,-1.02
SPE01505205,0.955938,-1.72187,0,0.351216,0.955938,0.2
SPE01505209,0.992897,-0.27657,0,0.786,0.992897,-3.87
SPE01505210,1.03163,1.25343,0,0.21783,1.03163,-8.14
SPE01505212,1.02715,1.07679,0,0.28479,1.02715,-7.6
SPE01505213,0.97059,-1.16405,0,0.245482,0.97059,-1.26
SPE01505222,1.01279,0.514657,0,0.621848,1.01279,-5.91
SPE01505230,0.98748,-0.500203,0,0.630008,0.98748,-3.05
SPE01505244,0.975886,-0.949703,0,0.362598,0.975886,-1.73
SPE01505245,0.930698,-2.7326,0,0.0295794,0.930698,3.32
SPE01505248,0.983979,-0.63934,0,0.539556,0.983979,-2.58
SPE01505249,1.02627,1.04307,0,0.297816,1.02627,-7.26
SPE01505256,0.998051,-0.0737872,0,0.92185,0.998051,-4.12
SPE01505261,1.02542,1.01964,0,0.364466,1.02542,-7.17
SPE01505262,0.639454,-14.31,0,5.60519e-45,0.639454,35.7
SPE01505263,0.990793,-0.366593,0,0.717418,0.990793,-3.37
SPE01505264,0.971785,-1.10434,0,0.386988,0.971785,-1.3
SPE01505314,0.940413,-2.36714,0,0.0211744,0.940413,2.15
SPE01500663,0.954349,-1.80451,0,0.0824158,0.954349,0.33
SPE01505215,1.01607,0.643423,0,0.528846,1.01607,-6.35
SPE01505267,0.954449,-1.80869,0,0.0739136,0.954449,0.55
SPE01505270,1.01067,0.427537,0,0.67135,1.01067,-5.78
SPE01505271,1.01657,0.660653,0,0.509846,1.01657,-6.47
SPE01505281,1.02463,0.986613,0,0.362624,1.02463,-7.42
SPE01505294,0.977693,-0.885856,0,0.379744,0.977693,-2.23
SPE01505296,0.989731,-0.401062,0,0.697686,0.989731,-3.59
SPE01500523,0.966053,-1.33969,0,0.200236,0.966053,-1.05
SPE01505304,0.965712,-1.35934,0,0.174195,0.965712,-0.95
SPE01505305,1.02579,1.03378,0,0.352176,1.02579,-7.66
SPE01505306,1.01974,0.786099,0,0.432666,1.01974,-6.99
SPE01505308,1.11573,4.59338,0,4.38974e-06,1.11573,-17.71
SPE01505309,0.0702717,-36.9015,0,0,0.0702717,98.92
SPE01505310,1.00329,0.129344,0,0.874166,1.00329,-5.19
SPE01505312,0.994681,-0.207117,0,0.837094,0.994681,-4.24
SPE01500101,1.02245,0.895013,0,0.375644,1.02245,-7.59
SPE01500391,0.988495,-0.455702,0,0.648974,0.988495,-3.94
SPE01500408,0.98159,-0.72206,0,0.498918,0.98159,-2.87
SPE01500497,0.990387,-0.373064,0,0.72652,0.990387,-4.24
SPE01500532,0.951876,-1.90881,0,0.0565984,0.951876,-0.09
SPE01500556,1.01422,0.569132,0,0.575148,1.01422,-6.74
SPE01503242,0.98952,-0.416059,0,0.679004,0.98952,-3.83
SPE01504184,0.978725,-0.836277,0,0.428778,0.978725,-3.02
SPE01500322,0.968403,-1.24467,0,0.249122,0.968403,-2.04
SPE01500395,1.00552,0.215336,0,0.780802,1.00552,-6.54
SPE01500434,0.975031,-0.986876,0,0.327026,0.975031,-2.95
SPE01500450,0.833047,-6.62297,0,3.52388e-11,0.833047,12.87
SPE01500536,1.01608,0.646164,0,0.54308,1.01608,-7.5
SPE01502013,0.966643,-1.32463,0,0.189991,0.966643,-2.32
SPE01503223,0.13614,-34.2867,0,0,0.13614,91.63
SPE01503816,1.01499,0.601244,0,0.55941,1.01499,-7.54
SPE00330082,0.915222,-3.36702,0,0.00106952,0.915222,3.3
SPE01500102,1.0132,0.528962,0,0.60369,1.0132,-7.99
SPE01500168,1.01556,0.624301,0,0.546888,1.01556,-8.31
SPE01500399,0.999269,-0.0277382,0,0.977878,0.999269,-6.47
SPE01500467,0.980069,-0.780614,0,0.481782,0.980069,-4.24
SPE01500538,1.02079,0.831635,0,0.42225,1.02079,-8.76
SPE01500548,0.991304,-0.338786,0,0.742352,0.991304,-5.31
SPE01500566,0.961733,-1.52166,0,0.14149,0.961733,-2.07
SPE00330002,0.926022,-2.94255,0,0.00706122,0.926022,2.62
SPE01500135,1.01885,0.750443,0,0.453212,1.01885,-8.25
SPE01500404,0.994556,-0.21396,0,0.830606,0.994556,-5.27
SPE01500502,0.986623,-0.52383,0,0.614842,0.986623,-4.31
SPE01500504,0.997985,-0.0709739,0,0.695278,0.997985,-5.98
SPE01500551,1.02142,0.854779,0,0.39982,1.02142,-8.45
SPE01500578,1.00833,0.336514,0,0.742592,1.00833,-6.89
SPE01500592,0.948051,-2.06054,0,0.0395758,0.948051,0.09
SPE01500264,1.01753,0.690493,0,0.518314,1.01753,-7.46
SPE01500300,0.991089,-0.34628,0,0.740672,0.991089,-4.39
SPE01500381,0.978483,-0.84142,0,0.473082,0.978483,-2.81
SPE01500503,0.98934,-0.419229,0,0.676924,0.98934,-4.1
SPE01500539,1.02788,1.10973,0,0.269156,1.02788,-8.78
SPE01500553,1.02491,0.989739,0,0.322416,1.02491,-8.37
SPE01501188,0.0621165,-37.2264,0,0,0.0621165,100.07
SPE01503923,0.951447,-1.91442,0,0.0950538,0.951447,-0.21
SPE01500115,0.961714,-1.51713,0,0.129313,0.961714,-0.23
SPE01500284,1.01052,0.422292,0,0.677264,1.01052,-6.13
SPE01500354,1.01199,0.474835,0,0.638064,1.01199,-6.19
SPE01500483,0.982461,-0.690609,0,0.498108,0.982461,-2.77
SPE01500507,0.985927,-0.559433,0,0.579938,0.985927,-3.04
SPE01500668,0.953978,-1.82969,0,0.0781616,0.953978,0.71
SPE01502113,1.02631,1.05159,0,0.315536,1.02631,-7.99
SPE01503422,0.958162,-1.65357,0,0.109711,0.958162,-0.42
SPE01500137,0.966208,-1.33174,0,0.21733,0.966208,-0.6
SPE01500216,1.03525,1.40865,0,0.198763,1.03525,-8.28
SPE01500267,0.97454,-0.998824,0,0.381424,0.97454,-1.53
SPE01500364,0.939819,-2.39742,0,0.0373716,0.939819,2.24
SPE01500518,0.981671,-0.725339,0,0.468284,0.981671,-2.35
SPE01500521,0.989042,-0.423983,0,0.653408,0.989042,-3.2
SPE01500541,1.03623,1.44681,0,0.18207,1.03623,-8.38
SPE02300241,1.00193,0.0769166,0,0.93884,1.00193,-4.59
SPE01500110,1.01369,0.550798,0,0.60133,1.01369,-6.16
SPE01500244,1.02077,0.826854,0,0.408966,1.02077,-7.04
SPE01500276,1.03457,1.38412,0,0.231824,1.03457,-8.67
SPE01500489,0.996554,-0.129744,0,0.778382,0.996554,-4.49
SPE01500499,0.979541,-0.818677,0,0.460644,0.979541,-2.65
SPE01500510,0.946252,-2.12912,0,0.0341916,0.946252,1.03
SPE01500605,0.954264,-1.81466,0,0.0705298,0.954264,0.09
SPE01501118,0.964581,-1.39735,0,0.186772,0.964581,-0.6
SPE01500240,0.982827,-0.677375,0,0.50163,0.982827,-3.15
SPE01500246,1.0218,0.874991,0,0.428874,1.0218,-7.55
SPE01500253,1.02784,1.11167,0,0.286426,1.02784,-8.25
SPE01500339,1.02306,0.917469,0,0.359198,1.02306,-7.72
SPE01500406,0.994411,-0.217232,0,0.829964,0.994411,-4.4
SPE01500446,0.858289,-5.6406,0,2.01272e-06,0.858289,10.94
SPE01500491,0.984463,-0.608708,0,0.564082,0.984463,-3.36
SPE02300270,0.949468,-2.0032,0,0.0451688,0.949468,0.83
SPE00330001,0.966213,-1.33628,0,0.186081,0.966213,-0.21
SPE01500104,1.00118,0.046223,0,0.906166,1.00118,-4.23
SPE01500363,1.01644,0.65768,0,0.518772,1.01644,-6.17
SPE01500368,0.964554,-1.40338,0,0.161711,0.964554,0.1
SPE01500496,0.996145,-0.149458,0,0.881736,0.996145,-3.79
SPE01500527,0.975996,-0.943043,0,0.386448,0.975996,-2.02
SPE01500547,1.02447,0.975831,0,0.336624,1.02447,-7.31
SPE01503267,1.01519,0.608749,0,0.552402,1.01519,-6.16
SPE01500124,0.983267,-0.653894,0,0.554274,0.983267,-4.59
SPE01500193,0.968109,-1.26066,0,0.21365,0.968109,-2.9
SPE01500225,0.951363,-1.92766,0,0.05401,0.951363,-0.91
SPE01500304,0.969371,-1.2155,0,0.226472,0.969371,-3.26
SPE01500589,1.00221,0.0823687,0,0.713212,1.00221,-6.96
SPE01500595,1.02551,1.00789,0,0.339824,1.02551,-9.53
SPE01502010,0.865444,-5.34854,0,9.86136e-07,0.865444,8.76
SPE01505376,1.02122,0.840945,0,0.40602,1.02122,-9.08
SPE01500145,0.968374,-1.24854,0,0.226188,0.968374,-2.7
SPE01500230,0.959694,-1.59207,0,0.127412,0.959694,-1.75
SPE01500590,0.988944,-0.429369,0,0.693,0.988944,-5.15
SPE01500597,1.02662,1.06321,0,0.305464,1.02662,-9.39
SPE01501145,1.03485,1.38299,0,0.168234,1.03485,-10.28
SPE01503017,0.950362,-1.97256,0,0.0555366,0.950362,-0.63
SPE01503610,0.0672293,-37.0266,0,0,0.0672293,99.79
SPE01505432,1.05573,2.20926,0,0.0304108,1.05573,-12.62
SPE01500117,0.955321,-1.76678,0,0.0855864,0.955321,-1.29
SPE01500231,0.948003,-2.05793,0,0.043364,0.948003,-0.46
SPE01500581,1.0249,0.977523,0,0.428844,1.0249,-9.25
SPE01500614,1.01998,0.79035,0,0.441648,1.01998,-8.68
SPE01500839,1.00676,0.265021,0,0.797686,1.00676,-7.18
SPE01502001,0.970838,-1.14783,0,0.289944,0.970838,-3.07
SPE01505453,1.03018,1.19193,0,0.2681,1.03018,-9.85
SPE02300212,0.97122,-1.13388,0,0.284814,0.97122,-3.11
SPE01500136,0.959209,-1.61277,0,0.115532,0.959209,-0.54
SPE01500232,0.941597,-2.31777,0,0.021214,0.941597,1.57
SPE01500588,1.00627,0.251822,0,0.801698,1.00627,-7.05
SPE01500604,1.03544,1.40792,0,0.159168,1.03544,-10.09
SPE01500666,0.996068,-0.153139,0,0.878534,0.996068,-4.89
SPE01500667,1.03595,1.43205,0,0.160716,1.03595,-10.33
SPE01503648,0.99282,-0.28532,0,0.776806,0.99282,-4.78
SPE01505396,1.00669,0.263399,0,0.796196,1.00669,-6.61
SPE00330064,1.02138,0.847306,0,0.402646,1.02138,-7.18
SPE01500207,0.979583,-0.809261,0,0.418804,0.979583,-2.42
SPE01500227,1.04542,1.79689,0,0.0926326,1.04542,-9.94
SPE01500233,0.943485,-2.24501,0,0.028435,0.943485,1.52
SPE01500517,0.987947,-0.474518,0,0.6372,0.987947,-3.55
SPE01500632,0.894003,-4.19679,0,7.70876e-05,0.894003,7.21
SPE01502248,0.974815,-0.989985,0,0.362328,0.974815,-1.84
SPE01505412,0.944376,-2.20618,0,0.0274852,0.944376,1.52
SPE01500210,0.971143,-1.14957,0,0.276604,0.971143,-2.35
SPE01500235,1.01618,0.655791,0,0.592968,1.01618,-7.47
SPE01500277,1.04375,1.73498,0,0.086217,1.04375,-10.02
SPE01500602,1.02345,0.930551,0,0.354144,1.02345,-7.59
SPE01500621,0.970657,-1.16182,0,0.245766,0.970657,-2.14
SPE01500669,0.845419,-6.13934,0,4.4672e-09,0.845419,11.92
SPE01505465,0.0626933,-37.2038,0,0,0.0626933,100.37
SPE01505805,1.04558,1.81037,0,0.0702418,1.04558,-10.37
SPE00240929,1.02006,0.791517,0,0.453472,1.02006,-7.81
SPE01500157,1.02978,1.19086,0,0.270842,1.02978,-8.97
SPE01500212,0.990419,-0.382707,0,0.709286,0.990419,-4.09
SPE01500236,0.932088,-2.69551,0,0.00751274,0.932088,2.58
SPE01500462,0.955192,-1.77026,0,0.0922426,0.955192,-0.41
SPE01500639,0.995972,-0.163647,0,0.768542,0.995972,-4.92
SPE01500645,0.965433,-1.36757,0,0.174894,0.965433,-1.38
SPE01501170,0.998736,-0.0521984,0,0.839964,0.998736,-5.49
SPE01500237,0.949016,-2.02033,0,0.0436666,0.949016,1.25
SPE01500598,1.0233,0.930556,0,0.364252,1.0233,-7.41
SPE01500633,0.0613762,-37.2565,0,0,0.0613762,100.56
SPE01500646,0.984208,-0.628073,0,0.535904,0.984208,-2.73
SPE01502260,1.02418,0.959599,0,0.339406,1.02418,-7.64
SPE01503604,1.00018,0.0223247,0,0.470726,1.00018,-4.62
SPE01504236,1.00057,0.0320702,0,0.683342,1.00057,-4.75
SPE01505172,0.984591,-0.61718,0,0.56883,0.984591,-2.75
SPE01500172,0.972667,-1.08647,0,0.286296,0.972667,-1.22
SPE01500220,0.960082,-1.5834,0,0.114032,0.960082,0.31
SPE01500238,0.99134,-0.331991,0,0.612676,0.99134,-3.12
SPE01500355,1.01979,0.78853,0,0.432026,1.01979,-6.58
SPE01500596,1.02466,0.985434,0,0.342522,1.02466,-7.08
SPE01500623,0.0693177,-36.9384,0,0,0.0693177,99.7
SPE01500634,1.00426,0.171513,0,0.863938,1.00426,-4.73
