supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.97727,-0.793639,0,0.437034,0.97727,-0.26
SPE01500764,0.996402,-0.136153,0,0.616394,0.996402,-2.37
SPE01500779,1.00417,0.144019,0,0.793986,1.00417,-3.22
SPE01500833,1.02011,0.709783,0,0.481764,1.02011,-4.97
SPE01500867,0.98912,-0.381419,0,0.703082,0.98912,-1.53
SPE01500872,0.968601,-1.10256,0,0.271998,0.968601,0.76
SPE01500901,0.980869,-0.670076,0,0.50373,0.980869,-0.58
SPE01500906,0.889534,-3.9388,0,0.014161,0.889534,9.56
SPE01500525,1.03712,1.32047,0,0.203544,1.03712,-6.75
SPE01500984,0.981386,-0.653641,0,0.513352,0.981386,-0.6
SPE01501017,1.02459,0.872025,0,0.383346,1.02459,-5.34
SPE01501126,1.02628,0.929261,0,0.35393,1.02628,-5.52
SPE01501130,1.00223,0.0721788,0,0.693508,1.00223,-2.85
SPE01501172,0.974794,-0.877621,0,0.407304,0.974794,0.19
SPE01501181,0.949759,-1.78149,0,0.10737,0.949759,2.97
SPE01501204,0.923948,-2.6736,0,0.00994364,0.923948,5.86
SPE01502103,1.00394,0.139903,0,0.889282,1.00394,-2.96
SPE01502128,1.0368,1.30037,0,0.194801,1.0368,-6.57
SPE01502155,1.03556,1.25737,0,0.209166,1.03556,-6.4
SPE01502237,0.99532,-0.164158,0,0.870228,0.99532,-1.94
SPE01502252,0.986931,-0.455604,0,0.649898,0.986931,-1.03
SPE01503044,0.960473,-1.40337,0,0.206346,0.960473,1.83
SPE01503073,0.96316,-1.29596,0,0.1952,0.96316,1.44
SPE01505299,0.969041,-1.09217,0,0.2782,0.969041,0.87
SPE01503253,0.0709162,-32.8061,0,0,0.0709162,100.25
SPE01503341,0.0722359,-32.7604,0,0,0.0722359,100.1
SPE01503626,1.01897,0.669284,0,0.50768,1.01897,-5.12
SPE01503636,1.03695,1.30291,0,0.20071,1.03695,-7.07
SPE01503722,0.981354,-0.65736,0,0.513524,0.981354,-0.94
SPE01503821,0.977981,-0.78279,0,0.4638,0.977981,-0.54
SPE01503904,0.48658,-18.1302,0,0,0.48658,54.07
SPE01503922,0.964267,-1.25093,0,0.227412,0.964267,1.02
SPE01500699,1.04722,1.67284,0,0.0966116,1.04722,-8.17
SPE01502234,1.03033,1.05993,0,0.361368,1.03033,-6.25
SPE01503982,1.01505,0.53255,0,0.595536,1.01505,-4.45
SPE01504002,0.657094,-12.0753,0,4.11444e-29,0.657094,35.34
SPE01504025,0.970539,-1.04411,0,0.319756,0.970539,0.74
SPE01504142,0.97366,-0.935459,0,0.382208,0.97366,0.53
SPE01504187,0.96611,-1.1986,0,0.24399,0.96611,1.47
SPE01505265,0.993706,-0.200512,0,0.475902,0.993706,-2.24
SPE01504269,1.0232,0.824658,0,0.411946,1.0232,-4.66
SPE01504272,0.973158,-0.928451,0,0.438956,0.973158,0.79
SPE01504410,1.02791,0.97917,0,0.3611,1.02791,-5.11
SPE01504604,1.01685,0.59267,0,0.56263,1.01685,-3.82
SPE01505200,0.948535,-1.81967,0,0.0790822,0.948535,3.77
SPE01505201,0.96624,-1.17998,0,0.26213,0.96624,1.89
SPE01505203,0.978222,-0.763752,0,0.44572,0.978222,0.61
SPE01505205,0.948765,-1.80211,0,0.0731316,0.948765,3.85
SPE01505209,1.00914,0.340789,0,0.577722,1.00914,-2.81
SPE01505210,1.03042,1.06936,0,0.307586,1.03042,-5.23
SPE01505212,1.03366,1.17908,0,0.292642,1.03366,-5.7
SPE01505213,1.03466,1.2467,0,0.346952,1.03466,-5.92
