supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.986201,-0.762946,0,0.451384,0.986201,1.49
SPE01500764,1.00197,0.106481,0,0.915412,1.00197,-0.29
SPE01500779,1.01068,0.587045,0,0.558228,1.01068,-1.34
SPE01500833,1.01593,0.875923,0,0.391134,1.01593,-2.01
SPE01500867,0.995133,-0.271284,0,0.75402,0.995133,0.09
SPE01500872,0.985586,-0.796432,0,0.460328,0.985586,0.98
SPE01500901,0.981038,-1.04711,0,0.34583,0.981038,1.35
SPE01500906,0.952691,-2.6117,0,0.00940184,0.952691,4.27
SPE01500525,1.00933,0.511843,0,0.633204,1.00933,-2
SPE01500984,0.98841,-0.641477,0,0.521234,0.98841,0.34
SPE01501017,1.01116,0.613619,0,0.540464,1.01116,-2.31
SPE01501126,1.02279,1.25407,0,0.229174,1.02279,-3.67
SPE01501130,0.999055,-0.0543072,0,0.9567,0.999055,-1.23
SPE01501172,0.985304,-0.812543,0,0.419226,0.985304,0.15
SPE01501181,0.987719,-0.678562,0,0.551298,0.987719,-0.21
SPE01501204,0.821237,-9.86228,0,3.17868e-22,0.821237,17.65
SPE01502103,0.996287,-0.206496,0,0.811554,0.996287,-1.39
SPE01502128,1.02011,1.10629,0,0.303056,1.02011,-4.02
SPE01502155,1.02399,1.32026,0,0.214702,1.02399,-4.51
SPE01502237,0.997859,-0.120189,0,0.904486,0.997859,-1.75
SPE01502252,0.994314,-0.316126,0,0.755444,0.994314,-1.42
SPE01503044,0.985404,-0.806287,0,0.473272,0.985404,-0.52
SPE01503073,0.974333,-1.41771,0,0.15735,0.974333,0.61
SPE01505299,0.974541,-1.40395,0,0.439504,0.974541,1.03
SPE01503253,0.0566191,-52.0342,0,0,0.0566191,100
SPE01503341,0.0596419,-51.8675,0,0,0.0596419,99.66
SPE01503626,1.02396,1.31857,0,0.200688,1.02396,-5.02
SPE01503636,1.01379,0.758612,0,0.449852,1.01379,-3.86
