supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.934023,-2.94173,0,0.00331954,0.934023,4.41
SPE01500764,0.994909,-0.226732,0,0.825018,0.994909,-2.25
SPE01500779,1.00079,0.0300764,0,0.900268,1.00079,-2.95
SPE01500833,1.00884,0.389627,0,0.696958,1.00884,-3.88
SPE01500867,0.995416,-0.20933,0,0.835474,0.995416,-2.48
SPE01500872,0.996371,-0.167374,0,0.868812,0.996371,-2.64
SPE01500901,0.993519,-0.292441,0,0.770074,0.993519,-2.39
SPE01500906,0.988631,-0.511377,0,0.611784,0.988631,-1.91
SPE01500525,1.01234,0.543868,0,0.59116,1.01234,-4.61
SPE01500984,0.974306,-1.15017,0,0.25874,0.974306,-0.41
SPE01501017,0.997037,-0.140022,0,0.752626,0.997037,-2.99
SPE01501126,1.01284,0.563868,0,0.590592,1.01284,-4.76
SPE01501130,0.9996,-0.0177605,0,0.817652,0.9996,-3.36
SPE01501172,0.995691,-0.197874,0,0.845568,0.995691,-2.98
SPE01501181,0.994933,-0.224366,0,0.7629,0.994933,-2.93
SPE01501204,0.592054,-18.1765,0,0,0.592054,41.07
SPE01502103,0.967721,-1.44228,0,0.15206,0.967721,-0.09
SPE01502128,1.01748,0.779799,0,0.458658,1.01748,-5.58
SPE01502155,1.02071,0.915411,0,0.372248,1.02071,-5.98
SPE01502237,1.00252,0.110716,0,0.905086,1.00252,-4.02
SPE01502252,0.994403,-0.256406,0,0.803024,0.994403,-3.16
SPE01503044,0.992137,-0.356781,0,0.727934,0.992137,-2.93
SPE01503073,0.970038,-1.33086,0,0.224318,0.970038,-0.54
SPE01505299,0.979396,-0.927115,0,0.397056,0.979396,-1.32
SPE01503253,0.052294,-42.2068,0,0,0.052294,100.06
SPE01503341,0.0585845,-41.9254,0,0,0.0585845,99.37
SPE01503626,1.0243,1.08013,0,0.2835,1.0243,-6.74
SPE01503636,1.02491,1.10219,0,0.285066,1.02491,-6.75
SPE01503722,0.771832,-10.1623,0,2.98214e-24,0.771832,20.96
SPE01503821,0.995451,-0.207051,0,0.836454,0.995451,-3.65
SPE01503904,0.656737,-15.2936,0,0,0.656737,33.58
SPE01503922,0.952304,-2.12373,0,0.0377586,0.952304,1.06
SPE01500699,1.00918,0.402011,0,0.695114,1.00918,-5.29
SPE01502234,1.03291,1.46019,0,0.146925,1.03291,-7.96
SPE01503982,1.02498,1.10342,0,0.299306,1.02498,-7.14
SPE01504002,0.485005,-22.9222,0,0,0.485005,52.34
SPE01504025,1.00074,0.0354112,0,0.691984,1.00074,-4.54
SPE01504142,0.978925,-0.936378,0,0.379114,0.978925,-2.17
SPE01504187,0.964864,-1.56234,0,0.14232,0.964864,-0.64
SPE01505265,0.965413,-1.55705,0,0.270764,0.965413,-0.42
SPE01504269,0.996887,-0.150427,0,0.572978,0.996887,-4.23
SPE01504272,0.988596,-0.51798,0,0.64118,0.988596,-3.29
SPE01504410,1.02049,0.907316,0,0.366706,1.02049,-6.84
SPE01504604,1.02601,1.15441,0,0.248516,1.02601,-7.46
SPE01505200,0.998884,-0.0482513,0,0.74546,0.998884,-4.46
SPE01505201,0.9963,-0.161579,0,0.663282,0.9963,-4.16
SPE01505203,0.907561,-4.12273,0,6.04284e-05,0.907561,5.64
