supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.967413,-1.90033,0,0.0617382,0.967413,1.56
SPE01500764,1.00138,0.0746126,0,0.919046,1.00138,-2.19
SPE01500779,1.00354,0.205137,0,0.837752,1.00354,-2.5
SPE01500833,1.01283,0.748877,0,0.457824,1.01283,-3.58
SPE01500867,0.991263,-0.504574,0,0.63166,0.991263,-1.31
SPE01500872,0.978599,-1.24352,0,0.238012,0.978599,0
SPE01500901,0.987761,-0.715815,0,0.475218,0.987761,-1.06
SPE01500906,1.00535,0.293574,0,0.599556,1.00535,-3.04
SPE01500525,1.00916,0.537821,0,0.600344,1.00916,-3.58
SPE01500984,0.980477,-1.14716,0,0.256964,0.980477,-0.4
SPE01501017,1.01308,0.755731,0,0.455646,1.01308,-4.07
SPE01501126,1.01095,0.640121,0,0.527166,1.01095,-3.89
SPE01501130,0.997564,-0.136575,0,0.74571,0.997564,-2.49
SPE01501172,0.985167,-0.850686,0,0.4935,0.985167,-1.17
SPE01501181,0.980487,-1.14117,0,0.254226,0.980487,-0.7
SPE01501204,0.75966,-14.0254,0,1.26117e-43,0.75966,23.38
SPE01502103,0.975454,-1.44169,0,0.157892,0.975454,-0.23
SPE01502128,1.01344,0.77453,0,0.45051,1.01344,-4.4
SPE01502155,1.01518,0.883194,0,0.377258,1.01518,-4.62
SPE01502237,1.00759,0.444628,0,0.662232,1.00759,-3.84
SPE01502252,0.99029,-0.563716,0,0.58326,0.99029,-2
SPE01503044,0.981361,-1.09952,0,0.292752,0.981361,-1.11
SPE01503073,0.971215,-1.66719,0,0.153601,0.971215,-0.09
SPE01505299,0.983113,-0.992005,0,0.324004,0.983113,-1.04
SPE01503253,0.0568364,-55.0948,0,0,0.0568364,100.05
SPE01503341,0.0603205,-54.8931,0,0,0.0603205,99.66
SPE01503626,1.01436,0.831748,0,0.40824,1.01436,-5.26
SPE01503636,1.00829,0.482417,0,0.630512,1.00829,-4.49
SPE01503722,0.879299,-7.05665,0,7.04412e-12,0.879299,9.53
SPE01503821,0.996391,-0.217916,0,0.829176,0.996391,-3.41
SPE01503904,0.779598,-12.8899,0,6.1296e-34,0.779598,20.43
SPE01503922,0.942042,-3.3761,0,0.00141946,0.942042,2.51
SPE01500699,1.01492,0.877468,0,0.409906,1.01492,-5.6
SPE01502234,1.01479,0.853424,0,0.406528,1.01479,-5.62
SPE01503982,1.01498,0.869708,0,0.384784,1.01498,-5.63
SPE01504002,0.574451,-24.8381,0,0,0.574451,42.97
SPE01504025,0.995775,-0.249298,0,0.803196,0.995775,-3.45
SPE01504142,0.985131,-0.858145,0,0.442838,0.985131,-2.22
SPE01504187,0.958496,-2.40529,0,0.0497904,0.958496,0.77
SPE01505265,0.995515,-0.251607,0,0.632146,0.995515,-3.43
SPE01504269,1.00013,0.00447059,0,0.985254,1.00013,-3.7
SPE01504272,0.985693,-0.840558,0,0.401944,0.985693,-2.18
SPE01504410,1.01544,0.888394,0,0.40048,1.01544,-5.32
SPE01504604,1.00972,0.56696,0,0.573232,1.00972,-4.62
SPE01505200,0.987065,-0.76419,0,0.454802,0.987065,-2.07
SPE01505201,0.985826,-0.840873,0,0.431942,0.985826,-1.88
SPE01505203,0.987143,-0.73598,0,0.548782,0.987143,-1.96
