supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.961512,-2.18295,0,0.0413488,0.961512,1.51
SPE01500764,1.00237,0.126801,0,0.899106,1.00237,-3.02
SPE01500779,1.00586,0.330449,0,0.753026,1.00586,-3.47
SPE01500833,1.00446,0.248516,0,0.80668,1.00446,-3.4
SPE01500867,1.00264,0.144178,0,0.886206,1.00264,-3.29
SPE01500872,0.988184,-0.669192,0,0.54553,0.988184,-1.78
SPE01500901,0.970788,-1.65549,0,0.133831,0.970788,0.04
SPE01500906,0.988716,-0.680826,0,0.13477,0.988716,-2.03
SPE01500525,1.00995,0.554251,0,0.583006,1.00995,-4.47
SPE01500984,0.972946,-1.54911,0,0.151551,0.972946,-0.36
SPE01501017,1.00958,0.537947,0,0.593864,1.00958,-4.5
SPE01501126,1.01413,0.792944,0,0.428274,1.01413,-5.06
SPE01501130,0.996506,-0.200803,0,0.795924,0.996506,-3.18
SPE01501172,0.985221,-0.846466,0,0.397812,0.985221,-1.98
SPE01501181,0.97181,-1.603,0,0.113915,0.97181,-0.52
SPE01501204,0.799316,-11.3881,0,4.85628e-30,0.799316,18.38
SPE01502103,0.995397,-0.268903,0,0.788052,0.995397,-3.15
SPE01502128,1.02271,1.27942,0,0.20109,1.02271,-6.16
SPE01502155,1.01533,0.860214,0,0.39189,1.01533,-5.35
SPE01502237,0.995019,-0.288467,0,0.773712,0.995019,-3.12
SPE01502252,0.988724,-0.640659,0,0.5452,0.988724,-2.43
SPE01503044,0.970883,-1.64528,0,0.187616,0.970883,-0.48
SPE01503073,0.947975,-2.94563,0,0.0112248,0.947975,2.01
SPE01505299,0.983676,-0.936464,0,0.35648,0.983676,-1.86
SPE01503253,0.0548041,-53.6262,0,0,0.0548041,100.03
SPE01503341,0.0564083,-53.5357,0,0,0.0564083,99.85
SPE01503626,1.01565,0.874488,0,0.40226,1.01565,-5.65
SPE01503636,1.0127,0.72144,0,0.521076,1.0127,-5.27
SPE01503722,0.940089,-3.40574,0,0.000667936,0.940089,2.62
SPE01503821,0.994239,-0.330639,0,0.745504,0.994239,-3.37
SPE01503904,0.780779,-12.4488,0,4.70222e-33,0.780779,20.09
SPE01503922,0.968949,-1.7564,0,0.142053,0.968949,-0.66
SPE01500699,1.02221,1.25042,0,0.212838,1.02221,-6.63
SPE01502234,1.02255,1.27789,0,0.229896,1.02255,-6.69
SPE01503982,1.02614,1.476,0,0.14063,1.02614,-7.1
SPE01504002,0.561587,-24.8489,0,0,0.561587,44.15
SPE01504025,0.992534,-0.430436,0,0.66698,0.992534,-3.36
SPE01504142,0.977594,-1.28177,0,0.208956,0.977594,-1.67
SPE01504187,0.939102,-3.45255,0,0.00140176,0.939102,2.61
SPE01505265,0.981123,-1.08659,0,0.327956,0.981123,-2.06
SPE01504269,1.0001,0.00633093,0,0.654076,1.0001,-4.02
SPE01504272,0.984672,-0.88071,0,0.389586,0.984672,-2.38
