supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.950685,-2.49429,0,0.0127043,0.950685,3.21
SPE01500764,0.99721,-0.139118,0,0.800886,0.99721,-1.9
SPE01500779,1.00801,0.405349,0,0.688372,1.00801,-3.14
SPE01500833,1.01041,0.526634,0,0.602326,1.01041,-3.47
SPE01500867,0.998518,-0.0755865,0,0.939866,0.998518,-2.25
SPE01500872,0.984468,-0.786556,0,0.431622,0.984468,-0.8
SPE01500901,0.988029,-0.604244,0,0.552542,0.988029,-1.26
SPE01500906,1.00002,-0.00922632,0,0.515802,1.00002,-2.63
SPE01500525,1.00603,0.304688,0,0.761874,1.00603,-3.41
SPE01500984,0.969576,-1.54038,0,0.123836,0.969576,0.62
SPE01501017,1.00757,0.382154,0,0.703136,1.00757,-3.64
SPE01501126,1.01789,0.900068,0,0.379698,1.01789,-4.83
SPE01501130,1.00161,0.0754363,0,0.732,1.00161,-3.11
SPE01501172,0.986997,-0.653803,0,0.542488,0.986997,-1.55
SPE01501181,0.989518,-0.52953,0,0.60028,0.989518,-1.86
SPE01501204,0.832072,-8.49446,0,4.754e-17,0.832072,15.29
SPE01502103,0.993484,-0.334276,0,0.745488,0.993484,-2.35
SPE01502128,1.01203,0.607649,0,0.54446,1.01203,-4.39
SPE01502155,1.02345,1.1813,0,0.248672,1.02345,-5.64
SPE01502237,1.00045,0.0213096,0,0.983002,1.00045,-3.14
SPE01502252,0.998384,-0.079277,0,0.772876,0.998384,-2.92
SPE01503044,0.982886,-0.867299,0,0.386078,0.982886,-1.23
SPE01503073,0.974019,-1.31486,0,0.188644,0.974019,-0.28
SPE01505299,0.97741,-1.13588,0,0.329382,0.97741,-0.58
SPE01503253,0.054807,-47.7997,0,0,0.054807,100.08
SPE01503341,0.0581702,-47.6301,0,0,0.0581702,99.71
SPE01503626,1.01572,0.791976,0,0.42989,1.01572,-4.96
SPE01503636,1.01568,0.792037,0,0.428784,1.01568,-4.93
SPE01503722,0.946154,-2.72785,0,0.0085442,0.946154,2.64
SPE01503821,1.00268,0.137246,0,0.811068,1.00268,-3.54
SPE01503904,0.796973,-10.2819,0,2.493e-20,0.796973,18.96
SPE01503922,0.96708,-1.66064,0,0.122124,0.96708,0.38
SPE01500699,1.02615,1.31652,0,0.206884,1.02615,-6.08
SPE01502234,1.02677,1.34887,0,0.187347,1.02677,-6.14
SPE01503982,1.01888,0.953167,0,0.34052,1.01888,-5.25
SPE01504002,0.445412,-28.0588,0,0,0.445412,57.42
SPE01504025,0.993472,-0.330244,0,0.742402,0.993472,-2.39
SPE01504142,0.993579,-0.321937,0,0.758926,0.993579,-2.35
SPE01504187,0.974226,-1.30473,0,0.191991,0.974226,-0.21
SPE01505265,0.981827,-0.920183,0,0.35752,0.981827,-1.24
SPE01504269,0.994122,-0.298372,0,0.765488,0.994122,-2.31
SPE01504272,0.981576,-0.933883,0,0.35124,0.981576,-0.98
SPE01504410,1.02508,1.26679,0,0.205424,1.02508,-5.63
SPE01504604,1.01706,0.859489,0,0.39259,1.01706,-4.71
SPE01505200,0.989986,-0.510897,0,0.618352,0.989986,-1.72
SPE01505201,0.98738,-0.639425,0,0.52257,0.98738,-1.39
SPE01505203,0.987576,-0.627729,0,0.534258,0.987576,-1.38
SPE01505205,0.980683,-0.970815,0,0.398674,0.980683,-0.62
SPE01505209,0.993903,-0.30724,0,0.762674,0.993903,-2.06
SPE01505210,1.01394,0.707467,0,0.498038,1.01394,-4.25
SPE01505212,1.02003,1.01127,0,0.311932,1.02003,-4.94
