supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.929369,-3.40581,0,0.000837484,0.929369,4.58
SPE01500764,0.997376,-0.126624,0,0.899526,0.997376,-2.87
SPE01500779,0.998453,-0.07172,0,0.833574,0.998453,-2.99
SPE01500833,1.01331,0.642039,0,0.520938,1.01331,-4.62
SPE01500867,0.996578,-0.164042,0,0.869736,0.996578,-2.8
SPE01500872,0.979974,-0.960729,0,0.369186,0.979974,-0.98
SPE01500901,0.990938,-0.44079,0,0.683316,0.990938,-2.2
SPE01500906,0.920358,-3.84062,0,0.000186657,0.920358,5.53
SPE01500525,1.00636,0.3088,0,0.760484,1.00636,-3.88
SPE01500984,0.96894,-1.49116,0,0.185136,0.96894,0.22
SPE01501017,1.00442,0.213883,0,0.83066,1.00442,-3.66
SPE01501126,1.02115,1.01908,0,0.31118,1.02115,-5.5
SPE01501130,1.00543,0.262293,0,0.793098,1.00543,-3.78
SPE01501172,0.995598,-0.205163,0,0.54828,0.995598,-2.72
SPE01501181,0.996006,-0.192481,0,0.847646,0.996006,-2.78
SPE01501204,0.774776,-10.8531,0,6.064e-27,0.774776,21.45
SPE01502103,0.974662,-1.22269,0,0.230654,0.974662,-0.45
SPE01502128,1.01524,0.737612,0,0.472834,1.01524,-4.88
SPE01502155,1.02445,1.18093,0,0.243192,1.02445,-5.88
SPE01502237,0.99574,-0.204825,0,0.83772,0.99574,-2.73
SPE01502252,1.00572,0.277497,0,0.78274,1.00572,-3.81
SPE01503044,0.980408,-0.946254,0,0.358944,0.980408,-1.06
SPE01503073,0.992907,-0.337899,0,0.748296,0.992907,-2.44
SPE01505299,0.969952,-1.45292,0,0.197243,0.969952,0.06
SPE01503253,0.0570414,-45.4535,0,0,0.0570414,100.06
SPE01503341,0.0596608,-45.3275,0,0,0.0596608,99.77
SPE01503626,1.02088,1.0067,0,0.31418,1.02088,-5.73
SPE01503636,0.998419,-0.0800143,0,0.670148,0.998419,-3.23
SPE01503722,0.921864,-3.76516,0,0.000167263,0.921864,5.11
SPE01503821,1.00506,0.245015,0,0.806884,1.00506,-4.04
SPE01503904,0.756828,-11.7193,0,1.33231e-31,0.756828,23.21
SPE01503922,0.988942,-0.528066,0,0.627194,0.988942,-2.28
SPE01500699,1.01809,0.871924,0,0.383892,1.01809,-5.5
SPE01502234,1.01393,0.673548,0,0.506014,1.01393,-5.03
SPE01503982,1.01929,0.931577,0,0.354272,1.01929,-5.59
SPE01504002,0.346726,-31.4892,0,0,0.346726,68.27
SPE01504025,1.00019,0.00877009,0,0.935736,1.00019,-3.37
SPE01504142,0.994783,-0.252835,0,0.80406,0.994783,-2.69
