supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01500763,0.772626,-6.85508,0,8.99268e-08,0.772626,21.44
SPE01500764,1.00228,0.0674467,0,0.946226,1.00228,-4.05
SPE01500779,0.995471,-0.140055,0,0.888634,0.995471,-3.31
SPE01500833,1.01284,0.383378,0,0.704246,1.01284,-5.25
SPE01500867,0.982712,-0.519888,0,0.611702,0.982712,-1.91
SPE01500872,0.961025,-1.18915,0,0.236834,0.961025,0.48
SPE01500901,0.969916,-0.918017,0,0.359794,0.969916,-0.51
SPE01500906,0.769742,-7.01322,0,4.2185e-11,0.769742,21.68
SPE01500525,1.02607,0.796786,0,0.435624,1.02607,-6.71
SPE01500984,0.977657,-0.665986,0,0.546156,0.977657,-1.34
SPE01501017,1.02723,0.816597,0,0.429994,1.02723,-6.84
SPE01501126,1.02236,0.667435,0,0.523288,1.02236,-6.3
SPE01501130,1.00774,0.226527,0,0.824344,1.00774,-4.72
SPE01501172,0.986905,-0.38776,0,0.716656,0.986905,-2.43
SPE01501181,0.968345,-0.970645,0,0.343368,0.968345,-0.4
SPE01501204,0.594637,-12.3205,0,2.67358e-34,0.594637,41.05
SPE01502103,0.945061,-1.68081,0,0.108315,0.945061,2.17
SPE01502128,1.02206,0.66914,0,0.503602,1.02206,-6.33
SPE01502155,1.04899,1.47196,0,0.178132,1.04899,-9.29
SPE01502237,1.00352,0.104761,0,0.916568,1.00352,-4.22
SPE01502252,0.997588,-0.0716331,0,0.91439,0.997588,-3.55
SPE01503044,0.971942,-0.853871,0,0.393198,0.971942,-0.74
SPE01503073,0.966715,-1.01755,0,0.313628,0.966715,-0.24
SPE01505299,0.949711,-1.53015,0,0.126058,0.949711,1.65
SPE01503253,0.0626664,-28.5052,0,0,0.0626664,100.04
SPE01503341,0.0645539,-28.4475,0,0,0.0645539,99.83
SPE01503626,1.04648,1.40386,0,0.167406,1.04648,-9.61
SPE01503636,1.01104,0.32739,0,0.747424,1.01104,-5.54
SPE01503722,0.87744,-3.75043,0,0.00151417,0.87744,9.14
SPE01503821,0.984614,-0.463844,0,0.647276,0.984614,-2.86
SPE01503904,0.521589,-14.5562,0,4.2039e-44,0.521589,48.77
SPE01503922,0.942279,-1.7468,0,0.0907432,0.942279,1.74
SPE01500699,1.00636,0.183635,0,0.82139,1.00636,-5.68
