supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.984714,-0.608336,0,0.54676,0.984714,0
SPE00100016,1.00131,0.0512289,0,0.95916,1.00131,0
SPE00100058,1.00874,0.342511,0,0.734334,1.00874,0
SPE00100094,0.993086,-0.271455,0,0.786798,0.993086,0
SPE00100126,1.00817,0.324934,0,0.74574,1.00817,0
SPE00100194,1.01099,0.437826,0,0.663572,1.01099,0
SPE00100271,0.466403,-21.1749,0,0,0.466403,0
SPE00100305,0.99233,-0.297999,0,0.771098,0.99233,0
SPE00100003,0.983912,-0.639355,0,0.52503,0.983912,0
SPE00100024,0.996464,-0.143264,0,0.88709,0.996464,0
SPE00100060,1.00371,0.146298,0,0.883722,1.00371,0
SPE00100096,1.00449,0.186072,0,0.741948,1.00449,0
SPE00100129,1.0067,0.25849,0,0.801306,1.0067,0
SPE00100195,1.01544,0.615376,0,0.545036,1.01544,0
SPE00100279,0.571793,-16.9481,0,0,0.571793,0
SPE00100310,0.980775,-0.76191,0,0.446578,0.980775,0
SPE00100005,0.918836,-3.21161,0,0.00132024,0.918836,0
SPE00100031,1.00276,0.109458,0,0.91284,1.00276,0
SPE00100066,1.01325,0.520676,0,0.606242,1.01325,0
SPE00100098,0.972874,-1.061,0,0.345416,0.972874,0
SPE00100139,1.01063,0.417589,0,0.678304,1.01063,0
SPE00100201,1.01098,0.434058,0,0.66428,1.01098,0
SPE00100280,0.961594,-1.5187,0,0.129195,0.961594,0
SPE00100315,0.988841,-0.439605,0,0.661198,0.988841,0
SPE00100006,0.990148,-0.387735,0,0.699234,0.990148,0
SPE00100034,1.00283,0.110925,0,0.911748,1.00283,0
SPE00100068,1.01136,0.447547,0,0.65539,1.01136,0
SPE00100099,0.997624,-0.0894915,0,0.857802,0.997624,0
SPE00100140,1.00964,0.378657,0,0.706944,1.00964,0
SPE00100205,1.01953,0.772858,0,0.439606,1.01953,0
SPE00100287,0.227816,-30.5823,0,0,0.227816,0
SPE00100318,0.996756,-0.127886,0,0.898258,0.996756,0
SPE00100008,0.972056,-1.11231,0,0.28199,0.972056,0
SPE00100047,0.991317,-0.340623,0,0.735164,0.991317,0
SPE00100069,1.01423,0.560074,0,0.577962,1.01423,0
SPE00100101,0.921508,-3.09203,0,0.00576654,0.921508,0
SPE00100146,0.990144,-0.389745,0,0.696744,0.990144,0
SPE00100218,1.01614,0.642678,0,0.525774,1.01614,0
SPE00100290,0.992255,-0.304516,0,0.761434,0.992255,0
SPE00100325,0.0500808,-37.6129,0,0,0.0500808,0
SPE00100009,0.665995,-13.3126,0,1.00103e-21,0.665995,0
SPE00100048,1.0021,0.0825037,0,0.934262,1.0021,0
SPE00100076,1.00199,0.0790666,0,0.936986,1.00199,0
SPE00100102,0.996117,-0.154574,0,0.877238,0.996117,0
SPE00100156,1.00623,0.244106,0,0.807946,1.00623,0
SPE00100222,1.01192,0.469511,0,0.640102,1.01192,0
SPE00100296,0.98447,-0.617443,0,0.539656,0.98447,0
SPE00100530,0.985082,-0.590752,0,0.554748,0.985082,0
SPE00100049,1.00934,0.369362,0,0.711858,1.00934,0
SPE00100081,1.00841,0.333447,0,0.738854,1.00841,0
SPE00100103,1.00526,0.214469,0,0.807868,1.00526,0
SPE00100158,1.01441,0.572729,0,0.568644,1.01441,0
SPE00100223,1.00265,0.107838,0,0.900594,1.00265,0
SPE00100298,0.995942,-0.159332,0,0.87356,0.995942,0
SPE00100531,0.997269,-0.109107,0,0.913194,0.997269,0
SPE00240645,0.897928,-4.04512,0,7.98812e-05,0.897928,0
SPE00100012,0.970546,-1.16545,0,0.243838,0.970546,0
SPE00100050,1.00551,0.219071,0,0.826712,1.00551,0
SPE00100088,1.00336,0.132232,0,0.894832,1.00336,0
SPE00100105,0.996082,-0.15697,0,0.875636,0.996082,0
SPE00100162,0.996514,-0.149992,0,0.634998,0.996514,0
SPE00100242,0.987783,-0.484145,0,0.628412,0.987783,0
SPE00100301,0.0766155,-36.56,0,0,0.0766155,0
SPE00100359,1.01009,0.400584,0,0.689038,1.01009,0
SPE00100013,0.987867,-0.476217,0,0.63801,0.987867,0
SPE00100054,0.988685,-0.450033,0,0.654034,0.988685,0
SPE00100090,1.04609,1.8171,0,0.0797344,1.04609,0
SPE00100114,0.999507,-0.0237985,0,0.864202,0.999507,0
SPE00100173,1.00135,0.0474845,0,0.814288,1.00135,0
SPE00100254,0.998489,-0.0583099,0,0.953514,0.998489,0
SPE00100303,0.995454,-0.182692,0,0.855932,0.995454,0
SPE00100360,0.990967,-0.363568,0,0.724118,0.990967,0
SPE00100014,0.984588,-0.608955,0,0.542834,0.984588,0
SPE00100056,1.00903,0.357746,0,0.720572,1.00903,0
SPE00100093,1.00538,0.223949,0,0.669302,1.00538,0
SPE00100117,0.996386,-0.136975,0,0.811566,0.996386,0
SPE00100190,1.00725,0.285987,0,0.775064,1.00725,0
SPE00100267,1.01535,0.607906,0,0.543398,1.01535,0
SPE00100304,0.998258,-0.0726981,0,0.881328,0.998258,0
SPE00100368,0.984373,-0.622685,0,0.539508,0.984373,0
SPE00100375,0.996371,-0.140471,0,0.889142,0.996371,0
SPE00100528,0.960073,-1.58047,0,0.114078,0.960073,0
SPE00100537,0.0796265,-36.4424,0,0,0.0796265,0
SPE00100568,1.03111,1.23723,0,0.230526,1.03111,0
SPE00100609,0.978224,-0.870894,0,0.414952,0.978224,0
SPE00102018,0.979869,-0.807617,0,0.462282,0.979869,0
SPE00200004,1.0149,0.59312,0,0.556998,1.0149,0
SPE01500420,1.04309,1.7042,0,0.0885672,1.04309,0
SPE00100378,0.992638,-0.286061,0,0.77956,0.992638,0
SPE00100455,1.0077,0.30887,0,0.760614,1.0077,0
SPE00100540,0.488052,-20.2495,0,0,0.488052,0
SPE00100572,1.01477,0.58717,0,0.559554,1.01477,0
SPE00100612,0.730655,-10.7029,0,2.19404e-19,0.730655,0
SPE00100682,1.02254,0.895693,0,0.375518,1.02254,0
SPE00102076,0.688557,-12.2498,0,7.9153e-21,0.688557,0
SPE00201606,0.620651,-14.9595,0,2.38378e-38,0.620651,0
SPE00100423,0.942903,-2.24709,0,0.0426208,0.942903,0
SPE00100458,0.999938,-0.00393546,0,0.95353,0.999938,0
SPE00100541,0.913576,-3.41724,0,0.00067713,0.913576,0
SPE00100576,1.00411,0.163842,0,0.869976,1.00411,0
SPE00100615,1.02537,1.0055,0,0.315848,1.02537,0
SPE00100686,1.01786,0.708315,0,0.479762,1.01786,0
SPE00102058,1.00027,0.00448064,0,0.80072,1.00027,0
SPE00200010,1.00911,0.362741,0,0.717834,1.00911,0
SPE00100424,1.00097,0.0372703,0,0.96903,1.00097,0
SPE00100525,0.992407,-0.301662,0,0.76318,0.992407,0
SPE00100551,0.975343,-0.968532,0,0.352256,0.975343,0
SPE00100580,0.985877,-0.552506,0,0.592496,0.985877,0
SPE00100616,0.982395,-0.702164,0,0.492968,0.982395,0
SPE00100698,1.0234,0.923116,0,0.358708,1.0234,0
SPE00107023,1.00343,0.135386,0,0.89231,1.00343,0
SPE00200012,1.02824,1.11349,0,0.27215,1.02824,0
