supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.995355,-0.262866,0,0.793574,0.995355,0
SPE00100016,0.996437,-0.200348,0,0.841318,0.996437,0
SPE00100058,1.00848,0.478624,0,0.632854,1.00848,0
SPE00100094,0.997013,-0.168527,0,0.86619,0.997013,0
SPE00100126,1.00485,0.272524,0,0.785498,1.00485,0
SPE00100194,1.00637,0.359362,0,0.71936,1.00637,0
SPE00100271,0.48734,-28.91,0,0,0.48734,0
SPE00100305,0.989286,-0.599492,0,0.573124,0.989286,0
SPE00100003,0.985831,-0.801323,0,0.436958,0.985831,0
SPE00100024,0.999436,-0.0323874,0,0.960706,0.999436,0
SPE00100060,1.00709,0.398843,0,0.690308,1.00709,0
SPE00100096,1.00264,0.15088,0,0.871576,1.00264,0
SPE00100129,1.00857,0.484223,0,0.630512,1.00857,0
SPE00100195,1.0141,0.796744,0,0.433578,1.0141,0
SPE00100279,0.740477,-14.6242,0,0,0.740477,0
SPE00100310,0.993703,-0.355641,0,0.722692,0.993703,0
SPE00100005,0.966105,-1.91047,0,0.0563352,0.966105,0
SPE00100031,0.993252,-0.377368,0,0.714026,0.993252,0
SPE00100066,1.01038,0.584771,0,0.558814,1.01038,0
SPE00100098,0.995308,-0.26443,0,0.79145,0.995308,0
SPE00100139,1.00519,0.290042,0,0.777004,1.00519,0
SPE00100201,1.00175,0.0960334,0,0.824518,1.00175,0
SPE00100280,0.975761,-1.36954,0,0.191526,0.975761,0
SPE00100315,0.992218,-0.437744,0,0.662186,0.992218,0
SPE00100006,1.00419,0.235775,0,0.813656,1.00419,0
SPE00100034,1.00731,0.410646,0,0.683674,1.00731,0
SPE00100068,1.00535,0.298575,0,0.77131,1.00535,0
SPE00100099,0.996755,-0.179465,0,0.78,0.996755,0
SPE00100140,1.01163,0.657437,0,0.517048,1.01163,0
SPE00100205,1.02033,1.14646,0,0.253558,1.02033,0
SPE00100287,0.166474,-46.9754,0,0,0.166474,0
SPE00100318,0.996293,-0.210588,0,0.834898,0.996293,0
SPE00100008,0.97989,-1.13022,0,0.272478,0.97989,0
SPE00100047,0.986647,-0.749007,0,0.471972,0.986647,0
SPE00100069,1.01899,1.06555,0,0.323188,1.01899,0
SPE00100101,0.963091,-2.08108,0,0.0385724,0.963091,0
SPE00100146,1.0002,0.00730618,0,0.748578,1.0002,0
SPE00100218,1.01279,0.719971,0,0.471928,1.01279,0
SPE00100290,1.00048,0.0267865,0,0.978638,1.00048,0
SPE00100325,0.048189,-53.6409,0,0,0.048189,0
SPE00100009,0.930996,-3.89089,0,0.000140489,0.930996,0
SPE00100048,0.99397,-0.340004,0,0.733908,0.99397,0
SPE00100076,1.00602,0.342574,0,0.741194,1.00602,0
SPE00100102,1.00214,0.121395,0,0.90357,1.00214,0
SPE00100156,1.00325,0.183373,0,0.854506,1.00325,0
SPE00100222,1.00137,0.0768012,0,0.938872,1.00137,0
SPE00100296,0.993768,-0.352549,0,0.726196,0.993768,0
SPE00100530,0.987652,-0.693347,0,0.49709,0.987652,0
SPE00100049,1.01557,0.877846,0,0.380404,1.01557,0
SPE00100081,1.00897,0.502854,0,0.624472,1.00897,0
SPE00100103,0.999021,-0.0548524,0,0.95627,0.999021,0
SPE00100158,1.00277,0.15802,0,0.86943,1.00277,0
SPE00100223,1.00485,0.272573,0,0.785458,1.00485,0
SPE00100298,0.998767,-0.0694546,0,0.944628,0.998767,0
SPE00100531,0.993967,-0.339443,0,0.734488,0.993967,0
SPE00240645,0.953375,-2.62651,0,0.00874672,0.953375,0
SPE00100012,0.980326,-1.10783,0,0.268972,0.980326,0
SPE00100050,0.998332,-0.0927932,0,0.920224,0.998332,0
SPE00100088,1.00879,0.493726,0,0.624646,1.00879,0
SPE00100105,1.0016,0.0906818,0,0.92779,1.0016,0
SPE00100162,1.02258,1.27194,0,0.203694,1.02258,0
SPE00100242,0.978656,-1.19739,0,0.276422,0.978656,0
SPE00100301,0.0689067,-52.473,0,0,0.0689067,0
SPE00100359,0.998273,-0.0978417,0,0.922134,0.998273,0
SPE00100013,0.994215,-0.326028,0,0.744404,0.994215,0
SPE00100054,0.997576,-0.134531,0,0.862614,0.997576,0
SPE00100090,1.04656,2.6224,0,0.00897874,1.04656,0
SPE00100114,0.997436,-0.143656,0,0.886032,0.997436,0
SPE00100173,1.01526,0.859947,0,0.38984,1.01526,0
SPE00100254,0.999462,-0.029694,0,0.9602,0.999462,0
SPE00100303,1.00825,0.465656,0,0.642342,1.00825,0
SPE00100360,0.991769,-0.462468,0,0.64576,0.991769,0
SPE00100014,0.984629,-0.866423,0,0.3864,0.984629,0
SPE00100056,0.988121,-0.671435,0,0.50844,0.988121,0
SPE00100093,1.03359,1.89147,0,0.0600026,1.03359,0
SPE00100117,1.0036,0.201593,0,0.84126,1.0036,0
SPE00100190,1.00925,0.522824,0,0.603828,1.00925,0
SPE00100267,1.01046,0.591202,0,0.560018,1.01046,0
SPE00100304,0.998778,-0.0704536,0,0.895554,0.998778,0
SPE00100368,0.977131,-1.29291,0,0.224334,0.977131,0
SPE00100375,0.998076,-0.107763,0,0.914316,0.998076,0
SPE00100528,1.00172,0.0959162,0,0.92378,1.00172,0
SPE00100537,0.0759618,-52.0731,0,0,0.0759618,0
