supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.965687,-1.24619,0,0.25345,0.965687,0
SPE00100016,0.993938,-0.224505,0,0.82617,0.993938,0
SPE00100058,1.00657,0.237457,0,0.812522,1.00657,0
SPE00100094,0.997432,-0.0962843,0,0.900668,0.997432,0
SPE00100126,1.01096,0.399317,0,0.694336,1.01096,0
SPE00100194,1.00966,0.354735,0,0.730328,1.00966,0
SPE00100271,0.68941,-11.2194,0,1.28116e-20,0.68941,0
SPE00100305,1.00324,0.127054,0,0.746796,1.00324,0
SPE00100003,0.956251,-1.58822,0,0.160909,0.956251,0
SPE00100024,0.984825,-0.560517,0,0.616896,0.984825,0
SPE00100060,1.00195,0.0689296,0,0.945086,1.00195,0
SPE00100096,1.00166,0.0571989,0,0.93625,1.00166,0
SPE00100129,1.00751,0.268327,0,0.788684,1.00751,0
SPE00100195,1.01706,0.624104,0,0.557884,1.01706,0
SPE00100279,0.564631,-15.6725,0,0,0.564631,0
SPE00100310,0.996707,-0.113864,0,0.892152,0.996707,0
SPE00100005,0.9228,-2.79673,0,0.0201404,0.9228,0
SPE00100031,0.995309,-0.177421,0,0.785696,0.995309,0
SPE00100066,1.00637,0.228965,0,0.818904,1.00637,0
SPE00100098,0.979284,-0.74621,0,0.456544,0.979284,0
SPE00100139,1.00459,0.166202,0,0.868088,1.00459,0
SPE00100201,1.01065,0.389804,0,0.703726,1.01065,0
SPE00100280,0.963978,-1.29064,0,0.198936,0.963978,0
SPE00100315,0.996375,-0.124736,0,0.866918,0.996375,0
SPE00100006,0.962209,-1.36485,0,0.183896,0.962209,0
SPE00100034,1.00153,0.0509835,0,0.899698,1.00153,0
SPE00100068,1.00309,0.107433,0,0.910296,1.00309,0
SPE00100099,1.00051,0.0161503,0,0.949908,1.00051,0
SPE00100140,1.00866,0.315428,0,0.754758,1.00866,0
SPE00100205,1.02168,0.784944,0,0.441226,1.02168,0
SPE00100287,0.172749,-29.7652,0,0,0.172749,0
SPE00100318,1.01462,0.530316,0,0.600868,1.01462,0
SPE00100008,0.964275,-1.29198,0,0.2131,0.964275,0
SPE00100047,0.991355,-0.31262,0,0.75509,0.991355,0
SPE00100069,1.01535,0.552341,0,0.58094,1.01535,0
SPE00100101,0.95883,-1.48567,0,0.14651,0.95883,0
SPE00100146,0.983137,-0.606243,0,0.544416,0.983137,0
SPE00100218,1.011,0.398235,0,0.691864,1.011,0
SPE00100290,0.998482,-0.0540601,0,0.956892,0.998482,0
SPE00100325,0.0464331,-34.2845,0,0,0.0464331,0
SPE00100009,0.846947,-5.53111,0,3.7458e-06,0.846947,0
SPE00100048,0.99108,-0.329783,0,0.751932,0.99108,0
SPE00100076,1.00189,0.067642,0,0.946072,1.00189,0
SPE00100102,1.00115,0.0431728,0,0.956594,1.00115,0
SPE00100156,1.0064,0.231639,0,0.817142,1.0064,0
SPE00100222,1.00291,0.105855,0,0.91576,1.00291,0
SPE00100296,1.0017,0.0742884,0,0.679918,1.0017,0
SPE00100530,0.992918,-0.249622,0,0.804936,0.992918,0
SPE00100049,0.998231,-0.0709698,0,0.818386,0.998231,0
SPE00100081,1.00169,0.0591405,0,0.952884,1.00169,0
SPE00100103,0.995618,-0.155999,0,0.876146,0.995618,0
SPE00100158,0.99889,-0.039964,0,0.968122,0.99889,0
SPE00100223,1.00655,0.230858,0,0.819144,1.00655,0
SPE00100298,0.999313,-0.0265216,0,0.954132,0.999313,0
SPE00100531,1.00452,0.160153,0,0.87304,1.00452,0
SPE00240645,0.912374,-3.15978,0,0.00298356,0.912374,0
SPE00100012,0.951552,-1.75276,0,0.102786,0.951552,0
SPE00100050,0.994595,-0.196967,0,0.844448,0.994595,0
SPE00100088,0.997101,-0.107192,0,0.915016,0.997101,0
SPE00100105,1.00526,0.189704,0,0.8496,1.00526,0
SPE00100162,0.996765,-0.10838,0,0.810224,0.996765,0
SPE00100242,0.990507,-0.343397,0,0.732028,0.990507,0
SPE00100301,0.116666,-31.7589,0,0,0.116666,0
SPE00100359,1.00101,0.0345006,0,0.952248,1.00101,0
SPE00100013,0.966225,-1.22189,0,0.238812,0.966225,0
SPE00100054,0.992549,-0.267846,0,0.788824,0.992549,0
SPE00100090,1.03262,1.17033,0,0.242144,1.03262,0
SPE00100114,1.00098,0.0331512,0,0.94979,1.00098,0
SPE00100173,0.999698,-0.00648383,0,0.892222,0.999698,0
SPE00100254,1.00002,0.000752676,0,0.9994,1.00002,0
SPE00100303,1.00802,0.29035,0,0.772092,1.00802,0
SPE00100360,1.01057,0.377005,0,0.707178,1.01057,0
SPE00100014,0.966583,-1.21607,0,0.278032,0.966583,0
SPE00100056,0.996751,-0.115321,0,0.908274,0.996751,0
SPE00100093,1.00666,0.235126,0,0.815494,1.00666,0
SPE00100117,0.99974,-0.0118503,0,0.938054,0.99974,0
SPE00100190,0.996606,-0.119475,0,0.905164,0.996606,0
SPE00100267,1.02248,0.812167,0,0.421918,1.02248,0
SPE00100304,0.991885,-0.292158,0,0.770216,0.991885,0
SPE00100368,0.976828,-0.833263,0,0.404924,0.976828,0
SPE00100375,0.939503,-2.16176,0,0.0406052,0.939503,0
SPE00100528,0.954847,-1.62859,0,0.111179,0.954847,0
SPE00100537,0.0862274,-32.8563,0,0,0.0862274,0
SPE00100568,1.03923,1.40247,0,0.169643,1.03923,0
SPE00100609,1.00026,0.0157887,0,0.840376,1.00026,0
SPE00102018,1.01776,0.641673,0,0.523902,1.01776,0
SPE00200004,1.04894,1.76117,0,0.0797534,1.04894,0
SPE01500420,1.0605,2.17407,0,0.0298252,1.0605,0
SPE00100378,0.93881,-2.20902,0,0.0367054,0.93881,0
SPE00100455,1.01212,0.433251,0,0.66542,1.01212,0
SPE00100540,0.135151,-31.0981,0,0,0.135151,0
SPE00100572,1.04331,1.5576,0,0.120134,1.04331,0
SPE00100612,0.858881,-5.05906,0,9.78942e-07,0.858881,0
SPE00100682,1.05721,2.05893,0,0.041212,1.05721,0
SPE00102076,0.91747,-2.96076,0,0.0032366,0.91747,0
SPE00201606,0.793306,-7.42645,0,1.34447e-13,0.793306,0
SPE00100423,0.924081,-2.73159,0,0.00689736,0.924081,0
SPE00100458,1.00533,0.184612,0,0.835462,1.00533,0
SPE00100541,0.962293,-1.35151,0,0.178137,0.962293,0
SPE00100576,1.02206,0.798523,0,0.4331,1.02206,0
SPE00100615,1.03789,1.36086,0,0.173566,1.03789,0
SPE00100686,1.06183,2.22208,0,0.0264258,1.06183,0
SPE00102058,1.04004,1.44306,0,0.153684,1.04004,0
SPE00200010,0.945455,-1.95691,0,0.0508772,0.945455,0
SPE00100424,0.945587,-1.96231,0,0.0566964,0.945587,0
SPE00100525,0.99607,-0.141857,0,0.88722,0.99607,0
SPE00100551,0.985025,-0.544999,0,0.59487,0.985025,0
SPE00100580,1.00122,0.0448755,0,0.964224,1.00122,0
SPE00100616,0.99914,-0.0299323,0,0.976132,0.99914,0
SPE00100698,1.04728,1.70258,0,0.0917768,1.04728,0
SPE00107023,1.0109,0.404677,0,0.705524,1.0109,0
SPE00200012,1.03052,1.09778,0,0.272924,1.03052,0
SPE00100432,0.947979,-1.87093,0,0.0621464,0.947979,0
SPE00100465,0.991715,-0.299503,0,0.764972,0.991715,0
SPE00100550,1.02103,0.748916,0,0.462878,1.02103,0
SPE00100582,0.907295,-3.3215,0,0.00125033,0.907295,0
SPE00100618,1.03086,1.114,0,0.272836,1.03086,0
SPE00100719,0.979859,-0.718146,0,0.478516,0.979859,0
SPE00107022,1.01823,0.659602,0,0.514524,1.01823,0
SPE00201466,1.02128,0.765535,0,0.44435,1.02128,0
