supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.998772,-0.0736099,0,0.784772,0.998772,0
SPE00100016,1.00414,0.181205,0,0.85639,1.00414,0
SPE00100058,1.00601,0.264352,0,0.791792,1.00601,0
SPE00100094,0.995301,-0.178726,0,0.661674,0.995301,0
SPE00100126,1.00597,0.273248,0,0.785866,1.00597,0
SPE00100194,0.997171,-0.126849,0,0.899066,0.997171,0
SPE00100271,0.0783588,-41.2715,0,0,0.0783588,0
SPE00100305,0.980222,-0.869403,0,0.39181,0.980222,0
SPE00100003,0.988332,-0.544519,0,0.60906,0.988332,0
SPE00100024,1.00887,0.403923,0,0.68852,1.00887,0
SPE00100060,1.01172,0.519985,0,0.603302,1.01172,0
SPE00100096,1.00143,0.0598262,0,0.952374,1.00143,0
SPE00100129,1.01752,0.770947,0,0.445304,1.01752,0
SPE00100195,1.01488,0.675703,0,0.506332,1.01488,0
SPE00100279,0.67015,-14.7395,0,0,0.67015,0
SPE00100310,0.981583,-0.828615,0,0.410334,0.981583,0
SPE00100005,0.921122,-3.56573,0,0.00229782,0.921122,0
SPE00100031,1.00865,0.388509,0,0.69795,1.00865,0
SPE00100066,1.01744,0.786421,0,0.435568,1.01744,0
SPE00100098,0.974611,-1.16267,0,0.291844,0.974611,0
SPE00100139,1.01181,0.527131,0,0.598132,1.01181,0
SPE00100201,1.00267,0.125472,0,0.90057,1.00267,0
SPE00100280,0.977737,-1.01256,0,0.33209,0.977737,0
SPE00100315,0.985018,-0.65726,0,0.515802,0.985018,0
SPE00100006,1.00364,0.16673,0,0.867884,1.00364,0
SPE00100034,1.0078,0.366203,0,0.72388,1.0078,0
SPE00100068,1.01359,0.612391,0,0.54212,1.01359,0
SPE00100099,1.00416,0.154301,0,0.655856,1.00416,0
SPE00100140,1.00623,0.272766,0,0.785542,1.00623,0
SPE00100205,1.01833,0.82132,0,0.41249,1.01833,0
SPE00100287,0.0630015,-41.959,0,0,0.0630015,0
SPE00100318,0.9971,-0.129395,0,0.897046,0.9971,0
SPE00100008,0.980076,-0.885032,0,0.376566,0.980076,0
SPE00100047,0.990011,-0.454404,0,0.652454,0.990011,0
SPE00100069,1.03098,1.38525,0,0.16688,1.03098,0
SPE00100101,0.89512,-4.72407,0,3.16718e-05,0.89512,0
SPE00100146,0.949268,-2.33723,0,0.109302,0.949268,0
SPE00100218,1.01064,0.475846,0,0.634306,1.01064,0
SPE00100290,1.00357,0.149958,0,0.881864,1.00357,0
SPE00100325,0.0525583,-42.4287,0,0,0.0525583,0
SPE00100009,0.657634,-15.2879,0,0,0.657634,0
SPE00100048,0.99939,-0.0238838,0,0.962082,0.99939,0
SPE00100076,1.0064,0.295449,0,0.770022,1.0064,0
SPE00100102,0.998274,-0.0777505,0,0.93803,0.998274,0
SPE00100156,1.00375,0.14151,0,0.713924,1.00375,0
SPE00100222,1.00305,0.133168,0,0.89414,1.00305,0
SPE00100296,0.994908,-0.20809,0,0.789558,0.994908,0
SPE00100530,0.992896,-0.276627,0,0.576962,0.992896,0
SPE00100049,1.01049,0.459726,0,0.647874,1.01049,0
SPE00100081,1.0204,0.905298,0,0.366038,1.0204,0
SPE00100103,0.982823,-0.791898,0,0.461226,0.982823,0
SPE00100158,1.01152,0.499952,0,0.623818,1.01152,0
SPE00100223,0.993548,-0.307524,0,0.768054,0.993548,0
SPE00100298,1.00422,0.204332,0,0.81826,1.00422,0
SPE00100531,1.0053,0.267205,0,0.666848,1.0053,0
SPE00240645,0.912367,-3.94136,0,0.000315388,0.912367,0
SPE00100012,0.986697,-0.605815,0,0.551644,0.986697,0
SPE00100050,0.992519,-0.339305,0,0.735308,0.992519,0
SPE00100088,1.01634,0.714746,0,0.483166,1.01634,0
SPE00100105,1.00594,0.256751,0,0.798654,1.00594,0
SPE00100162,1.01082,0.459147,0,0.664008,1.01082,0
SPE00100242,0.967319,-1.4977,0,0.202058,0.967319,0
SPE00100301,0.0719315,-41.5557,0,0,0.0719315,0
SPE00100359,1.00586,0.288609,0,0.702848,1.00586,0
SPE00100013,0.994055,-0.281019,0,0.784452,0.994055,0
SPE00100054,0.987581,-0.555019,0,0.578978,0.987581,0
SPE00100090,1.03719,1.71124,0,0.182612,1.03719,0
SPE00100114,0.993716,-0.284237,0,0.776632,0.993716,0
SPE00100173,1.03121,1.37369,0,0.182527,1.03121,0
SPE00100254,0.98442,-0.681638,0,0.502712,0.98442,0
SPE00100303,1.00271,0.118734,0,0.905536,1.00271,0
SPE00100360,1.00461,0.231282,0,0.715196,1.00461,0
