supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.974235,-0.967833,0,0.333346,0.974235,0
SPE00100016,1.01223,0.455907,0,0.651426,1.01223,0
SPE00100058,1.00997,0.368086,0,0.721302,1.00997,0
SPE00100094,1.0112,0.445338,1,0.424048,1.0112,0
SPE00100126,0.996668,-0.132362,0,0.799454,0.996668,0
SPE00100194,0.998798,-0.044253,0,0.964724,0.998798,0
SPE00100271,0.51693,-18.2137,0,0,0.51693,0
SPE00100305,0.985111,-0.556858,0,0.579742,0.985111,0
SPE00100003,0.986928,-0.494238,0,0.622892,0.986928,0
SPE00100024,1.01169,0.438229,0,0.66155,1.01169,0
SPE00100060,1.00987,0.367765,0,0.714806,1.00987,0
SPE00100096,1.00378,0.138179,0,0.88501,1.00378,0
SPE00100129,1.00712,0.266012,0,0.790614,1.00712,0
SPE00100195,1.01495,0.562134,0,0.574032,1.01495,0
SPE00100279,0.574623,-16.0262,0,0,0.574623,0
SPE00100310,0.992321,-0.296314,0,0.775464,0.992321,0
SPE00100005,0.932837,-2.53182,0,0.0138364,0.932837,0
SPE00100031,1.02,0.756261,0,0.45476,1.02,0
SPE00100066,1.01005,0.377656,0,0.705688,1.01005,0
SPE00100098,0.957627,-1.60066,0,0.122889,0.957627,0
SPE00100139,1.00149,0.0565843,0,0.954886,1.00149,0
SPE00100201,0.998699,-0.0469928,0,0.945098,0.998699,0
SPE00100280,0.947215,-1.98429,0,0.0472312,0.947215,0
SPE00100315,0.982514,-0.661265,0,0.51254,0.982514,0
SPE00100006,1.00221,0.0794301,0,0.892998,1.00221,0
SPE00100034,1.02573,0.965031,0,0.336392,1.02573,0
SPE00100068,1.02358,0.886248,0,0.375488,1.02358,0
SPE00100099,1.00358,0.134007,0,0.893426,1.00358,0
SPE00100140,0.997071,-0.107692,0,0.91457,0.997071,0
SPE00100205,1.0095,0.353667,0,0.725502,1.0095,0
SPE00100287,0.185009,-30.6785,0,0,0.185009,0
SPE00100318,0.990167,-0.368099,0,0.71325,0.990167,0
SPE00100008,0.986729,-0.502177,0,0.61795,0.986729,0
SPE00100047,1.01201,0.452747,0,0.65096,1.01201,0
SPE00100069,1.0257,0.962442,0,0.340704,1.0257,0
SPE00100101,0.934933,-2.45008,0,0.0152089,0.934933,0
SPE00100146,0.956691,-1.62906,0,0.103442,0.956691,0
SPE00100218,1.01081,0.407967,0,0.6837,1.01081,0
SPE00100290,0.98371,-0.610361,0,0.542776,0.98371,0
SPE00100325,0.0605985,-35.3449,0,0,0.0605985,0
SPE00100009,0.78585,-8.04302,0,4.85906e-15,0.78585,0
SPE00100048,1.01764,0.664601,0,0.50692,1.01764,0
SPE00100076,1.01082,0.404816,0,0.686266,1.01082,0
SPE00100102,1.0036,0.128215,0,0.792718,1.0036,0
SPE00100156,1.00489,0.185305,0,0.85315,1.00489,0
SPE00100222,1.00492,0.182871,0,0.855264,1.00492,0
SPE00100296,0.979824,-0.761628,0,0.44913,0.979824,0
SPE00100530,0.984616,-0.581162,0,0.563126,0.984616,0
SPE00100049,1.02168,0.817899,0,0.415794,1.02168,0
SPE00100081,1.01903,0.712619,0,0.478138,1.01903,0
SPE00100103,1.00384,0.140377,0,0.886318,1.00384,0
SPE00100158,1.00542,0.203805,0,0.838506,1.00542,0
SPE00100223,1.00019,0.00105816,0,0.825014,1.00019,0
SPE00100298,0.985871,-0.534569,0,0.595688,0.985871,0
SPE00100531,0.988987,-0.410233,0,0.68449,0.988987,0
SPE00240645,0.93212,-2.55397,0,0.0108416,0.93212,0
SPE00100012,0.979861,-0.757468,0,0.448796,0.979861,0
SPE00100050,1.01867,0.708125,0,0.489714,1.01867,0
SPE00100088,1.01468,0.550135,0,0.58287,1.01468,0
SPE00100105,1.00045,0.0149044,0,0.936722,1.00045,0
SPE00100162,0.990751,-0.322232,1,0.37968,0.990751,0
SPE00100242,0.986047,-0.523269,0,0.60121,0.986047,0
SPE00100301,0.0938063,-34.1017,0,0,0.0938063,0
SPE00100359,1.0011,0.0407288,0,0.967526,1.0011,0
SPE00100013,0.986409,-0.514501,0,0.609804,0.986409,0
SPE00100054,1.0023,0.0947859,0,0.766146,1.0023,0
SPE00100090,1.04368,1.64428,0,0.101096,1.04368,0
SPE00100114,0.999072,-0.0334338,0,0.958348,0.999072,0
SPE00100173,1.00946,0.354022,0,0.723782,1.00946,0
SPE00100254,1.00212,0.0726031,0,0.796992,1.00212,0
SPE00100303,0.982287,-0.664185,0,0.50743,0.982287,0
SPE00100360,0.99748,-0.100063,0,0.848144,0.99748,0
SPE00100014,0.992303,-0.290824,0,0.771492,0.992303,0
SPE00100056,1.01316,0.494022,0,0.621484,1.01316,0
SPE00100093,0.989231,-0.400441,0,0.69263,0.989231,0
SPE00100117,1.01125,0.429397,0,0.67569,1.01125,0
SPE00100190,1.00729,0.271276,0,0.787336,1.00729,0
SPE00100267,1.02568,0.964902,0,0.334676,1.02568,0
SPE00100304,0.989064,-0.412593,0,0.680308,0.989064,0
SPE00100368,0.978061,-0.822925,0,0.41165,0.978061,0
SPE00100375,0.998157,-0.0699781,0,0.944228,0.998157,0
SPE00100528,0.99252,-0.279987,0,0.779708,0.99252,0
SPE00100537,0.0945934,-34.0609,0,0,0.0945934,0
SPE00100568,1.02103,0.786907,0,0.43567,1.02103,0
SPE00100609,0.987049,-0.492036,0,0.628666,0.987049,0
SPE00102018,0.949605,-1.89804,0,0.0595454,0.949605,0
SPE00200004,0.991244,-0.331029,0,0.741182,0.991244,0
SPE01500420,1.01658,0.631742,0,0.546206,1.01658,0
SPE00100378,1.00338,0.128736,0,0.897732,1.00338,0
SPE00100455,1.03921,1.47702,0,0.141624,1.03921,0
SPE00100540,0.360481,-24.0604,0,0,0.360481,0
SPE00100572,1.01872,0.703663,0,0.481666,1.01872,0
SPE00100612,0.893646,-4.00014,0,6.51248e-05,0.893646,0
SPE00100682,1.0193,0.728225,0,0.46829,1.0193,0
SPE00102076,0.558507,-16.6087,0,0,0.558507,0
SPE00201606,0.65857,-12.8406,0,3.32492e-37,0.65857,0
SPE00100423,0.967109,-1.23996,0,0.218394,0.967109,0
SPE00100458,1.03106,1.16936,0,0.243132,1.03106,0
SPE00100541,0.93417,-2.47591,0,0.0133428,0.93417,0
SPE00100576,1.01506,0.56736,0,0.57078,1.01506,0
SPE00100615,1.01956,0.734424,0,0.462952,1.01956,0
SPE00100686,1.00907,0.339871,0,0.734142,1.00907,0
SPE00102058,0.97536,-0.923214,0,0.35903,0.97536,0
SPE00200010,0.907947,-3.4561,0,0.000654958,0.907947,0
SPE00100424,1.02297,0.858431,0,0.39863,1.02297,0
SPE00100525,1.03612,1.35337,0,0.181912,1.03612,0
SPE00100551,1.0166,0.629157,0,0.536306,1.0166,0
SPE00100580,1.0011,0.0447562,0,0.906088,1.0011,0
SPE00100616,0.954641,-1.7092,0,0.0905116,0.954641,0
SPE00100698,1.02121,0.79964,0,0.425562,1.02121,0
SPE00107023,0.979427,-0.772461,0,0.440148,0.979427,0
SPE00200012,0.958347,-1.55893,0,0.131076,0.958347,0
SPE00100432,1.00067,0.0181063,0,0.799122,1.00067,0
SPE00100465,1.02431,0.914631,0,0.360466,1.02431,0
SPE00100550,1.01661,0.614911,0,0.562612,1.01661,0
SPE00100582,0.994374,-0.206974,0,0.838224,0.994374,0
SPE00100618,1.01011,0.384734,0,0.704632,1.01011,0
SPE00100719,0.89795,-3.84172,0,0.00015469,0.89795,0
SPE00107022,0.97301,-1.01295,0,0.312072,0.97301,0
SPE00201466,0.97681,-0.875036,0,0.384668,0.97681,0
SPE00100434,0.999932,-0.00615048,0,0.896472,0.999932,0
SPE00100475,1.02492,0.936938,0,0.348792,1.02492,0
SPE00100552,1.018,0.674133,0,0.502032,1.018,0
SPE00100583,1.01848,0.69183,0,0.491612,1.01848,0
SPE00100620,1.00768,0.290265,0,0.77196,1.00768,0
SPE00100688,1.0083,0.310573,0,0.756548,1.0083,0
SPE00107093,0.938481,-2.33057,0,0.0469678,0.938481,0
SPE00201477,0.668541,-12.4718,0,5.05396e-34,0.668541,0
SPE00100435,0.989867,-0.384765,0,0.70309,0.989867,0
SPE00100489,1.02223,0.833802,0,0.405704,1.02223,0
SPE00100562,1.0116,0.442771,0,0.666642,1.0116,0
SPE00100584,1.00269,0.0995737,0,0.920786,1.00269,0
SPE00100638,1.00474,0.175172,0,0.86182,1.00474,0
SPE00100731,1.00752,0.281143,0,0.778962,1.00752,0
SPE00200002,0.917359,-3.11124,0,0.002098,0.917359,0
SPE00201484,0.980881,-0.720253,0,0.471988,0.980881,0
SPE00100439,0.99362,-0.239104,0,0.811094,0.99362,0
SPE00100492,1.01938,0.733151,0,0.469936,1.01938,0
SPE00100520,1.00326,0.128454,0,0.82901,1.00326,0
SPE00100563,1.01941,0.729545,0,0.465696,1.01941,0
SPE00100585,0.996212,-0.142395,0,0.886768,0.996212,0
SPE00100646,0.998126,-0.070399,0,0.943876,0.998126,0
SPE00107015,0.975362,-0.933897,0,0.36838,0.975362,0
SPE00201505,0.778459,-8.32367,0,2.3093e-16,0.778459,0
SPE00100447,0.991198,-0.326983,0,0.746172,0.991198,0
SPE00100497,1.03266,1.22806,0,0.219432,1.03266,0
SPE00100566,1.00905,0.339057,0,0.734842,1.00905,0
SPE00100586,0.996765,-0.125239,0,0.896534,0.996765,0
SPE00100650,1.01592,0.58989,0,0.574642,1.01592,0
SPE00100901,0.994141,-0.222684,0,0.824444,0.994141,0
SPE00102007,0.915669,-3.17992,0,0.00247236,0.915669,0
SPE00201506,0.113127,-33.3716,0,0,0.113127,0
SPE00100517,1.03036,1.14413,0,0.254808,1.03036,0
SPE00100529,0.954106,-1.71843,0,0.0958136,0.954106,0
SPE00100567,1.02071,0.778849,0,0.436088,1.02071,0
SPE00100595,1.01608,0.6059,0,0.54508,1.01608,0
SPE00100651,1.00449,0.164803,0,0.870342,1.00449,0
SPE00102035,1.00191,0.0728491,0,0.941982,1.00191,0
SPE00107005,0.98581,-0.536849,0,0.594124,0.98581,0
SPE00201509,0.989786,-0.381944,0,0.703294,0.989786,0
SPE00200141,0.959367,-1.51253,0,0.187079,0.959367,0
SPE00200449,0.975293,-0.92259,0,0.368726,0.975293,0
SPE00200833,0.958144,-1.56847,0,0.12317,0.958144,0
SPE00211458,1.021,0.785863,0,0.435694,1.021,0
SPE00300007,0.958874,-1.55371,0,0.133914,0.958874,0
SPE00300058,1.04901,1.84115,0,0.0659044,1.04901,0
SPE00300119,1.03079,1.15299,0,0.255082,1.03079,0
SPE00300531,1.02284,0.858898,0,0.390398,1.02284,0
SPE00200015,1.01283,0.484859,0,0.628996,1.01283,0
SPE00200183,1.00139,0.0576263,0,0.848624,1.00139,0
SPE00200457,0.9871,-0.487078,0,0.627174,0.9871,0
SPE00200851,0.969105,-1.15704,0,0.25348,0.969105,0
SPE00300012,0.95897,-1.55228,0,0.143469,0.95897,0
SPE00300061,0.998991,-0.0392298,0,0.962258,0.998991,0
SPE00300132,1.02457,0.919998,0,0.362226,1.02457,0
SPE00300532,1.01653,0.624746,0,0.534858,1.01653,0
SPE00200031,0.998523,-0.0519948,0,0.898008,0.998523,0
SPE00200255,0.802839,-7.39943,0,2.18358e-12,0.802839,0
SPE00200463,0.981345,-0.695144,0,0.497946,0.981345,0
SPE00200873,0.981407,-0.6972,0,0.486642,0.981407,0
SPE00300018,0.99779,-0.0946933,0,0.675734,0.99779,0
SPE00300101,1.03035,1.13993,0,0.25476,1.03035,0
SPE00300133,1.03813,1.43486,0,0.151779,1.03813,0
SPE00300538,0.395635,-22.7215,0,0,0.395635,0
SPE00200040,1.00363,0.137261,0,0.890876,1.00363,0
SPE00200191,1.01562,0.592514,0,0.561144,1.01562,0
SPE00200484,0.942118,-2.17027,0,0.0337726,0.942118,0
SPE00201066,0.97779,-0.830299,0,0.413196,0.97779,0
SPE00300021,0.999055,-0.0444639,0,0.746618,0.999055,0
SPE00300104,1.02168,0.806321,0,0.44376,1.02168,0
SPE00300148,1.01843,0.69479,0,0.488308,1.01843,0
SPE00300539,1.02055,0.773713,0,0.43936,1.02055,0
SPE00200070,1.01155,0.438519,0,0.664918,1.01155,0
SPE00200243,1.02501,0.943366,0,0.348662,1.02501,0
SPE00200488,0.983018,-0.632774,0,0.535562,0.983018,0
SPE00201067,0.834827,-6.18341,0,8.77406e-08,0.834827,0
SPE00300032,0.939166,-2.29657,0,0.0294742,0.939166,0
SPE00300105,1.02918,1.09012,0,0.290626,1.02918,0
SPE00300157,0.974179,-0.97183,0,0.331494,0.974179,0
SPE00300540,1.01579,0.591745,0,0.55501,1.01579,0
SPE00200107,0.929134,-2.65803,0,0.0094876,0.929134,0
SPE00200412,1.01548,0.592178,0,0.580128,1.01548,0
SPE00200640,0.985705,-0.537643,0,0.590834,0.985705,0
SPE00201078,0.950984,-1.84709,0,0.0679294,0.950984,0
SPE00300006,0.990307,-0.372904,0,0.721998,0.990307,0
SPE00300106,1.0282,1.052,0,0.314382,1.0282,0
SPE00300160,1.02219,0.831535,0,0.407676,1.02219,0
SPE00300542,1.02335,0.875191,0,0.383618,1.02335,0
SPE00200110,1.02315,0.871864,0,0.38411,1.02315,0
SPE00200424,0.849282,-5.65607,0,6.53332e-08,0.849282,0
SPE00200743,0.965106,-1.31798,0,0.198177,0.965106,0
SPE00201083,0.953208,-1.7432,0,0.132508,0.953208,0
SPE00300052,0.991689,-0.317166,0,0.754592,0.991689,0
SPE00300110,1.03762,1.41046,0,0.162462,1.03762,0
SPE00300166,1.02626,0.991501,0,0.326892,1.02626,0
SPE00300545,0.997111,-0.111666,0,0.911622,0.997111,0
SPE00200111,1.02467,0.9317,0,0.357412,1.02467,0
SPE00200427,1.02655,1.00063,0,0.31873,1.02655,0
SPE00200759,0.992023,-0.30093,0,0.763626,0.992023,0
SPE00201133,0.992743,-0.26376,0,0.75028,0.992743,0
SPE00300053,1.00182,0.0598664,0,0.75562,1.00182,0
SPE00300111,1.02374,0.893824,0,0.37188,1.02374,0
SPE00300228,0.861796,-5.17735,0,3.35728e-06,0.861796,0
SPE00300546,0.612644,-14.5495,0,2.8026e-45,0.612644,0
SPE00200115,1.02344,0.876137,0,0.389568,1.02344,0
SPE00200441,1.01362,0.509469,0,0.612092,1.01362,0
SPE00200763,0.918053,-3.08818,0,0.00277018,0.918053,0
SPE00201136,0.664968,-12.5655,0,1.05562e-30,0.664968,0
SPE00212097,0.968827,-1.17652,0,0.24565,0.968827,0
SPE00300055,0.977209,-0.854639,0,0.394288,0.977209,0
SPE00300117,1.02985,1.11624,0,0.275066,1.02985,0
SPE00300348,0.964114,-1.34056,0,0.201084,0.964114,0
SPE00200139,0.988485,-0.438112,0,0.666844,0.988485,0
SPE00200447,0.991142,-0.33131,0,0.740904,0.991142,0
SPE00200793,0.986574,-0.501841,0,0.61774,0.986574,0
SPE00201154,0.993697,-0.235774,0,0.813784,0.993697,0
SPE00211224,1.01131,0.437611,0,0.684922,1.01131,0
SPE00300057,1.00723,0.275722,0,0.784784,1.00723,0
SPE00300118,1.03058,1.13393,0,0.330312,1.03058,0
SPE00300423,1.03451,1.28388,0,0.251696,1.03451,0
SPE00201513,0.147248,-32.0625,0,0,0.147248,0
SPE00201697,1.01998,0.753469,0,0.45296,1.01998,0
SPE00210239,0.385185,-23.1084,0,0,0.385185,0
SPE00210567,0.999675,-0.0152973,0,0.911208,0.999675,0
SPE00211126,0.997511,-0.0944428,0,0.924796,0.997511,0
SPE00211709,0.219155,-29.3671,0,0,0.219155,0
SPE00240660,0.990347,-0.361977,0,0.717524,0.990347,0
SPE01503261,0.329425,-25.1394,0,0,0.329425,0
SPE00100652,1.02061,0.77688,0,0.438472,1.02061,0
SPE00201524,0.943953,-2.10727,0,0.0350956,0.943953,0
SPE00203010,1.01392,0.52088,0,0.604006,1.01392,0
SPE00210242,0.232693,-28.846,0,0,0.232693,0
SPE00210568,1.01409,0.530229,0,0.596032,1.01409,0
SPE00211152,1.01794,0.67596,0,0.499676,1.01794,0
SPE00212140,1.00449,0.169061,0,0.86575,1.00449,0
SPE00240673,0.961737,-1.43375,0,0.157781,0.961737,0
SPE00201539,0.834238,-6.21322,0,1.59501e-08,0.834238,0
SPE00201716,0.95493,-1.69728,0,0.0913238,0.95493,0
SPE00210025,0.982507,-0.656379,0,0.512034,0.982507,0
SPE00210296,1.03409,1.28186,0,0.199931,1.03409,0
SPE00210599,1.00737,0.277644,0,0.781308,1.00737,0
SPE00211227,1.03039,1.14599,0,0.255242,1.03039,0
SPE00240429,0.752428,-9.28819,0,4.87792e-18,0.752428,0
SPE00240828,0.970009,-1.12105,0,0.27547,0.970009,0
SPE00201540,0.978478,-0.816999,0,0.432526,0.978478,0
SPE00201610,0.916014,-3.15029,0,0.0022716,0.916014,0
SPE00210014,1.02994,1.12756,0,0.260554,1.02994,0
SPE00210072,0.986178,-0.526465,0,0.609598,0.986178,0
SPE00210369,1.03458,1.29814,0,0.195531,1.03458,0
SPE00210837,1.02885,1.08252,0,0.280516,1.02885,0
SPE00240437,1.00138,0.0558451,0,0.88576,1.00138,0
SPE00240862,0.989922,-0.367913,0,0.710238,0.989922,0
SPE00100687,1.01621,0.606098,0,0.547428,1.01621,0
SPE00107013,1.02039,0.771243,0,0.447292,1.02039,0
SPE00201581,0.628299,-13.9443,0,4.45754e-38,0.628299,0
SPE00210201,1.01703,0.639652,0,0.522508,1.01703,0
SPE00210454,1.01118,0.409835,0,0.702884,1.01118,0
SPE00210850,0.235119,-28.7708,0,0,0.235119,0
SPE00240470,0.991561,-0.308879,0,0.768082,0.991561,0
SPE00240871,0.985463,-0.546667,0,0.584612,0.985463,0
SPE00100355,1.01527,0.581395,0,0.574232,1.01527,0
SPE00201584,0.943584,-2.13279,0,0.0492222,0.943584,0
SPE00210203,1.0148,0.556151,0,0.578124,1.0148,0
SPE00210503,1.02119,0.797118,0,0.42548,1.02119,0
SPE00210863,1.01785,0.666393,0,0.511102,1.01785,0
SPE00211538,1.01461,0.554011,0,0.584704,1.01461,0
SPE00240497,0.997919,-0.0863166,0,0.770816,0.997919,0
SPE00240944,0.942878,-2.14983,0,0.0321304,0.942878,0
SPE00200123,0.594773,-15.2255,0,0,0.594773,0
SPE00201595,0.902527,-3.66591,0,0.000250262,0.902527,0
SPE00210211,1.01235,0.458599,0,0.653898,1.01235,0
SPE00210505,0.457331,-20.36,0,0,0.457331,0
SPE00210866,1.01708,0.64628,0,0.52259,1.01708,0
SPE00211531,1.02212,0.829547,0,0.40828,1.02212,0
SPE00240565,0.494033,-18.9981,0,0,0.494033,0
SPE00290030,0.997969,-0.0683657,0,0.772786,0.997969,0
SPE00100749,1.01221,0.459634,0,0.645818,1.01221,0
SPE00201654,0.986529,-0.506941,0,0.612248,0.986529,0
SPE00210220,1.0188,0.703197,0,0.485906,1.0188,0
SPE00210515,0.14468,-32.1796,0,0,0.14468,0
SPE00210874,1.01096,0.407902,0,0.686448,1.01096,0
SPE00211475,0.941096,-2.19787,0,0.058134,0.941096,0
SPE00240567,1.00181,0.0733567,0,0.85154,1.00181,0
SPE00300001,0.99988,-0.0065617,0,0.941196,0.99988,0
SPE00100743,0.984107,-0.595806,0,0.552076,0.984107,0
SPE00201662,0.987678,-0.465173,0,0.642618,0.987678,0
SPE00210235,1.04753,1.76854,0,0.142882,1.04753,0
SPE00210522,1.01409,0.527249,0,0.599426,1.01409,0
SPE00211012,0.438496,-21.1059,0,0,0.438496,0
SPE00211552,0.24171,-28.4461,0,0,0.24171,0
SPE00240590,1.00745,0.278466,0,0.780948,1.00745,0
SPE00300003,0.997874,-0.0742048,0,0.836524,0.997874,0
SPE00100655,1.03878,1.45496,0,0.147943,1.03878,0
SPE00202130,1.0061,0.239786,0,0.712928,1.0061,0
SPE00210238,0.939209,-2.27496,0,0.0331472,0.939209,0
SPE00210556,1.0492,1.83959,0,0.0845452,1.0492,0
SPE00211066,1.00659,0.231846,0,0.57214,1.00659,0
SPE00211566,1.03147,1.17144,0,0.283378,1.03147,0
SPE00240642,0.973577,-0.985317,0,0.344974,0.973577,0
SPE00300005,0.939516,-2.25205,0,0.0737538,0.939516,0
SPE00200744,1.02067,0.774989,0,0.43979,1.02067,0
SPE00201364,1.006,0.217255,0,0.76523,1.006,0
SPE00203008,0.979088,-0.791006,0,0.435806,0.979088,0
SPE00240736,0.76008,-9.04861,0,5.43698e-16,0.76008,0
SPE00300547,1.02393,0.910369,0,0.398844,1.02393,0
SPE01500486,1.01487,0.559571,0,0.575828,1.01487,0
SPE01504024,1.0036,0.142127,0,0.809508,1.0036,0
SPE01504119,0.959477,-1.51328,0,0.156348,0.959477,0
SPE00201177,0.977946,-0.83122,0,0.40718,0.977946,0
SPE00201281,0.959955,-1.51428,0,0.14907,0.959955,0
SPE00201449,0.981596,-0.690752,0,0.49011,0.981596,0
SPE00307031,1.01081,0.409973,0,0.684498,1.01081,0
SPE01504412,0.997953,-0.0851955,0,0.76657,0.997953,0
SPE01600587,1.02114,0.798476,0,0.42907,1.02114,0
SPE01800055,1.00135,0.0496123,0,0.96047,1.00135,0
SPE10100009,1.00949,0.358611,0,0.72054,1.00949,0
SPE00201182,0.461964,-20.2144,0,0,0.461964,0
SPE00201309,0.99483,-0.197062,0,0.844512,0.99483,0
SPE00350011,1.01149,0.431102,0,0.666546,1.01149,0
SPE01500944,0.994316,-0.212933,0,0.831442,0.994316,0
SPE01503692,0.0693343,-35.0163,0,0,0.0693343,0
SPE01504018,0.991843,-0.298137,0,0.76756,0.991843,0
SPE01504256,1.00931,0.347473,0,0.729352,1.00931,0
SPE10101011,1.01721,0.646761,0,0.517804,1.01721,0
SPE00201185,0.92842,-2.70184,0,0.0113226,0.92842,0
SPE00201310,1.00183,0.0613026,0,0.7912,1.00183,0
SPE00211555,1.00575,0.216055,0,0.828944,1.00575,0
SPE00270067,1.00865,0.325252,0,0.744994,1.00865,0
SPE00300566,1.02625,0.982696,0,0.331212,1.02625,0
SPE01503723,1.00778,0.297569,0,0.76992,1.00778,0
SPE01504022,0.995786,-0.155469,0,0.877152,0.995786,0
SPE01504411,1.01206,0.452399,0,0.651184,1.01206,0
SPE00201187,0.890656,-4.12761,0,0.0002148,0.890656,0
SPE00201312,0.968987,-1.17323,0,0.256768,0.968987,0
SPE00210752,1.01698,0.634185,0,0.530586,1.01698,0
SPE01500275,0.974913,-0.944599,0,0.345514,0.974913,0
SPE01504104,1.00543,0.204673,0,0.837858,1.00543,0
SPE01600480,1.00023,0.0141623,0,0.838086,1.00023,0
SPE01600561,0.899545,-3.78281,0,0.000214604,0.899545,0
SPE01800031,1.03379,1.27146,0,0.203826,1.03379,0
SPE00200343,0.996126,-0.148758,0,0.882482,0.996126,0
SPE00200403,0.993889,-0.231651,0,0.81723,0.993889,0
SPE00210658,0.914703,-3.14909,1,0.145766,0.914703,0
SPE00240651,0.790709,-7.88958,0,5.04934e-13,0.790709,0
SPE01500655,1.01905,0.713503,0,0.47777,1.01905,0
SPE01504156,1.02383,0.892308,0,0.37624,1.02383,0
SPE01504168,0.917689,-3.11227,0,0.00681022,0.917689,0
SPE01600919,1.0098,0.374971,0,0.715652,1.0098,0
SPE00200407,0.618223,-14.3616,0,2.8026e-45,0.618223,0
SPE00201331,0.981544,-0.701895,0,0.500896,0.981544,0
SPE00300222,1.01408,0.532947,0,0.597196,1.01408,0
SPE00300556,0.951065,-1.83103,0,0.0809048,0.951065,0
SPE01500724,1.02259,0.843305,0,0.410348,1.02259,0
SPE01504155,1.02713,1.0224,0,0.308488,1.02713,0
SPE01600365,0.949518,-1.90497,0,0.0648114,0.949518,0
SPE01600964,1.01533,0.583364,0,0.57232,1.01533,0
SPE00200013,0.992426,-0.291197,0,0.776856,0.992426,0
SPE00200413,0.975192,-0.938299,0,0.358004,0.975192,0
SPE00201341,0.992615,-0.279366,0,0.780382,0.992615,0
SPE00241150,1.02175,0.818588,0,0.413342,1.02175,0
SPE00300564,1.01551,0.586088,0,0.56004,1.01551,0
SPE01504003,0.997064,-0.109393,0,0.912946,0.997064,0
SPE01504115,1.00539,0.207305,0,0.838244,1.00539,0
SPE01504124,1.01049,0.394171,0,0.693478,1.01049,0
SPE00200416,0.97028,-1.11451,0,0.267636,0.97028,0
SPE00201342,0.98831,-0.429868,0,0.685876,0.98831,0
SPE00203029,0.963394,-1.36922,0,0.18474,0.963394,0
SPE00240958,0.654669,-12.9611,0,2.57176e-34,0.654669,0
SPE00270083,1.01985,0.750616,0,0.45883,1.01985,0
SPE01500880,1.0297,1.12119,0,0.268792,1.0297,0
SPE01504167,1.01434,0.535828,0,0.594478,1.01434,0
SPE02300228,1.01888,0.705838,0,0.48467,1.01888,0
SPE00200436,0.959277,-1.53674,0,0.132341,0.959277,0
SPE00201355,1.00586,0.213591,0,0.81395,1.00586,0
SPE00240740,1.00069,0.0233993,0,0.92853,1.00069,0
SPE01504005,0.943285,-2.13523,0,0.0337402,0.943285,0
SPE01504016,1.01612,0.599479,0,0.559988,1.01612,0
SPE01504051,1.01257,0.482919,0,0.652752,1.01257,0
SPE01701001,1.01458,0.550429,0,0.583406,1.01458,0
SPE01800123,0.826862,-6.51426,0,1.28233e-10,0.826862,0
SPE00211950,0.986429,-0.513165,0,0.609864,0.986429,0
SPE00307045,1.00732,0.282036,0,0.784356,1.00732,0
SPE01500730,1.00654,0.24527,0,0.806312,1.00654,0
SPE01500842,1.00553,0.209215,0,0.834454,1.00553,0
SPE01502020,0.996439,-0.136237,0,0.892024,0.996439,0
SPE01504162,1.00706,0.263108,0,0.793096,1.00706,0
SPE01504164,0.97522,-0.934325,0,0.352388,0.97522,0
SPE01504181,0.648175,-13.197,0,5.57098e-34,0.648175,0
SPE00211468,0.616056,-14.4316,0,0,0.616056,0
SPE00300600,1.01275,0.481731,0,0.631254,1.01275,0
SPE00307047,1.03384,1.27426,0,0.203698,1.03384,0
SPE00310023,0.998591,-0.0600899,0,0.796448,0.998591,0
SPE01500247,1.00761,0.283533,0,0.777698,1.00761,0
SPE01502262,1.00855,0.323279,0,0.746988,1.00855,0
SPE01504041,0.992986,-0.267063,0,0.790932,0.992986,0
SPE01504091,1.00171,0.0690252,0,0.865932,1.00171,0
SPE00307050,0.946403,-2.01597,0,0.0439206,0.946403,0
SPE01500726,0.942461,-2.15725,0,0.0349646,0.942461,0
SPE01500835,1.00604,0.231652,0,0.819418,1.00604,0
SPE01502126,1.00631,0.239498,0,0.81128,1.00631,0
SPE01502180,0.974424,-0.96306,0,0.336226,0.974424,0
SPE01503674,1.01067,0.400514,0,0.688872,1.01067,0
SPE01504017,0.439599,-21.0301,0,0,0.439599,0
SPE02300330,1.01312,0.497191,0,0.622528,1.01312,0
SPE00290032,1.01247,0.470862,0,0.638692,1.01247,0
SPE00307055,1.02729,1.02663,0,0.3048,1.02729,0
SPE00310001,1.00317,0.117895,0,0.906278,1.00317,0
SPE01500874,1.00034,0.0091295,0,0.889414,1.00034,0
SPE01500904,1.01146,0.428602,0,0.669264,1.01146,0
SPE01503815,1.02008,0.757893,0,0.451196,1.02008,0
SPE01503987,1.01117,0.415027,0,0.682686,1.01117,0
SPE01503994,0.975585,-0.916329,0,0.360296,0.975585,0
SPE00307056,0.965625,-1.29482,0,0.197143,0.965625,0
SPE01500740,0.909172,-3.40554,0,0.0011614,0.909172,0
SPE01500857,1.01464,0.55084,0,0.58181,1.01464,0
SPE01502261,1.01155,0.443354,0,0.67482,1.01155,0
SPE01504044,0.949384,-1.90203,0,0.0573194,0.949384,0
SPE01504180,0.927342,-2.73125,0,0.00631568,0.927342,0
