supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,1.01705,0.325508,0,0.7448,1.01705,0
SPE00100016,1.013,0.228337,0,0.816818,1.013,0
SPE00100058,0.995504,-0.0967205,0,0.894282,0.995504,0
SPE00100094,0.929423,-1.38365,0,0.21024,0.929423,0
SPE00100126,1.01791,0.354395,0,0.726256,1.01791,0
SPE00100194,0.990804,-0.129334,0,0.578614,0.990804,0
SPE00100271,0.207546,-15.2251,0,6.16571e-44,0.207546,0
SPE00100305,1.05475,1.07465,0,0.314962,1.05475,0
SPE00100003,0.962664,-0.722063,0,0.473564,0.962664,0
SPE00100024,1.00052,-0.0154161,0,0.757596,1.00052,0
SPE00100060,0.996949,-0.0687816,0,0.897642,0.996949,0
SPE00100096,1.00859,0.153303,0,0.87915,1.00859,0
SPE00100129,1.00272,0.0626166,0,0.896376,1.00272,0
SPE00100195,0.988896,-0.201003,0,0.842034,0.988896,0
SPE00100279,0.483288,-9.92084,0,4.26194e-20,0.483288,0
SPE00100310,1.02848,0.568792,0,0.588046,1.02848,0
SPE00100005,0.78263,-4.18024,0,8.85646e-05,0.78263,0
SPE00100031,1.0205,0.388186,0,0.698046,1.0205,0
SPE00100066,0.994927,-0.107248,0,0.8989,0.994927,0
SPE00100098,0.860917,-2.69255,0,0.0145103,0.860917,0
SPE00100139,1.02093,0.433327,0,0.69084,1.02093,0
SPE00100201,1.00402,0.0822802,0,0.934576,1.00402,0
SPE00100280,0.855499,-2.7446,0,0.00652294,0.855499,0
SPE00100315,1.05781,1.15588,0,0.34209,1.05781,0
SPE00100006,0.993611,-0.14237,0,0.804732,0.993611,0
SPE00100034,1.00235,0.0378845,0,0.933668,1.00235,0
SPE00100068,1.00587,0.103036,0,0.914524,1.00587,0
SPE00100099,0.974003,-0.494215,0,0.621216,0.974003,0
SPE00100140,0.971889,-0.535643,0,0.59221,0.971889,0
SPE00100205,0.9934,-0.111228,0,0.859552,0.9934,0
SPE00100287,0.138944,-16.5297,0,0,0.138944,0
SPE00100318,1.11467,2.24712,0,0.0665558,1.11467,0
SPE00100008,1.01939,0.378519,0,0.706618,1.01939,0
SPE00100047,0.982214,-0.33885,0,0.734724,0.982214,0
SPE00100069,1.0061,0.110886,0,0.911892,1.0061,0
SPE00100101,0.796088,-3.9023,0,0.000116983,0.796088,0
SPE00100146,0.839003,-3.08216,0,0.00227984,0.839003,0
SPE00100218,0.982681,-0.319675,0,0.751228,0.982681,0
SPE00100290,1.0464,0.918168,0,0.397004,1.0464,0
SPE00100325,0.0654933,-17.9415,0,0,0.0654933,0
SPE00100009,0.578369,-8.09456,0,5.08372e-14,0.578369,0
SPE00100048,1.0134,0.218029,0,0.654958,1.0134,0
SPE00100076,0.998227,-0.0304195,0,0.967136,0.998227,0
SPE00100102,0.968604,-0.607465,0,0.545808,0.968604,0
SPE00100156,0.991616,-0.156543,0,0.875706,0.991616,0
SPE00100222,1.01919,0.383426,0,0.707754,1.01919,0
SPE00100296,1.02762,0.549555,0,0.597034,1.02762,0
SPE00100530,1.07767,1.52325,0,0.17687,1.07767,0
SPE00100049,1.00478,0.087928,0,0.929988,1.00478,0
SPE00100081,0.981192,-0.349037,0,0.728856,0.981192,0
SPE00100103,0.949135,-0.966705,0,0.334084,0.949135,0
SPE00100158,0.990846,-0.17293,0,0.862734,0.990846,0
SPE00100223,0.992469,-0.166062,0,0.787586,0.992469,0
SPE00100298,1.01052,0.203466,0,0.838866,1.01052,0
SPE00100531,1.08382,1.62892,0,0.126999,1.08382,0
SPE00240645,0.843232,-3.01458,0,0.0038069,0.843232,0
SPE00100012,1.01919,0.371395,0,0.710936,1.01919,0
SPE00100050,1.00205,0.0694906,0,0.711522,1.00205,0
SPE00100088,1.01554,0.288103,0,0.77437,1.01554,0
SPE00100105,1.00321,0.058027,0,0.953762,1.00321,0
SPE00100162,1.00908,0.17997,0,0.85767,1.00908,0
SPE00100242,0.941735,-1.12407,0,0.266866,0.941735,0
SPE00100301,0.0855185,-17.5629,0,0,0.0855185,0
SPE00100359,1.1008,1.94468,0,0.0605788,1.1008,0
SPE00100013,0.987856,-0.186238,0,0.58756,0.987856,0
SPE00100054,1.00201,0.033097,0,0.949274,1.00201,0
SPE00100090,0.94133,-1.10436,0,0.276852,0.94133,0
SPE00100114,1.01764,0.32661,0,0.745744,1.01764,0
SPE00100173,0.992595,-0.129656,0,0.889042,0.992595,0
SPE00100254,0.960655,-0.763633,0,0.451032,0.960655,0
SPE00100303,0.997231,-0.0665051,0,0.867862,0.997231,0
SPE00100360,1.06292,1.21222,0,0.23059,1.06292,0
SPE00100014,1.0011,0.0345704,0,0.868748,1.0011,0
SPE00100056,0.978129,-0.467768,0,0.579882,0.978129,0
SPE00100093,0.76335,-4.5594,0,3.25368e-05,0.76335,0
SPE00100117,0.985341,-0.255093,0,0.77336,0.985341,0
SPE00100190,1.0096,0.168083,0,0.857482,1.0096,0
SPE00100267,1.01365,0.250244,0,0.80384,1.01365,0
SPE00100304,0.983829,-0.293037,0,0.77337,0.983829,0
SPE00100368,1.02704,0.536666,0,0.60349,1.02704,0
SPE00100375,1.05574,1.04517,0,0.30727,1.05574,0
SPE00100528,0.913645,-1.65872,0,0.100674,0.913645,0
SPE00100537,0.0986529,-17.3118,0,0,0.0986529,0
SPE00100568,1.0347,0.641851,0,0.532968,1.0347,0
SPE00100609,0.869546,-2.49637,0,0.0130288,0.869546,0
SPE00102018,0.936366,-1.18474,0,0.264376,0.936366,0
SPE00200004,1.13386,2.58666,0,0.0161744,1.13386,0
SPE01500420,1.03595,0.736769,0,0.54141,1.03595,0
SPE00100378,1.03828,0.723262,0,0.47099,1.03828,0
SPE00100455,1.03139,0.594612,0,0.552562,1.03139,0
SPE00100540,0.0750064,-17.7607,0,0,0.0750064,0
SPE00100572,1.02202,0.403188,0,0.692872,1.02202,0
SPE00100612,0.419815,-11.1324,0,3.37596e-25,0.419815,0
SPE00100682,1.06978,1.37361,0,0.225964,1.06978,0
SPE00102076,0.416181,-11.1925,0,5.55642e-26,0.416181,0
SPE00201606,0.856802,-2.72675,0,0.00646156,0.856802,0
SPE00100423,0.915055,-1.64222,0,0.113041,0.915055,0
SPE00100458,1.03006,0.546537,0,0.60414,1.03006,0
SPE00100541,0.87946,-2.3305,0,0.029237,0.87946,0
SPE00100576,1.03844,0.729591,0,0.466026,1.03844,0
SPE00100615,0.987386,-0.207587,0,0.694582,0.987386,0
SPE00100686,1.06545,1.25766,0,0.211508,1.06545,0
SPE00102058,1.04949,0.984123,0,0.38123,1.04949,0
