supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,1.02484,0.561211,0,0.56071,1.02484,0
SPE00100016,0.988654,-0.249096,0,0.721792,0.988654,0
SPE00100058,0.993394,-0.169168,0,0.865698,0.993394,0
SPE00100094,0.990446,-0.254426,0,0.799362,0.990446,0
SPE00100126,0.995487,-0.0828056,0,0.784144,0.995487,0
SPE00100194,1.01388,0.33711,0,0.740674,1.01388,0
SPE00100271,0.476138,-13.7418,0,1.19632e-38,0.476138,0
SPE00100305,1.12796,3.11481,0,0.0818514,1.12796,0
SPE00100003,1.02504,0.60691,0,0.56896,1.02504,0
SPE00100024,0.952918,-1.24415,0,0.218144,0.952918,0
SPE00100060,0.985743,-0.340851,0,0.740558,0.985743,0
SPE00100096,0.98492,-0.392525,0,0.69467,0.98492,0
SPE00100129,1.0024,0.0831776,0,0.870078,1.0024,0
SPE00100195,1.03916,0.957269,0,0.395222,1.03916,0
SPE00100279,1.05409,1.49688,0,0.226834,1.05409,0
SPE00100310,1.07145,1.68501,0,0.38495,1.07145,0
SPE00100005,1.04643,1.1869,0,0.242404,1.04643,0
SPE00100031,1.00549,0.152963,0,0.878814,1.00549,0
SPE00100066,0.971303,-0.736535,0,0.46303,0.971303,0
SPE00100098,0.984567,-0.425988,0,0.67572,0.984567,0
SPE00100139,0.993121,-0.160945,0,0.873446,0.993121,0
SPE00100201,0.981439,-0.516409,0,0.617752,0.981439,0
SPE00100280,0.944914,-1.41283,0,0.163786,0.944914,0
SPE00100315,1.10659,2.65513,0,0.0446046,1.10659,0
SPE00100006,1.06001,1.53767,0,0.131485,1.06001,0
SPE00100034,0.997925,-0.0759844,0,0.862446,0.997925,0
SPE00100068,0.996408,-0.0781985,0,0.90367,0.996408,0
SPE00100099,0.935903,-1.69469,0,0.0967216,0.935903,0
SPE00100140,0.993871,-0.166749,0,0.867778,0.993871,0
SPE00100205,1.00634,0.210849,0,0.723172,1.00634,0
SPE00100287,0.517361,-12.74,0,2.66082e-30,0.517361,0
SPE00100318,1.0593,1.49451,0,0.1649,1.0593,0
SPE00100008,0.998284,-0.135576,0,0.475704,0.998284,0
SPE00100047,0.991704,-0.211432,0,0.83266,0.991704,0
SPE00100069,1.03139,0.844909,0,0.409156,1.03139,0
SPE00100101,0.876036,-3.29055,0,0.00266538,0.876036,0
SPE00100146,1.00716,0.187964,0,0.850916,1.00716,0
SPE00100218,1.0247,0.686402,0,0.517112,1.0247,0
SPE00100290,0.988681,-0.277946,0,0.782934,0.988681,0
SPE00100325,0.087586,-24.144,0,0,0.087586,0
SPE00100009,0.99584,-0.189312,0,0.528726,0.99584,0
SPE00100048,0.983921,-0.429701,0,0.668598,0.983921,0
SPE00100076,1.00268,0.0918443,0,0.86195,1.00268,0
SPE00100102,0.991911,-0.202217,0,0.8401,0.991911,0
SPE00100156,1.00182,0.0291064,0,0.884982,1.00182,0
SPE00100222,1.00872,0.250229,0,0.805632,1.00872,0
SPE00100296,1.00373,0.0620783,0,0.781686,1.00373,0
SPE00100530,1.0632,1.61304,0,0.118396,1.0632,0
SPE00100049,0.966471,-0.883669,0,0.37854,0.966471,0
SPE00100081,1.03089,0.760321,0,0.473994,1.03089,0
SPE00100103,1.00599,0.198329,0,0.742614,1.00599,0
SPE00100158,1.01436,0.391179,0,0.698324,1.01436,0
SPE00100223,0.965019,-0.846896,0,0.45487,0.965019,0
SPE00100298,0.99589,-0.200963,0,0.465928,0.99589,0
SPE00100531,1.07385,1.90567,0,0.0590708,1.07385,0
SPE00240645,0.817527,-4.88568,0,6.54958e-05,0.817527,0
SPE00100012,1.00248,0.000135338,0,0.609054,1.00248,0
SPE00100050,1.00107,0.0644991,0,0.772908,1.00107,0
