supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.94875,-2.42293,0,0.0196941,0.94875,0
SPE00100016,1.00157,0.073543,0,0.94142,1.00157,0
SPE00100058,1.0022,0.104308,0,0.9171,1.0022,0
SPE00100094,0.996356,-0.1733,0,0.863424,0.996356,0
SPE00100126,1.00056,0.0268079,0,0.969338,1.00056,0
SPE00100194,1.0067,0.313529,0,0.76376,1.0067,0
SPE00100271,0.713296,-13.5546,0,3.47226e-33,0.713296,0
SPE00100305,0.991403,-0.405161,0,0.686302,0.991403,0
SPE00100003,0.956913,-2.03711,0,0.0478858,0.956913,0
SPE00100024,1.00068,0.0333326,0,0.88813,1.00068,0
SPE00100060,1.00092,0.043841,0,0.965044,1.00092,0
SPE00100096,0.998791,-0.0571179,0,0.954452,0.998791,0
SPE00100129,1.00521,0.245607,0,0.806234,1.00521,0
SPE00100195,1.01365,0.643238,0,0.523548,1.01365,0
SPE00100279,0.665497,-15.8014,0,0,0.665497,0
SPE00100310,0.990465,-0.450961,0,0.652794,0.990465,0
SPE00100005,0.92717,-3.44062,0,0.00065717,0.92717,0
SPE00100031,0.997091,-0.139434,0,0.836262,0.997091,0
SPE00100066,1.00566,0.26671,0,0.790192,1.00566,0
SPE00100098,0.994902,-0.241152,0,0.809616,0.994902,0
SPE00100139,1.00054,0.0250159,0,0.954166,1.00054,0
SPE00100201,1.0123,0.586229,0,0.610776,1.0123,0
SPE00100280,0.958142,-1.97968,0,0.0585368,0.958142,0
SPE00100315,0.987594,-0.585529,0,0.558354,0.987594,0
SPE00100006,0.954646,-2.14278,0,0.033185,0.954646,0
SPE00100034,1.00477,0.226701,0,0.822378,1.00477,0
SPE00100068,1.0017,0.0802959,0,0.936002,1.0017,0
SPE00100099,1.00516,0.242325,0,0.81064,1.00516,0
SPE00100140,0.999724,-0.0136252,0,0.950368,0.999724,0
SPE00100205,1.01458,0.690043,0,0.494192,1.01458,0
SPE00100287,0.245348,-35.6516,0,0,0.245348,0
SPE00100318,1.00316,0.149833,0,0.88122,1.00316,0
SPE00100008,0.943916,-2.64708,0,0.00867548,0.943916,0
SPE00100047,0.999026,-0.0455676,0,0.963692,0.999026,0
SPE00100069,1.00792,0.372937,0,0.710378,1.00792,0
SPE00100101,0.967098,-1.55395,0,0.120312,0.967098,0
SPE00100146,0.985696,-0.676419,0,0.50072,0.985696,0
SPE00100218,1.01232,0.581644,0,0.56081,1.01232,0
SPE00100290,0.995783,-0.199459,0,0.841984,0.995783,0
SPE00100325,0.0498821,-44.8709,0,0,0.0498821,0
SPE00100009,0.923432,-3.61712,0,0.000342018,0.923432,0
SPE00100048,0.998583,-0.0680476,0,0.908376,0.998583,0
SPE00100076,0.997098,-0.13517,0,0.852232,0.997098,0
SPE00100102,1.00394,0.188332,0,0.802802,1.00394,0
SPE00100156,1.00177,0.0823496,0,0.890368,1.00177,0
SPE00100222,1.00242,0.114082,0,0.909198,1.00242,0
SPE00100296,0.986259,-0.649634,0,0.5171,0.986259,0
SPE00100530,1.00272,0.130757,0,0.805862,1.00272,0
SPE00100049,1.01162,0.548629,0,0.583286,1.01162,0
SPE00100081,1.00548,0.256441,0,0.803862,1.00548,0
SPE00100103,0.999864,-0.00584551,0,0.95235,0.999864,0
SPE00100158,0.99442,-0.263776,0,0.792044,0.99442,0
SPE00100223,1.00354,0.166448,0,0.868332,1.00354,0
SPE00100298,0.989643,-0.488499,0,0.62578,0.989643,0
SPE00100531,1.00006,0.00438242,0,0.87625,1.00006,0
SPE00240645,0.905478,-4.46203,0,1.00926e-05,0.905478,0
SPE00100012,0.939201,-2.87232,0,0.0043798,0.939201,0
SPE00100050,0.999146,-0.0415111,0,0.906472,0.999146,0
SPE00100088,0.999703,-0.0146164,0,0.951082,0.999703,0
SPE00100105,1.00762,0.361243,0,0.7202,1.00762,0
SPE00100162,0.992146,-0.37673,0,0.579682,0.992146,0
SPE00100242,0.992427,-0.355487,0,0.728266,0.992427,0
SPE00100301,0.107078,-42.1708,0,0,0.107078,0
SPE00100359,1.00393,0.186785,0,0.852892,1.00393,0
SPE00100013,0.947769,-2.46776,0,0.01443,0.947769,0
SPE00100054,0.989256,-0.509489,0,0.618716,0.989256,0
SPE00100090,1.03128,1.47736,0,0.139618,1.03128,0
SPE00100114,0.995482,-0.213331,0,0.83107,0.995482,0
SPE00100173,0.993536,-0.304926,0,0.760558,0.993536,0
SPE00100254,0.994322,-0.26623,0,0.793852,0.994322,0
SPE00100303,0.995428,-0.216691,0,0.829002,0.995428,0
SPE00100360,1.01373,0.648849,0,0.517132,1.01373,0
SPE00100014,0.947192,-2.49596,0,0.0149567,0.947192,0
SPE00100056,0.993842,-0.28984,0,0.772984,0.993842,0
SPE00100093,1.01683,0.792563,0,0.438874,1.01683,0
SPE00100117,1.0048,0.226769,0,0.820616,1.0048,0
SPE00100190,0.995998,-0.189729,0,0.849964,0.995998,0
SPE00100267,1.01714,0.811039,0,0.424492,1.01714,0
SPE00100304,0.9897,-0.486825,0,0.626728,0.9897,0
SPE00100368,0.983501,-0.780992,0,0.44317,0.983501,0
SPE00100375,0.956522,-2.05509,0,0.043935,0.956522,0
SPE00100528,1.01429,0.674834,0,0.49985,1.01429,0
SPE00100537,0.131512,-41.0139,0,0,0.131512,0
SPE00100568,1.01868,0.883864,0,0.384966,1.01868,0
SPE00100609,0.994866,-0.241228,0,0.81078,0.994866,0
SPE00102018,0.994089,-0.279539,0,0.780016,0.994089,0
SPE00200004,1.01068,0.50462,0,0.614264,1.01068,0
SPE01500420,1.02753,1.30111,0,0.196504,1.02753,0
SPE00100378,0.952043,-2.26799,0,0.0315236,0.952043,0
SPE00100455,1.01774,0.837676,0,0.402214,1.01774,0
SPE00100540,0.956295,-2.07026,0,0.0811418,0.956295,0
SPE00100572,1.02116,0.999314,0,0.317644,1.02116,0
SPE00100612,0.874762,-5.91692,0,9.82368e-09,0.874762,0
