supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.995679,-0.118808,0,0.774342,0.995679,0
SPE00100016,1.00474,0.144712,0,0.885608,1.00474,0
SPE00100058,1.00741,0.222698,0,0.82406,1.00741,0
SPE00100094,0.990731,-0.282951,0,0.781796,0.990731,0
SPE00100126,1.00349,0.100068,0,0.908162,1.00349,0
SPE00100194,0.998654,-0.0500127,0,0.770292,0.998654,0
SPE00100271,0.58252,-12.4333,0,6.01668e-35,0.58252,0
SPE00100305,0.973706,-0.795978,0,0.45995,0.973706,0
SPE00100003,0.992166,-0.223356,0,0.777598,0.992166,0
SPE00100024,1.0145,0.438303,0,0.667048,1.0145,0
SPE00100060,1.01601,0.478621,0,0.63278,1.01601,0
SPE00100096,1.00201,0.058428,0,0.953444,1.00201,0
SPE00100129,1.00272,0.0782122,0,0.935728,1.00272,0
SPE00100195,1.01854,0.544625,0,0.59477,1.01854,0
SPE00100279,0.494608,-15.0499,0,0,0.494608,0
SPE00100310,0.966712,-1.00648,0,0.362848,0.966712,0
SPE00100005,0.985288,-0.429864,0,0.676042,0.985288,0
SPE00100031,1.01499,0.457453,0,0.664432,1.01499,0
SPE00100066,1.02015,0.607272,0,0.553354,1.02015,0
SPE00100098,0.978044,-0.654744,0,0.512862,0.978044,0
SPE00100139,1.00826,0.243717,0,0.807808,1.00826,0
SPE00100201,0.99671,-0.10402,0,0.859008,0.99671,0
SPE00100280,0.939433,-1.80809,0,0.0736964,0.939433,0
SPE00100315,0.974021,-0.786593,0,0.46524,0.974021,0
SPE00100006,1.02341,0.706289,0,0.496348,1.02341,0
SPE00100034,1.03105,0.927493,0,0.35576,1.03105,0
SPE00100068,1.01821,0.547223,0,0.588266,1.01821,0
SPE00100099,1.00443,0.134882,0,0.893114,1.00443,0
SPE00100140,0.995595,-0.130763,0,0.89597,0.995595,0
SPE00100205,1.00284,0.078097,0,0.85316,1.00284,0
SPE00100287,0.278514,-21.5146,0,0,0.278514,0
SPE00100318,0.973256,-0.7876,0,0.445284,0.973256,0
SPE00100008,1.00764,0.237723,0,0.765882,1.00764,0
SPE00100047,1.01033,0.323615,0,0.651612,1.01033,0
SPE00100069,1.03312,0.993411,0,0.332272,1.03312,0
SPE00100101,0.911738,-2.62639,0,0.00866392,0.911738,0
SPE00100146,0.972659,-0.817754,0,0.41645,0.972659,0
SPE00100218,1.00735,0.20927,0,0.7853,1.00735,0
SPE00100290,0.986995,-0.39662,0,0.70279,0.986995,0
SPE00100325,0.0474294,-28.3899,0,0,0.0474294,0
SPE00100009,0.875569,-3.67871,0,0.00170182,0.875569,0
SPE00100048,1.027,0.816991,0,0.44884,1.027,0
SPE00100076,1.01796,0.549395,0,0.616032,1.01796,0
SPE00100102,1.00772,0.236215,0,0.816452,1.00772,0
SPE00100156,1.00808,0.252456,0,0.735296,1.00808,0
SPE00100222,0.997006,-0.0990051,0,0.772692,0.997006,0
SPE00100296,0.982868,-0.524873,0,0.633068,0.982868,0
SPE00100530,0.973626,-0.798033,0,0.45714,0.973626,0
SPE00100049,1.03621,1.08577,0,0.289956,1.03621,0
SPE00100081,1.02707,0.813785,0,0.428022,1.02707,0
SPE00100103,1.00783,0.233733,0,0.815226,1.00783,0
SPE00100158,1.00505,0.155543,0,0.87783,1.00505,0
SPE00100223,0.981909,-0.550384,0,0.604258,0.981909,0
SPE00100298,0.979864,-0.613411,0,0.572568,0.979864,0
SPE00100531,0.970337,-0.888635,0,0.38062,0.970337,0
SPE00240645,0.958767,-1.21406,0,0.260044,0.958767,0
SPE00100012,1.00848,0.262776,0,0.767034,1.00848,0
SPE00100050,1.02593,0.780676,0,0.450118,1.02593,0
SPE00100088,1.01771,0.530716,0,0.597434,1.01771,0
SPE00100105,1.00487,0.151519,0,0.847884,1.00487,0
SPE00100162,1.00662,0.192577,0,0.848638,1.00662,0
SPE00100242,0.96765,-0.97059,0,0.34356,0.96765,0
SPE00100301,0.0796951,-27.4321,0,0,0.0796951,0
SPE00100359,0.966927,-0.98845,0,0.326078,0.966927,0
SPE00100013,1.01954,0.587532,0,0.562868,1.01954,0
SPE00100054,1.02348,0.701372,0,0.484022,1.02348,0
SPE00100090,1.02973,0.89322,0,0.385566,1.02973,0
SPE00100114,1.00589,0.176968,0,0.85972,1.00589,0
SPE00100173,0.997339,-0.0765911,0,0.938964,0.997339,0
SPE00100254,0.975264,-0.734482,0,0.463348,0.975264,0
SPE00100303,0.967474,-0.972326,0,0.334302,0.967474,0
SPE00100360,0.972746,-0.823181,0,0.438082,0.972746,0
SPE00100014,1.03002,0.901336,0,0.37972,1.03002,0
SPE00100056,1.03412,1.01169,0,0.314944,1.03412,0
SPE00100093,0.999172,-0.0232564,0,0.967246,0.999172,0
SPE00100117,1.0304,0.886903,0,0.439756,1.0304,0
SPE00100190,1.01621,0.482204,0,0.62969,1.01621,0
SPE00100267,1.01229,0.368521,0,0.713382,1.01229,0
SPE00100304,0.979971,-0.585731,0,0.576428,0.979971,0
SPE00100368,0.956894,-1.28824,0,0.20249,0.956894,0
SPE00100375,1.01741,0.514366,0,0.609366,1.01741,0
SPE00100528,1.00669,0.202659,0,0.84021,1.00669,0
SPE00100537,0.131714,-25.8699,0,0,0.131714,0
SPE00100568,1.02351,0.69353,0,0.49538,1.02351,0
SPE00100609,0.956864,-1.28509,0,0.19894,0.956864,0
SPE00102018,0.955528,-1.32976,0,0.190091,0.955528,0
SPE00200004,0.977335,-0.662656,0,0.53356,0.977335,0
SPE01500420,1.01228,0.373856,0,0.716616,1.01228,0
SPE00100378,1.02161,0.645137,0,0.519394,1.02161,0
SPE00100455,1.04924,1.45882,0,0.152782,1.04924,0
SPE00100540,0.840936,-4.73807,0,2.33778e-06,0.840936,0
SPE00100572,1.02313,0.692982,0,0.49201,1.02313,0
SPE00100612,0.903097,-2.89901,0,0.007035,0.903097,0
SPE00100682,1.01349,0.398508,0,0.691404,1.01349,0
SPE00102076,0.763544,-7.04581,0,3.93592e-12,0.763544,0
SPE00201606,0.690862,-9.20195,0,3.60414e-20,0.690862,0
SPE00100423,1.01867,0.554067,0,0.58007,1.01867,0
SPE00100458,1.04271,1.2722,0,0.203456,1.04271,0
SPE00100541,0.951276,-1.44814,0,0.148526,0.951276,0
SPE00100576,1.01611,0.479389,0,0.631674,1.01611,0
SPE00100615,1.00747,0.221752,0,0.824546,1.00747,0
SPE00100686,0.997352,-0.0769484,0,0.938758,0.997352,0
SPE00102058,0.972603,-0.81424,0,0.415868,0.972603,0
SPE00200010,0.931094,-2.05914,0,0.04479,0.931094,0
SPE00100424,1.04561,1.34924,0,0.190959,1.04561,0
SPE00100525,1.04386,1.3068,0,0.191549,1.04386,0
SPE00100551,1.0239,0.720866,0,0.487084,1.0239,0
SPE00100580,1.01563,0.471001,0,0.64239,1.01563,0
SPE00100616,0.96699,-0.98525,0,0.32589,0.96699,0
SPE00100698,1.00335,0.10762,0,0.8169,1.00335,0
SPE00107023,0.973876,-0.785901,0,0.44517,0.973876,0
SPE00200012,0.959016,-1.21543,0,0.22849,0.959016,0
SPE00100432,1.03542,1.05138,0,0.294966,1.03542,0
SPE00100465,1.04688,1.39765,0,0.162916,1.04688,0
SPE00100550,1.05118,1.52543,0,0.127661,1.05118,0
SPE00100582,0.917173,-2.47539,0,0.0171294,0.917173,0
SPE00100618,1.00031,0.00790726,0,0.969968,1.00031,0
SPE00100719,0.91881,-2.43283,0,0.0264866,0.91881,0
SPE00107022,0.988227,-0.350121,0,0.72626,0.988227,0
SPE00201466,0.965331,-1.04028,0,0.312152,0.965331,0
SPE00100434,1.04128,1.22502,0,0.223672,1.04128,0
SPE00100475,1.05443,1.6182,0,0.106302,1.05443,0
SPE00100552,1.04456,1.33364,0,0.19168,1.04456,0
SPE00100583,0.969328,-0.923006,0,0.37617,0.969328,0
SPE00100620,0.998899,-0.0186402,0,0.67816,0.998899,0
SPE00100688,0.989852,-0.297657,0,0.767892,0.989852,0
SPE00107093,0.876396,-3.69029,0,0.000399188,0.876396,0
SPE00201477,0.857506,-4.25816,0,7.9164e-05,0.857506,0
SPE00100435,1.03243,0.959618,0,0.343896,1.03243,0
SPE00100489,1.04436,1.32294,0,0.186933,1.04436,0
SPE00100562,1.03536,1.05648,0,0.293614,1.03536,0
SPE00100584,1.00925,0.276035,0,0.782554,1.00925,0
SPE00100638,1.00078,0.022896,0,0.981734,1.00078,0
SPE00100731,0.985728,-0.426725,0,0.670042,0.985728,0
SPE00200002,0.899101,-3.0093,0,0.00297794,0.899101,0
SPE00201484,0.96384,-1.08474,0,0.292166,0.96384,0
SPE00100439,1.03198,0.951894,0,0.341164,1.03198,0
