supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100271,0.403743,-15.9544,0,0,0.403743,0
SPE00100002,0.971023,-0.781149,0,0.444778,0.971023,0
SPE00100305,0.991769,-0.22381,0,0.823846,0.991769,0
SPE00100016,1.00412,0.112378,0,0.910702,1.00412,0
SPE00100094,1.00418,0.114045,0,0.90938,1.00418,0
SPE00100058,1.00536,0.150286,0,0.864148,1.00536,0
SPE00100126,1.00659,0.167167,0,0.847518,1.00659,0
SPE00100194,1.02221,0.594756,0,0.552916,1.02221,0
SPE00100279,0.465854,-14.2496,0,5.88545e-44,0.465854,0
SPE00100003,0.947272,-1.40876,0,0.160527,0.947272,0
SPE00100024,0.994079,-0.159238,0,0.873554,0.994079,0
SPE00100096,0.998252,-0.0400264,0,0.87898,0.998252,0
SPE00100310,1.00232,0.0555112,0,0.885552,1.00232,0
SPE00100060,1.00509,0.135575,0,0.892158,1.00509,0
SPE00100129,1.01824,0.49378,0,0.627082,1.01824,0
SPE00100195,1.02238,0.605702,0,0.554048,1.02238,0
SPE00100005,0.913929,-2.30215,0,0.0240106,0.913929,0
SPE00100280,0.971047,-0.777546,0,0.44137,0.971047,0
SPE00100098,0.972157,-0.738321,0,0.46186,0.972157,0
SPE00100031,0.990308,-0.254378,0,0.799998,0.990308,0
SPE00100315,0.99906,-0.0295993,0,0.915806,0.99906,0
SPE00100066,1.01017,0.271733,0,0.785866,1.01017,0
SPE00100139,1.01777,0.47023,0,0.639208,1.01777,0
SPE00100201,1.01961,0.524494,0,0.600362,1.01961,0
SPE00100287,0.205387,-21.2217,0,0,0.205387,0
SPE00100006,0.974373,-0.689562,0,0.495726,0.974373,0
SPE00100318,0.994747,-0.148813,0,0.839102,0.994747,0
SPE00100099,0.997549,-0.051935,0,0.756136,0.997549,0
SPE00100068,1.005,0.128367,0,0.898474,1.005,0
SPE00100034,1.01227,0.32753,0,0.7433,1.01227,0
SPE00100140,1.01569,0.429319,0,0.678232,1.01569,0
SPE00100205,1.02777,0.745319,0,0.4595,1.02777,0
SPE00100325,0.0645369,-24.9723,0,0,0.0645369,0
SPE00100101,0.928701,-1.89165,0,0.0630792,0.928701,0
SPE00100008,0.945323,-1.45086,0,0.15079,0.945323,0
SPE00100047,0.977632,-0.591552,0,0.55627,0.977632,0
SPE00100290,0.99855,-0.0414405,0,0.947916,0.99855,0
SPE00100146,1.00092,0.0239231,0,0.980916,1.00092,0
SPE00100069,1.01666,0.44389,0,0.657122,1.01666,0
SPE00100218,1.03116,0.830456,0,0.406288,1.03116,0
SPE00100009,0.775291,-5.99554,0,3.45034e-09,0.775291,0
SPE00100530,0.984933,-0.40026,0,0.689082,0.984933,0
SPE00100048,0.987823,-0.316225,0,0.756194,0.987823,0
SPE00100296,0.989615,-0.283453,0,0.779476,0.989615,0
SPE00100076,1.00472,0.123685,0,0.901666,1.00472,0
SPE00100156,1.00836,0.221699,0,0.824608,1.00836,0
SPE00100102,1.00797,0.225763,0,0.760794,1.00797,0
SPE00100222,1.01247,0.338238,0,0.737516,1.01247,0
SPE00240645,0.888555,-2.98016,0,0.00376224,0.888555,0
SPE00100049,0.99121,-0.226321,0,0.82388,0.99121,0
SPE00100298,0.997517,-0.0717044,0,0.89803,0.997517,0
SPE00100531,1.00116,0.0310995,0,0.97519,1.00116,0
SPE00100081,1.00248,0.0629444,0,0.944136,1.00248,0
SPE00100158,1.00702,0.191856,0,0.84879,1.00702,0
SPE00100103,1.0109,0.287338,0,0.774382,1.0109,0
SPE00100223,1.01156,0.307027,0,0.758898,1.01156,0
SPE00100301,0.11501,-23.625,0,0,0.11501,0
SPE00100012,0.951751,-1.28906,0,0.198804,0.951751,0
SPE00100105,0.994164,-0.150349,0,0.881336,0.994164,0
SPE00100050,0.994682,-0.14872,0,0.872126,0.994682,0
SPE00100359,0.994975,-0.140638,0,0.876776,0.994975,0
SPE00100242,0.999553,0.0023168,0,0.740774,0.999553,0
SPE00100088,1.00655,0.171531,0,0.864134,1.00655,0
SPE00100162,1.0203,0.543787,0,0.587488,1.0203,0
SPE00100013,0.947983,-1.39552,0,0.17301,0.947983,0
SPE00100303,0.992919,-0.181942,0,0.857364,0.992919,0
SPE00100054,0.995599,-0.114202,0,0.909308,0.995599,0
SPE00100360,0.9998,-0.00633644,0,0.981506,0.9998,0
SPE00100114,1.00496,0.125557,0,0.878118,1.00496,0
SPE00100254,1.01548,0.412502,0,0.679972,1.01548,0
SPE00100173,1.01872,0.497156,0,0.619346,1.01872,0
SPE00100090,1.02869,0.767991,0,0.443976,1.02869,0
SPE00100014,0.953879,-1.23112,0,0.218872,0.953879,0
SPE00100368,0.975433,-0.656752,0,0.511862,0.975433,0
SPE00100093,0.984061,-0.419997,0,0.67632,0.984061,0
SPE00100056,0.988703,-0.302153,0,0.762616,0.988703,0
SPE00100117,1.00433,0.115109,0,0.90836,1.00433,0
SPE00100304,1.00711,0.183854,0,0.85536,1.00711,0
SPE00100267,1.02107,0.574184,0,0.582402,1.02107,0
SPE00100190,1.02195,0.584483,0,0.558918,1.02195,0
SPE00100537,0.20845,-21.1246,0,0,0.20845,0
SPE00100528,0.955026,-1.1959,0,0.232502,0.955026,0
SPE00100375,0.974981,-0.673842,0,0.506348,0.974981,0
SPE00102018,0.981324,-0.49042,0,0.628678,0.981324,0
SPE00100609,0.999783,-0.00499671,0,0.9854,0.999783,0
SPE00200004,1.00433,0.115447,0,0.908092,1.00433,0
SPE00100568,1.04086,1.08869,0,0.27629,1.04086,0
SPE01500420,1.05306,1.42351,0,0.164938,1.05306,0
SPE00100540,0.347525,-17.3944,0,0,0.347525,0
SPE00201606,0.668671,-8.81102,0,2.1436e-17,0.668671,0
SPE00100612,0.755599,-6.5133,0,7.44856e-11,0.755599,0
SPE00102076,0.851805,-3.93344,0,0.000182279,0.851805,0
SPE00100378,0.970389,-0.793614,0,0.430052,0.970389,0
SPE00100455,1.02466,0.656618,0,0.511454,1.02466,0
SPE00100682,1.03972,1.06564,0,0.293498,1.03972,0
SPE00100572,1.04492,1.20625,0,0.238738,1.04492,0
SPE00200010,0.851504,-3.95954,0,7.76288e-05,0.851504,0
SPE00100423,0.933913,-1.75794,0,0.0794858,0.933913,0
SPE00100541,0.95202,-1.27691,0,0.201928,0.95202,0
SPE00100458,1.00644,0.17498,0,0.86152,1.00644,0
SPE00102058,1.01444,0.380059,0,0.705612,1.01444,0
SPE00100576,1.02015,0.542007,0,0.590288,1.02015,0
SPE00100686,1.03605,0.96097,0,0.33659,1.03605,0
SPE00100615,1.04067,1.0768,0,0.287608,1.04067,0
SPE00100424,0.970412,-0.787627,0,0.43099,0.970412,0
SPE00200012,0.982861,-0.46048,0,0.646456,0.982861,0
SPE00100525,1.00282,0.0826257,0,0.861406,1.00282,0
SPE00100616,1.00488,0.13033,0,0.896308,1.00488,0
SPE00107023,1.00642,0.1728,0,0.862916,1.00642,0
