supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.979467,-1.01565,0,0.311354,0.979467,0
SPE00100016,0.995221,-0.236273,0,0.81324,0.995221,0
SPE00100058,1.00876,0.439482,0,0.676116,1.00876,0
SPE00100094,0.997837,-0.109812,0,0.893308,0.997837,0
SPE00100126,0.997747,-0.110487,0,0.912074,0.997747,0
SPE00100194,0.995324,-0.234478,0,0.816936,0.995324,0
SPE00100271,0.874535,-6.20211,0,1.99058e-09,0.874535,0
SPE00100305,0.98287,-0.840463,0,0.414284,0.98287,0
SPE00100003,0.976226,-1.17735,0,0.244728,0.976226,0
SPE00100024,1.00667,0.319861,0,0.680882,1.00667,0
SPE00100060,1.01437,0.704473,0,0.492748,1.01437,0
SPE00100096,0.995397,-0.222602,0,0.827628,0.995397,0
SPE00100129,1.00277,0.139333,0,0.889886,1.00277,0
SPE00100195,1.00378,0.180071,0,0.76724,1.00378,0
SPE00100279,0.908238,-4.53284,0,6.28748e-06,0.908238,0
SPE00100310,0.993604,-0.316381,0,0.751788,0.993604,0
SPE00100005,0.944989,-2.72764,0,0.0138641,0.944989,0
SPE00100031,0.982251,-0.86801,0,0.418212,0.982251,0
SPE00100066,1.00655,0.318691,0,0.754894,1.00655,0
SPE00100098,1.01191,0.582138,0,0.574338,1.01191,0
SPE00100139,1.00009,-0.00199831,0,0.77074,1.00009,0
SPE00100201,1.00212,0.107469,0,0.901776,1.00212,0
SPE00100280,0.961021,-1.91683,0,0.0704432,0.961021,0
SPE00100315,0.983355,-0.825078,0,0.414138,0.983355,0
SPE00100006,0.999109,-0.0512707,0,0.743324,0.999109,0
SPE00100034,0.998426,-0.0813981,0,0.868402,0.998426,0
SPE00100068,1.00939,0.466541,0,0.643648,1.00939,0
SPE00100099,1.01328,0.661835,0,0.523014,1.01328,0
SPE00100140,1.00355,0.186822,0,0.616344,1.00355,0
SPE00100205,1.0041,0.198637,0,0.844732,1.0041,0
SPE00100287,0.739884,-12.821,0,2.00582e-32,0.739884,0
SPE00100318,0.986412,-0.672149,0,0.502132,0.986412,0
SPE00100008,0.976416,-1.16802,0,0.248546,0.976416,0
SPE00100047,1.00187,0.0824032,0,0.649,1.00187,0
SPE00100069,1.03463,1.70489,0,0.0970904,1.03463,0
SPE00100101,0.969873,-1.49085,0,0.140179,0.969873,0
SPE00100146,0.983373,-0.8185,0,0.416044,0.983373,0
SPE00100218,1.00164,0.0826048,0,0.934378,1.00164,0
SPE00100290,0.970279,-1.4824,0,0.223574,0.970279,0
SPE00100325,0.0572727,-46.5722,0,0,0.0572727,0
SPE00100009,0.960407,-1.96951,0,0.0982254,0.960407,0
SPE00100048,1.0041,0.197954,0,0.838052,1.0041,0
SPE00100076,1.02039,1.00007,0,0.337894,1.02039,0
SPE00100102,1.00889,0.43244,0,0.677874,1.00889,0
SPE00100156,0.978614,-1.05036,0,0.308818,0.978614,0
SPE00100222,0.984981,-0.725183,0,0.56724,0.984981,0
SPE00100296,0.982419,-0.867052,0,0.386454,0.982419,0
SPE00100530,0.992414,-0.373866,0,0.708654,0.992414,0
SPE00100049,1.00812,0.388313,0,0.600882,1.00812,0
SPE00100081,1.02404,1.18216,0,0.24912,1.02404,0
