supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.982652,-0.652065,0,0.526596,0.982652,0
SPE00100016,1.0097,0.364145,0,0.71701,1.0097,0
SPE00100058,1.02139,0.800145,0,0.427338,1.02139,0
SPE00100094,0.989917,-0.376818,0,0.707656,0.989917,0
SPE00100126,0.993807,-0.231311,0,0.817566,0.993807,0
SPE00100194,1.00896,0.336705,0,0.737606,1.00896,0
SPE00100271,0.425045,-21.5517,0,0,0.425045,0
SPE00100305,0.977818,-0.827457,0,0.440396,0.977818,0
SPE00100003,0.988761,-0.423717,0,0.685036,0.988761,0
SPE00100024,1.00745,0.276868,0,0.787262,1.00745,0
SPE00100060,1.01,0.373644,0,0.71044,1.01,0
SPE00100096,1.00525,0.196955,0,0.844054,1.00525,0
SPE00100129,1.00917,0.344278,0,0.73183,1.00917,0
SPE00100195,1.01099,0.413835,0,0.687508,1.01099,0
SPE00100279,0.659643,-12.7489,0,4.26676e-37,0.659643,0
SPE00100310,0.986595,-0.500107,0,0.625602,0.986595,0
SPE00100005,0.929663,-2.63698,0,0.0103071,0.929663,0
SPE00100031,1.0081,0.302047,0,0.764852,1.0081,0
SPE00100066,1.01214,0.45497,0,0.649438,1.01214,0
SPE00100098,0.923425,-2.87022,0,0.00481496,0.923425,0
SPE00100139,1.00249,0.0931773,0,0.925768,1.00249,0
SPE00100201,1.00478,0.17952,0,0.857784,1.00478,0
SPE00100280,0.917858,-3.07729,0,0.00210176,0.917858,0
SPE00100315,0.977921,-0.826558,0,0.409206,0.977921,0
SPE00100006,0.997209,-0.105147,0,0.91644,0.997209,0
SPE00100034,1.0215,0.804233,0,0.425498,1.0215,0
SPE00100068,1.01629,0.609958,0,0.541914,1.01629,0
SPE00100099,0.999581,-0.0146513,0,0.90897,0.999581,0
SPE00100140,1.00171,0.0644945,0,0.948618,1.00171,0
SPE00100205,1.01865,0.697252,0,0.489836,1.01865,0
SPE00100287,0.117932,-33.0462,0,0,0.117932,0
SPE00100318,0.991912,-0.301409,0,0.76637,0.991912,0
SPE00100008,0.978674,-0.803001,0,0.468014,0.978674,0
SPE00100047,1.00326,0.122728,0,0.902588,1.00326,0
SPE00100069,1.02352,0.880964,0,0.37851,1.02352,0
SPE00100101,0.876547,-4.62863,0,1.55317e-05,0.876547,0
SPE00100146,0.949883,-1.88231,0,0.0979948,0.949883,0
SPE00100218,1.00349,0.131442,0,0.8959,1.00349,0
SPE00100290,0.983306,-0.626726,0,0.535524,0.983306,0
SPE00100325,0.0584194,-35.2738,0,0,0.0584194,0
SPE00100009,0.413638,-21.9647,0,0,0.413638,0
SPE00100048,1.01618,0.607779,0,0.549546,1.01618,0
SPE00100076,1.01506,0.564363,0,0.572666,1.01506,0
SPE00100102,1.00131,0.0478634,0,0.88503,1.00131,0
SPE00100156,1.00447,0.166428,0,0.868402,1.00447,0
SPE00100222,1.00406,0.1515,0,0.879914,1.00406,0
SPE00100296,0.973222,-1.00294,0,0.31596,0.973222,0
SPE00100530,0.982003,-0.673966,0,0.500422,0.982003,0
SPE00100049,1.02352,0.882835,0,0.3856,1.02352,0
SPE00100081,1.01899,0.711428,0,0.476926,1.01899,0
SPE00100103,1.00135,0.0513668,0,0.942606,1.00135,0
SPE00100158,1.00274,0.101423,0,0.88241,1.00274,0
SPE00100223,1.00069,0.0235664,0,0.811824,1.00069,0
SPE00100298,0.983965,-0.603031,0,0.559848,0.983965,0
SPE00100531,0.991879,-0.307432,0,0.736552,0.991879,0
SPE00240645,0.803502,-7.36307,0,6.5316e-13,0.803502,0
SPE00100012,0.991,-0.336258,0,0.737872,0.991,0
SPE00100050,1.02178,0.816854,0,0.41776,1.02178,0
SPE00100088,1.01062,0.397211,0,0.69168,1.01062,0
SPE00100105,1.00383,0.143754,0,0.88583,1.00383,0
SPE00100162,0.982569,-0.643266,0,0.383632,0.982569,0
SPE00100242,0.947261,-1.97792,0,0.0555032,0.947261,0
SPE00100301,0.0703248,-34.828,0,0,0.0703248,0
SPE00100359,1.00167,0.0616766,0,0.939202,1.00167,0
SPE00100013,0.997024,-0.113026,0,0.867818,0.997024,0
SPE00100054,1.00491,0.188031,0,0.652788,1.00491,0
SPE00100090,1.0331,1.24081,0,0.21639,1.0331,0
SPE00100114,0.998607,-0.0503044,0,0.837348,0.998607,0
SPE00100173,1.0101,0.378746,0,0.705114,1.0101,0
SPE00100254,0.989682,-0.388811,0,0.706578,0.989682,0
SPE00100303,0.961201,-1.44627,0,0.265284,0.961201,0
SPE00100360,0.990052,-0.375612,0,0.72152,0.990052,0
SPE00100014,1.00684,0.254036,0,0.804328,1.00684,0
SPE00100056,1.01306,0.490241,0,0.626756,1.01306,0
SPE00100093,0.953937,-1.71729,0,0.209946,0.953937,0
SPE00100117,0.996153,-0.140366,0,0.684718,0.996153,0
SPE00100190,1.01017,0.379317,0,0.708274,1.01017,0
SPE00100267,1.02139,0.804304,0,0.443882,1.02139,0
SPE00100304,0.993808,-0.232989,0,0.81692,0.993808,0
SPE00100368,0.988839,-0.41795,0,0.676012,0.988839,0
SPE00100375,1.00209,0.0776711,0,0.931654,1.00209,0
SPE00100528,0.993299,-0.25105,0,0.801776,0.993299,0
SPE00100537,0.0763593,-34.6015,0,0,0.0763593,0
SPE00100568,1.03179,1.1931,0,0.246154,1.03179,0
SPE00100609,0.960171,-1.493,0,0.138047,0.960171,0
SPE00102018,0.893714,-3.98433,0,0.000132943,0.893714,0
SPE00200004,0.984917,-0.566613,0,0.57702,0.984917,0
SPE01500420,1.02509,0.938354,0,0.353996,1.02509,0
SPE00100378,1.0084,0.316007,0,0.753978,1.0084,0
SPE00100455,1.02935,1.09997,0,0.27197,1.02935,0
SPE00100540,0.757639,-9.07932,0,1.37901e-19,0.757639,0
SPE00100572,1.02052,0.768828,0,0.442176,1.02052,0
SPE00100612,0.857766,-5.33539,0,3.04296e-06,0.857766,0
SPE00100682,1.01145,0.430218,0,0.669712,1.01145,0
SPE00102076,0.452398,-20.5094,0,0,0.452398,0
SPE00201606,0.661392,-12.6865,0,1.19492e-35,0.661392,0
SPE00100423,0.984351,-0.589463,0,0.579882,0.984351,0
SPE00100458,1.02041,0.765585,0,0.447492,1.02041,0
SPE00100541,0.942732,-2.14298,0,0.0372942,0.942732,0
SPE00100576,1.00592,0.222001,0,0.824486,1.00592,0
SPE00100615,1.01864,0.698065,0,0.485146,1.01864,0
SPE00100686,1.01515,0.565925,0,0.5779,1.01515,0
SPE00102058,0.982277,-0.665739,0,0.514128,0.982277,0
SPE00200010,0.854234,-5.46265,0,1.04298e-07,0.854234,0
SPE00100424,1.01911,0.716633,0,0.475782,1.01911,0
SPE00100525,1.02872,1.07656,0,0.283628,1.02872,0
SPE00100551,1.01899,0.71176,0,0.477236,1.01899,0
SPE00100580,0.968589,-1.17541,0,0.244058,0.968589,0
SPE00100616,0.918668,-3.04809,0,0.00261686,0.918668,0
SPE00100698,1.01622,0.607719,0,0.543374,1.01622,0
SPE00107023,0.97755,-0.841563,0,0.401024,0.97755,0
SPE00200012,0.988544,-0.427684,0,0.672702,0.988544,0
SPE00100432,1.00552,0.205441,0,0.83865,1.00552,0
SPE00100465,1.02944,1.10537,0,0.285512,1.02944,0
SPE00100550,1.02765,1.0346,0,0.305072,1.02765,0
SPE00100582,0.964949,-1.31332,0,0.189355,0.964949,0
SPE00100618,1.01445,0.542915,0,0.593466,1.01445,0
SPE00100719,0.88333,-4.36879,0,1.62651e-05,0.88333,0
SPE00107022,0.971763,-1.05843,0,0.291296,0.971763,0
SPE00201466,0.982892,-0.641869,0,0.523576,0.982892,0
SPE00100434,1.00307,0.115336,0,0.908232,1.00307,0
SPE00100475,1.02216,0.831991,0,0.4169,1.02216,0
SPE00100552,1.01914,0.717142,0,0.47336,1.01914,0
SPE00100583,1.01949,0.730238,0,0.465556,1.01949,0
SPE00100620,1.00585,0.218416,0,0.827906,1.00585,0
SPE00100688,1.00301,0.114701,0,0.835146,1.00301,0
SPE00107093,0.91406,-3.22129,0,0.00165078,0.91406,0
SPE00201477,0.356964,-24.0832,0,0,0.356964,0
SPE00100435,0.994767,-0.197647,0,0.845694,0.994767,0
SPE00100489,1.01275,0.476915,0,0.634688,1.01275,0
SPE00100562,1.01523,0.571996,0,0.57133,1.01523,0
SPE00100584,1.00633,0.236582,0,0.813242,1.00633,0
SPE00100638,1.00693,0.259262,0,0.79548,1.00693,0
SPE00100731,1.00533,0.198754,0,0.843094,1.00533,0
SPE00200002,0.881843,-4.42649,0,9.80094e-06,0.881843,0
SPE00201484,0.975282,-0.92492,0,0.357902,0.975282,0
SPE00100439,1.00388,0.143598,0,0.852096,1.00388,0
SPE00100492,1.0253,0.948328,0,0.343816,1.0253,0
SPE00100520,1.00606,0.227737,0,0.82021,1.00606,0
SPE00100563,1.01268,0.475332,0,0.634812,1.01268,0
SPE00100585,1.00106,0.0411386,0,0.885148,1.00106,0
SPE00100646,0.976791,-0.868848,0,0.38576,0.976791,0
SPE00107015,0.972523,-1.03005,0,0.304778,0.972523,0
SPE00201505,0.422108,-21.6441,0,0,0.422108,0
SPE00100447,1.00032,0.0124998,0,0.959536,1.00032,0
SPE00100497,1.04013,1.50471,0,0.136444,1.04013,0
SPE00100566,1.01073,0.401515,0,0.688138,1.01073,0
SPE00100586,0.970993,-1.08703,0,0.277626,0.970993,0
SPE00100650,1.01139,0.425597,0,0.672876,1.01139,0
SPE00100901,1.00649,0.243303,0,0.807852,1.00649,0
SPE00102007,0.909149,-3.39892,0,0.00174264,0.909149,0
SPE00201506,0.0844378,-34.2993,0,0,0.0844378,0
SPE00100517,1.03042,1.14236,0,0.273556,1.03042,0
SPE00100529,0.906985,-3.48517,0,0.000523468,0.906985,0
SPE00100567,1.0292,1.09219,0,0.28139,1.0292,0
SPE00100595,1.01386,0.518882,0,0.604236,1.01386,0
SPE00100651,1.01457,0.545698,0,0.585294,1.01457,0
SPE00102035,1.01268,0.47714,0,0.641806,1.01268,0
SPE00107005,0.982182,-0.666295,0,0.50857,0.982182,0
SPE00201509,0.971871,-1.05505,0,0.29678,0.971871,0
SPE00200141,0.961161,-1.45427,0,0.146718,0.961161,0
SPE00200449,0.972336,-1.03706,0,0.301518,0.972336,0
SPE00200833,0.932264,-2.53143,0,0.0303086,0.932264,0
SPE00211458,1.02263,0.84842,0,0.398322,1.02263,0
SPE00300007,0.954248,-1.71536,0,0.0907962,0.954248,0
SPE00300058,1.03098,1.16056,0,0.24584,1.03098,0
SPE00300119,1.04079,1.52883,0,0.127983,1.04079,0
SPE00300531,1.03144,1.17948,0,0.246316,1.03144,0
SPE00200015,1.01893,0.71029,0,0.481364,1.01893,0
SPE00200183,1.00969,0.364044,0,0.71809,1.00969,0
SPE00200457,0.986321,-0.509988,0,0.622216,0.986321,0
SPE00200851,0.969836,-1.12971,0,0.258704,0.969836,0
SPE00300012,0.968211,-1.19366,0,0.255196,0.968211,0
SPE00300061,0.991056,-0.336773,0,0.740876,0.991056,0
SPE00300132,1.02893,1.08247,0,0.282432,1.02893,0
SPE00300532,1.02521,0.945989,0,0.351054,1.02521,0
SPE00200031,1.01267,0.474648,0,0.635052,1.01267,0
SPE00200255,0.222792,-29.1096,0,0,0.222792,0
SPE00200463,0.990449,-0.355258,0,0.732406,0.990449,0
SPE00200873,0.980992,-0.710481,0,0.48349,0.980992,0
SPE00300018,0.990538,-0.356205,0,0.726614,0.990538,0
SPE00300101,1.02678,1.00135,0,0.324968,1.02678,0
SPE00300133,1.00809,0.304032,0,0.762782,1.00809,0
SPE00300538,0.197955,-30.0407,0,0,0.197955,0
SPE00200040,0.983782,-0.607655,0,0.543466,0.983782,0
SPE00200191,1.019,0.71272,0,0.478798,1.019,0
SPE00200484,0.91853,-3.05039,0,0.00255762,0.91853,0
SPE00201066,0.985258,-0.551546,0,0.582296,0.985258,0
SPE00300021,1.00031,0.00853705,0,0.733686,1.00031,0
SPE00300104,1.02582,0.966377,0,0.335706,1.02582,0
SPE00300148,1.01518,0.567585,0,0.572102,1.01518,0
SPE00300539,1.01918,0.719698,0,0.476848,1.01918,0
SPE00200070,1.0148,0.553588,0,0.580902,1.0148,0
SPE00200243,1.02251,0.843085,0,0.399182,1.02251,0
SPE00200488,0.971769,-1.05776,0,0.290354,0.971769,0
SPE00201067,0.648371,-13.1651,0,7.24268e-36,0.648371,0
SPE00300032,0.959219,-1.53138,0,0.157051,0.959219,0
SPE00300105,1.0211,0.790663,0,0.429416,1.0211,0
SPE00300157,0.989353,-0.399456,0,0.690256,0.989353,0
SPE00300540,1.01146,0.429992,0,0.668662,1.01146,0
SPE00200107,0.583554,-15.5823,0,7.17465e-43,0.583554,0
SPE00200412,1.02206,0.828479,0,0.41961,1.02206,0
SPE00200640,0.972901,-1.01386,0,0.31508,0.972901,0
SPE00201078,0.949922,-1.87478,0,0.062708,0.949922,0
SPE00300006,0.995625,-0.165401,0,0.870372,0.995625,0
SPE00300106,1.02108,0.790323,0,0.431262,1.02108,0
SPE00300160,1.02103,0.789438,0,0.435922,1.02103,0
SPE00300542,1.01591,0.59625,0,0.551314,1.01591,0
SPE00200110,1.03156,1.18094,0,0.241504,1.03156,0
SPE00200424,0.904623,-3.56952,0,0.00069417,0.904623,0
SPE00200743,0.924951,-2.80974,0,0.00557856,0.924951,0
SPE00201083,0.93813,-2.31533,0,0.0245562,0.93813,0
SPE00300052,0.992341,-0.291131,0,0.655696,0.992341,0
SPE00300110,1.03139,1.17499,0,0.241332,1.03139,0
SPE00300166,1.03457,1.29704,0,0.204554,1.03457,0
SPE00300545,0.992305,-0.28651,0,0.778502,0.992305,0
SPE00200111,1.02552,0.957792,0,0.349402,1.02552,0
SPE00200427,1.03031,1.13847,0,0.280106,1.03031,0
SPE00200759,0.990536,-0.355861,0,0.724892,0.990536,0
SPE00201133,0.996933,-0.111352,0,0.699736,0.996933,0
SPE00300053,1.01874,0.701457,0,0.483998,1.01874,0
SPE00300111,1.03734,1.39913,0,0.162303,1.03734,0
SPE00300228,0.829255,-6.39098,0,2.51018e-09,0.829255,0
SPE00300546,0.81478,-6.92888,0,1.68326e-09,0.81478,0
SPE00200115,1.01737,0.650753,0,0.515212,1.01737,0
SPE00200441,1.01421,0.532339,0,0.594496,1.01421,0
SPE00200763,0.822236,-6.65094,0,3.64088e-09,0.822236,0
SPE00201136,0.37546,-23.3856,0,0,0.37546,0
SPE00212097,0.93019,-2.61287,0,0.010896,0.93019,0
SPE00300055,0.985594,-0.54281,0,0.60916,0.985594,0
SPE00300117,1.03307,1.23765,0,0.219518,1.03307,0
SPE00300348,0.954039,-1.72232,0,0.0858636,0.954039,0
SPE00200139,0.987481,-0.468622,0,0.639538,0.987481,0
SPE00200447,0.992685,-0.272997,0,0.78614,0.992685,0
SPE00200793,0.982622,-0.650543,0,0.515784,0.982622,0
SPE00201154,0.990717,-0.346217,0,0.732674,0.990717,0
SPE00211224,1.00381,0.141398,0,0.888602,1.00381,0
SPE00300057,1.01678,0.627602,0,0.532798,1.01678,0
SPE00300118,1.0235,0.879242,0,0.38244,1.0235,0
SPE00300423,1.02918,1.09153,0,0.281474,1.02918,0
SPE00201513,0.128325,-32.6512,0,0,0.128325,0
