supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.981502,-0.958954,0,0.3376,0.981502,0
SPE00100016,0.949843,-2.62048,1,0.367988,0.949843,0
SPE00100058,1.01491,0.772406,0,0.441158,1.01491,0
SPE00100094,1.00663,0.344345,0,0.731644,1.00663,0
SPE00100126,0.987721,-0.637333,0,0.525736,0.987721,0
SPE00100194,0.981036,-0.986887,0,0.367252,0.981036,0
SPE00100271,0.490069,-26.4464,0,0,0.490069,0
SPE00100305,0.958918,-2.13011,0,0.0335706,0.958918,0
SPE00100003,0.981317,-0.969741,0,0.337184,0.981317,0
SPE00100024,1.01599,0.827961,0,0.410614,1.01599,0
SPE00100060,1.01031,0.534583,0,0.59303,1.01031,0
SPE00100096,1.01537,0.799615,0,0.451654,1.01537,0
SPE00100129,0.994216,-0.298877,0,0.766258,0.994216,0
SPE00100195,0.992799,-0.37051,0,0.723858,0.992799,0
SPE00100279,0.599041,-20.7873,0,0,0.599041,0
SPE00100310,0.96968,-1.57289,0,0.119157,0.96968,0
SPE00100005,0.962106,-1.96505,0,0.050252,0.962106,0
SPE00100031,1.00585,0.303786,0,0.761528,1.00585,0
SPE00100066,1.01797,0.932629,0,0.355464,1.01797,0
SPE00100098,1.01711,0.885206,0,0.383152,1.01711,0
SPE00100139,1.0001,0.00535586,0,0.995726,1.0001,0
SPE00100201,0.997456,-0.132421,0,0.894836,0.997456,0
SPE00100280,0.956034,-2.27847,0,0.0229112,0.956034,0
SPE00100315,0.961988,-1.96691,0,0.066026,0.961988,0
SPE00100006,1.00535,0.278083,0,0.7813,1.00535,0
SPE00100034,1.00914,0.473224,0,0.637004,1.00914,0
SPE00100068,1.00738,0.383609,0,0.704258,1.00738,0
SPE00100099,1.00914,0.474563,0,0.636798,1.00914,0
SPE00100140,0.991965,-0.417948,0,0.679974,0.991965,0
SPE00100205,0.998795,-0.0628069,0,0.949954,0.998795,0
SPE00100287,0.263488,-38.181,0,0,0.263488,0
SPE00100318,0.973708,-1.35906,0,0.212278,0.973708,0
SPE00100008,0.982178,-0.925365,0,0.361872,0.982178,0
SPE00100047,1.01391,0.722275,0,0.474414,1.01391,0
SPE00100069,1.0275,1.42428,0,0.156617,1.0275,0
SPE00100101,0.973429,-1.37927,0,0.177893,0.973429,0
SPE00100146,0.982749,-0.897641,0,0.40267,0.982749,0
SPE00100218,1.00024,0.0182625,0,0.502678,1.00024,0
SPE00100290,0.984254,-0.816101,0,0.414468,0.984254,0
SPE00100325,0.053896,-49.0458,0,0,0.053896,0
SPE00100009,0.984233,-0.81856,0,0.417754,0.984233,0
SPE00100048,1.01818,0.941757,0,0.347024,1.01818,0
SPE00100076,1.01378,0.715981,0,0.482588,1.01378,0
SPE00100102,1.00379,0.189937,0,0.48337,1.00379,0
SPE00100156,0.990718,-0.483113,0,0.63719,0.990718,0
SPE00100222,0.980721,-0.995186,0,0.369652,0.980721,0
SPE00100296,0.977331,-1.17181,0,0.271772,0.977331,0
SPE00100530,0.983213,-0.869775,0,0.384896,0.983213,0
SPE00100049,1.02487,1.28968,0,0.198085,1.02487,0
SPE00100081,1.02048,1.06191,0,0.288534,1.02048,0
SPE00100103,1.01005,0.522232,0,0.60553,1.01005,0
SPE00100158,1.001,0.0517956,0,0.958694,1.001,0
SPE00100223,0.992207,-0.406677,0,0.697442,0.992207,0
SPE00100298,0.988949,-0.570708,0,0.578996,0.988949,0
SPE00100531,0.964188,-1.85458,0,0.0687008,0.964188,0
SPE00240645,0.942969,-2.9554,0,0.00324462,0.942969,0
SPE00100012,0.985478,-0.754857,0,0.462302,0.985478,0
SPE00100050,0.999981,-2.22474e-05,0,0.915344,0.999981,0
SPE00100088,1.00532,0.276028,0,0.78267,1.00532,0
SPE00100105,1.01989,1.02771,0,0.331094,1.01989,0
SPE00100162,0.99901,-0.0487952,0,0.781438,0.99901,0
SPE00100242,0.946546,-2.76948,0,0.00612204,0.946546,0
SPE00100301,0.0771985,-47.8379,0,0,0.0771985,0
SPE00100359,0.984962,-0.779088,0,0.43637,0.984962,0
SPE00100013,0.988613,-0.586556,0,0.589186,0.988613,0
SPE00100054,1.00465,0.243117,0,0.811982,1.00465,0
SPE00100090,1.02431,1.25938,0,0.208826,1.02431,0
SPE00100114,1.00618,0.316993,0,0.723758,1.00618,0
SPE00100173,0.9995,-0.028362,0,0.784178,0.9995,0
SPE00100254,0.97359,-1.3673,0,0.179029,0.97359,0
SPE00100303,1.00371,0.191443,0,0.848674,1.00371,0
SPE00100360,0.992617,-0.384136,0,0.704378,0.992617,0
SPE00100014,0.988538,-0.593277,0,0.55483,0.988538,0
SPE00100056,1.005,0.261397,0,0.798658,1.005,0
SPE00100093,1.03023,1.5572,0,0.313114,1.03023,0
SPE00100117,1.00936,0.487664,0,0.640078,1.00936,0
SPE00100190,0.999121,-0.0474991,0,0.829258,0.999121,0
SPE00100267,0.998192,-0.0930161,0,0.926128,0.998192,0
SPE00100304,0.989664,-0.53652,0,0.59281,0.989664,0
SPE00100368,0.972645,-1.41783,0,0.156289,0.972645,0
SPE00100375,0.977137,-1.193,0,0.394292,0.977137,0
SPE00100528,0.996827,-0.160701,0,0.679452,0.996827,0
SPE00100537,0.0883389,-47.261,0,0,0.0883389,0
SPE00100568,1.07639,3.93367,1,0.145825,1.07639,0
SPE00100609,0.978394,-1.117,0,0.28913,0.978394,0
SPE00102018,0.984975,-0.781005,0,0.448148,0.984975,0
SPE00200004,0.97561,-1.26277,0,0.212822,0.97561,0
SPE01500420,1.00218,0.11296,0,0.910064,1.00218,0
SPE00100378,0.981003,-0.98637,0,0.332112,0.981003,0
SPE00100455,1.01372,0.711845,0,0.477442,1.01372,0
SPE00100540,0.990778,-0.478521,0,0.632778,0.990778,0
SPE00100572,1.02368,1.23227,0,0.279824,1.02368,0
SPE00100612,0.984317,-0.812235,0,0.418158,0.984317,0
SPE00100682,0.995161,-0.249816,0,0.803954,0.995161,0
SPE00102076,0.859944,-7.26151,0,7.62694e-13,0.859944,0
SPE00201606,1.00256,0.134482,0,0.852416,1.00256,0
SPE00100423,0.965317,-1.8001,0,0.0808362,0.965317,0
SPE00100458,1.00557,0.288991,0,0.772598,1.00557,0
SPE00100541,1.01651,0.856712,0,0.393412,1.01651,0
SPE00100576,1.02308,1.19977,0,0.265414,1.02308,0
SPE00100615,1.00475,0.243947,0,0.812402,1.00475,0
SPE00100686,0.989407,-0.547074,0,0.593678,0.989407,0
SPE00102058,0.979957,-1.04036,0,0.304042,0.979957,0
SPE00200010,0.996086,-0.204744,0,0.8399,0.996086,0
SPE00100424,1.00552,0.282577,0,0.711496,1.00552,0
SPE00100525,1.00025,0.013381,0,0.946438,1.00025,0
SPE00100551,1.0141,0.730735,0,0.465056,1.0141,0
SPE00100580,0.996057,-0.203263,0,0.840138,0.996057,0
SPE00100616,0.979321,-1.07086,0,0.287538,0.979321,0
SPE00100698,0.984119,-0.817837,0,0.491442,0.984119,0
SPE00107023,0.978132,-1.13263,0,0.25967,0.978132,0
SPE00200012,0.986094,-0.724768,0,0.509618,0.986094,0
SPE00100432,0.981127,-0.979466,0,0.3316,0.981127,0
SPE00100465,1.01627,0.847491,0,0.44619,1.01627,0
SPE00100550,1.00999,0.522186,0,0.638974,1.00999,0
SPE00100582,1.03662,1.89953,0,0.0595508,1.03662,0
SPE00100618,1.00311,0.159127,0,0.825374,1.00311,0
SPE00100719,0.917699,-4.26263,0,5.47416e-05,0.917699,0
SPE00107022,0.978267,-1.12807,0,0.266194,0.978267,0
SPE00201466,0.965751,-1.77606,0,0.0767608,0.965751,0
SPE00100434,0.996887,-0.160953,0,0.87227,0.996887,0
SPE00100475,1.01133,0.586567,0,0.559722,1.01133,0
SPE00100552,1.01357,0.701617,0,0.490242,1.01357,0
SPE00100583,1.06257,3.24459,0,0.00130896,1.06257,0
SPE00100620,0.990442,-0.494816,0,0.621534,0.990442,0
SPE00100688,0.982139,-0.923753,0,0.36829,0.982139,0
SPE00107093,0.991647,-0.433703,0,0.665508,0.991647,0
SPE00201477,0.771161,-11.8653,0,6.7105e-31,0.771161,0
SPE00100435,0.99195,-0.416972,0,0.676866,0.99195,0
SPE00100489,1.00759,0.392393,0,0.696642,1.00759,0
SPE00100562,1.01424,0.738892,0,0.460708,1.01424,0
SPE00100584,1.01643,0.850548,0,0.399238,1.01643,0
SPE00100638,0.995728,-0.220423,0,0.826686,0.995728,0
SPE00100731,0.987371,-0.650366,0,0.56068,0.987371,0
SPE00200002,0.917086,-4.29709,0,1.86534e-05,0.917086,0
SPE00201484,0.970224,-1.54877,0,0.184902,0.970224,0
SPE00100439,0.985527,-0.752245,0,0.463204,0.985527,0
SPE00100492,1.01062,0.549269,0,0.58748,1.01062,0
SPE00100520,0.984055,-0.823059,0,0.444124,0.984055,0
SPE00100563,1.00618,0.3195,0,0.749936,1.00618,0
SPE00100585,1.01115,0.580767,0,0.580554,1.01115,0
SPE00100646,0.992027,-0.411021,0,0.690594,0.992027,0
SPE00107015,0.986494,-0.699001,0,0.487838,0.986494,0
SPE00201505,0.95155,-2.50812,0,0.0182188,0.95155,0
SPE00100447,0.986071,-0.723443,0,0.475092,0.986071,0
SPE00100497,1.01411,0.734634,0,0.48951,1.01411,0
SPE00100566,0.995212,-0.253179,0,0.592194,0.995212,0
SPE00100586,1.02181,1.12896,0,0.267606,1.02181,0
SPE00100650,1.0035,0.182476,0,0.856122,1.0035,0
SPE00100901,1.00789,0.407992,0,0.685464,1.00789,0
SPE00102007,0.959935,-2.07155,0,0.0720596,0.959935,0
SPE00201506,0.863298,-7.08749,0,2.423e-12,0.863298,0
SPE00100517,0.999252,-0.0421875,0,0.706036,0.999252,0
SPE00100529,0.944435,-2.88269,0,0.0052918,0.944435,0
SPE00100567,1.01683,0.872249,0,0.383448,1.01683,0
SPE00100595,1.00708,0.36679,0,0.714018,1.00708,0
SPE00100651,1.008,0.420628,0,0.555702,1.008,0
SPE00102035,0.988731,-0.583265,0,0.561564,0.988731,0
SPE00107005,0.986791,-0.684301,0,0.494186,0.986791,0
SPE00201509,0.984182,-0.821679,0,0.419958,0.984182,0
SPE00200141,0.962873,-1.92575,0,0.056427,0.962873,0
SPE00200449,0.969262,-1.59528,0,0.119078,0.969262,0
SPE00200833,0.942216,-2.99062,0,0.00683014,0.942216,0
SPE00211458,0.987642,-0.639767,0,0.524136,0.987642,0
SPE00300007,0.912695,-4.5259,0,6.14816e-06,0.912695,0
SPE00300058,1.05856,3.03676,0,0.00255558,1.05856,0
SPE00300119,1.00273,0.14086,0,0.88814,1.00273,0
SPE00300531,1.01959,1.02216,0,0.427192,1.01959,0
SPE00200015,1.00206,0.10474,0,0.801188,1.00206,0
SPE00200183,0.980405,-1.01099,0,0.375926,0.980405,0
SPE00200457,0.991357,-0.445872,0,0.664492,0.991357,0
SPE00200851,0.966445,-1.73536,0,0.112294,0.966445,0
SPE00300012,0.947802,-2.68916,0,0.197562,0.947802,0
SPE00300061,0.984836,-0.786558,0,0.432362,0.984836,0
SPE00300132,1.02123,1.10534,0,0.330762,1.02123,0
SPE00300532,1.03213,1.66982,0,0.134058,1.03213,0
SPE00200031,0.998598,-0.0700127,0,0.769004,0.998598,0
SPE00200255,0.0831292,-47.5286,0,0,0.0831292,0
SPE00200463,1.00311,0.159369,0,0.846878,1.00311,0
SPE00200873,0.990065,-0.516544,0,0.610792,0.990065,0
SPE00300018,1.0012,0.0622029,0,0.950412,1.0012,0
SPE00300101,1.00434,0.227551,0,0.795172,1.00434,0
SPE00300133,1.00294,0.153099,0,0.87851,1.00294,0
SPE00300538,0.937788,-3.22332,0,0.0014538,0.937788,0
SPE00200040,0.976545,-1.21937,0,0.25788,0.976545,0
SPE00200191,0.989114,-0.567179,0,0.590268,0.989114,0
SPE00200484,0.958615,-2.14963,0,0.0529184,0.958615,0
SPE00201066,0.984404,-0.809795,0,0.423604,0.984404,0
SPE00300021,0.984072,-0.8253,0,0.409546,0.984072,0
SPE00300104,1.01514,0.788187,0,0.460644,1.01514,0
SPE00300148,1.01946,1.01151,0,0.33689,1.01946,0
SPE00300539,1.022,1.14063,0,0.254634,1.022,0
SPE00200070,1.01098,0.572553,0,0.590318,1.01098,0
SPE00200243,0.992247,-0.396023,0,0.547408,0.992247,0
SPE00200488,0.977741,-1.14708,0,0.37369,0.977741,0
SPE00201067,0.949217,-2.63718,0,0.0184406,0.949217,0
SPE00300032,0.989589,-0.54133,0,0.594514,0.989589,0
SPE00300105,1.00905,0.469074,0,0.63907,1.00905,0
SPE00300157,0.984909,-0.782163,0,0.434152,0.984909,0
SPE00300540,1.02423,1.25218,0,0.245144,1.02423,0
SPE00200107,0.985509,-0.754549,0,0.481748,0.985509,0
SPE00200412,0.971413,-1.48026,0,0.14451,0.971413,0
SPE00200640,0.976599,-1.21616,0,0.252056,0.976599,0
SPE00201078,0.95036,-2.58334,0,0.0741946,0.95036,0
SPE00300006,1.0021,0.106988,0,0.844594,1.0021,0
SPE00300106,1.01652,0.856854,0,0.391818,1.01652,0
SPE00300160,1.02693,1.39545,0,0.163449,1.02693,0
SPE00300542,1.02219,1.14997,0,0.250196,1.02219,0
SPE00200110,0.992941,-0.365331,0,0.71542,0.992941,0
SPE00200424,0.982529,-0.904707,0,0.367944,0.982529,0
SPE00200743,1.00395,0.200017,0,0.59479,1.00395,0
SPE00201083,0.948089,-2.69935,0,0.0397422,0.948089,0
SPE00300052,0.991848,-0.419363,0,0.693924,0.991848,0
SPE00300110,1.01145,0.590487,0,0.57552,1.01145,0
SPE00300166,1.03,1.55804,0,0.142225,1.03,0
SPE00300545,1.01507,0.784009,0,0.456248,1.01507,0
SPE00200111,1.01383,0.724345,0,0.516168,1.01383,0
SPE00200427,1.00047,0.0310583,0,0.441426,1.00047,0
SPE00200759,0.989502,-0.547921,0,0.615466,0.989502,0
SPE00201133,0.99028,-0.510014,0,0.54482,0.99028,0
SPE00300053,1.00062,0.0324194,0,0.974138,1.00062,0
SPE00300111,1.01156,0.599196,0,0.549106,1.01156,0
SPE00300228,0.923884,-3.93818,0,0.0008985,0.923884,0
SPE00300546,0.975129,-1.28449,0,0.258494,0.975129,0
SPE00200115,1.01643,0.853943,0,0.411754,1.01643,0
SPE00200441,0.99533,-0.237917,0,0.655482,0.99533,0
SPE00200763,0.996326,-0.193717,0,0.72021,0.996326,0
SPE00201136,0.882306,-6.10681,0,2.7935e-08,0.882306,0
SPE00212097,0.966092,-1.75895,0,0.08169,0.966092,0
SPE00300055,0.989477,-0.550678,0,0.619474,0.989477,0
SPE00300117,1.02737,1.42203,0,0.1836,1.02737,0
SPE00300348,0.976452,-1.22192,0,0.226422,0.976452,0
SPE00200139,0.990635,-0.483985,0,0.633006,0.990635,0
SPE00200447,0.983317,-0.862877,0,0.398616,0.983317,0
SPE00200793,0.98462,-0.799492,0,0.438284,0.98462,0
SPE00201154,0.982383,-0.912075,0,0.365334,0.982383,0
SPE00211224,1.01025,0.530771,0,0.596826,1.01025,0
SPE00300057,0.996631,-0.175652,0,0.861408,0.996631,0
SPE00300118,1.0186,0.964489,0,0.335798,1.0186,0
SPE00300423,1.03386,1.75837,0,0.100854,1.03386,0
SPE00201513,0.94738,-2.72825,0,0.00651444,0.94738,0
SPE00201697,1.05633,2.92646,0,0.013944,1.05633,0
SPE00210239,1.0208,1.07528,0,0.309388,1.0208,0
SPE00210567,1.00575,0.299416,0,0.76818,1.00575,0
SPE00211126,0.989298,-0.556447,0,0.584722,0.989298,0
SPE00211709,0.921791,-4.06049,0,0.000419682,0.921791,0
SPE00240660,0.974736,-1.30823,0,0.195518,0.974736,0
SPE01503261,0.794344,-10.6748,0,6.16918e-20,0.794344,0
SPE00100652,1.00248,0.130122,0,0.850718,1.00248,0
SPE00201524,0.955965,-2.28108,0,0.0243812,0.955965,0
SPE00203010,1.02343,1.21427,0,0.225158,1.02343,0
SPE00210242,1.02132,1.10641,0,0.275332,1.02132,0
SPE00210568,1.01177,0.610554,0,0.542226,1.01177,0
SPE00211152,0.992238,-0.406023,0,0.708322,0.992238,0
SPE00212140,1.00724,0.377902,0,0.715548,1.00724,0
SPE00240673,0.916264,-4.34008,0,1.45696e-05,0.916264,0
SPE00201539,0.978937,-1.09239,0,0.275722,0.978937,0
SPE00201716,0.984393,-0.817242,0,0.503324,0.984393,0
SPE00210025,0.983676,-0.842886,0,0.42944,0.983676,0
SPE00210296,1.02035,1.0579,0,0.314784,1.02035,0
SPE00210599,1.03028,1.56925,0,0.116629,1.03028,0
SPE00211227,1.02182,1.13124,0,0.258,1.02182,0
SPE00240429,0.962024,-1.97149,0,0.0613256,0.962024,0
SPE00240828,0.833467,-8.6212,0,7.56596e-14,0.833467,0
SPE00201540,0.994397,-0.289227,0,0.77432,0.994397,0
SPE00201610,0.931465,-3.5571,0,0.00116837,0.931465,0
SPE00210014,0.999075,-0.0460948,0,0.83664,0.999075,0
SPE00210072,0.958772,-2.12981,0,0.0942622,0.958772,0
SPE00210369,1.02296,1.19451,0,0.28137,1.02296,0
SPE00210837,1.02089,1.08202,0,0.280628,1.02089,0
SPE00240437,0.98744,-0.656357,0,0.579618,0.98744,0
SPE00240862,0.961757,-1.98284,0,0.0477076,0.961757,0
SPE00100687,1.00201,0.108208,0,0.672856,1.00201,0
SPE00107013,0.991559,-0.435069,0,0.675094,0.991559,0
SPE00201581,0.865398,-6.97944,0,8.9816e-12,0.865398,0
SPE00210201,1.01062,0.55106,0,0.582134,1.01062,0
SPE00210454,1.02106,1.09068,0,0.27897,1.02106,0
SPE00210850,0.474064,-27.2545,0,0,0.474064,0
SPE00240470,1.01552,0.803604,0,0.423496,1.01552,0
SPE00240871,0.964191,-1.86089,0,0.099225,0.964191,0
SPE00100355,0.979428,-1.06483,0,0.293704,0.979428,0
SPE00201584,1.06559,3.38851,0,0.0168859,1.06559,0
SPE00210203,0.99801,-0.10381,0,0.917534,0.99801,0
SPE00210503,1.03312,1.71975,0,0.101047,1.03312,0
SPE00210863,1.03079,1.58999,0,0.195419,1.03079,0
SPE00211538,0.991494,-0.437056,0,0.68974,0.991494,0
SPE00240497,0.97062,-1.52763,0,0.177289,0.97062,0
SPE00240944,0.987338,-0.656443,0,0.511558,0.987338,0
SPE00200123,0.941146,-3.04691,0,0.00457494,0.941146,0
SPE00201595,0.988031,-0.618792,0,0.54254,0.988031,0
SPE00210211,1.01825,0.946152,0,0.344078,1.01825,0
SPE00210505,1.00325,0.170789,0,0.778482,1.00325,0
SPE00210866,1.0328,1.70033,0,0.0891264,1.0328,0
SPE00211531,0.977009,-1.19062,0,0.23734,0.977009,0
SPE00240565,0.978714,-1.10513,0,0.277998,0.978714,0
SPE00290030,0.957822,-2.19415,0,0.093669,0.957822,0
SPE00100749,1.02289,1.19549,0,0.440358,1.02289,0
SPE00201654,0.985155,-0.774341,0,0.501214,0.985155,0
SPE00210220,1.02565,1.32664,0,0.205322,1.02565,0
SPE00210515,0.881468,-6.12546,0,2.59232e-05,0.881468,0
SPE00210874,1.01447,0.751071,0,0.45526,1.01447,0
SPE00211475,0.966041,-1.7499,0,0.27658,0.966041,0
SPE00240567,1.03721,1.93567,0,0.125224,1.03721,0
SPE00300001,0.976573,-1.21781,0,0.256404,0.976573,0
SPE00100743,0.96203,-1.9672,0,0.0505958,0.96203,0
SPE00201662,0.98727,-0.663054,0,0.53294,0.98727,0
SPE00210235,1.04677,2.41995,0,0.0278096,1.04677,0
SPE00210522,0.9847,-0.78616,0,0.553218,0.9847,0
SPE00211012,1.01999,1.0356,0,0.30115,1.01999,0
SPE00211552,0.353807,-33.4831,0,0,0.353807,0
SPE00240590,0.992263,-0.399613,0,0.693182,0.992263,0
SPE00300003,0.993109,-0.358141,0,0.721776,0.993109,0
SPE00100655,1.00229,0.119038,0,0.905332,1.00229,0
SPE00202130,0.984308,-0.817018,0,0.45001,0.984308,0
SPE00210238,1.03196,1.6543,0,0.111781,1.03196,0
SPE00210556,1.01648,0.855176,0,0.393948,1.01648,0
SPE00211066,1.00122,0.0692609,0,0.502636,1.00122,0
SPE00211566,1.013,0.669997,0,0.542076,1.013,0
SPE00240642,0.960406,-2.05421,0,0.044003,0.960406,0
SPE00300005,0.980571,-1.00595,0,0.318386,0.980571,0
SPE00200744,0.988971,-0.571349,0,0.56805,0.988971,0
SPE00201364,1.00621,0.327499,0,0.54372,1.00621,0
SPE00203008,0.931545,-3.54866,0,0.000389142,0.931545,0
SPE00240736,0.903089,-5.02913,0,5.47514e-06,0.903089,0
SPE00300547,1.01703,0.885932,0,0.408786,1.01703,0
SPE01500486,1.01867,0.971111,0,0.363056,1.01867,0
SPE01504024,0.974783,-1.3104,0,0.218858,0.974783,0
SPE01504119,0.974367,-1.32532,0,0.215638,0.974367,0
SPE00201177,0.981476,-0.967634,0,0.480508,0.981476,0
SPE00201281,0.993339,-0.344858,0,0.730456,0.993339,0
SPE00201449,0.999095,-0.0498122,0,0.747302,0.999095,0
SPE00307031,1.01664,0.869039,0,0.489208,1.01664,0
SPE01504412,0.991855,-0.419808,0,0.685234,0.991855,0
SPE01600587,0.938921,-3.16531,0,0.00160635,0.938921,0
SPE01800055,0.985024,-0.775149,0,0.441998,0.985024,0
SPE10100009,0.985795,-0.732853,0,0.496066,0.985795,0
SPE00201182,1.0017,0.0856005,0,0.777222,1.0017,0
SPE00201309,1.0294,1.5334,0,0.320134,1.0294,0
SPE00350011,1.02047,1.06136,0,0.289276,1.02047,0
SPE01500944,0.982843,-0.886492,0,0.3984,0.982843,0
SPE01503692,0.086353,-47.3628,0,0,0.086353,0
SPE01504018,0.983249,-0.870326,0,0.396322,0.983249,0
SPE01504256,1.03042,1.58446,0,0.245426,1.03042,0
SPE10101011,0.98881,-0.58011,0,0.561858,0.98881,0
SPE00201185,0.961111,-2.01713,0,0.0458756,0.961111,0
SPE00201310,1.01137,0.580436,0,0.400714,1.01137,0
SPE00211555,1.02146,1.11575,0,0.29908,1.02146,0
SPE00270067,1.00428,0.221271,0,0.825138,1.00428,0
SPE00300566,0.990646,-0.485702,0,0.628582,0.990646,0
SPE01503723,1.00047,0.0300842,0,0.510016,1.00047,0
SPE01504022,0.990249,-0.509201,0,0.64043,0.990249,0
SPE01504411,1.00969,0.503224,0,0.616682,1.00969,0
SPE00201187,0.928362,-3.71406,0,0.000212074,0.928362,0
SPE00201312,1.00066,0.0351583,0,0.91405,1.00066,0
SPE00210752,1.01551,0.800271,0,0.45648,1.01551,0
SPE01500275,0.986808,-0.682383,0,0.50041,0.986808,0
SPE01504104,0.98063,-1.00594,0,0.32504,0.98063,0
SPE01600480,0.969428,-1.58652,0,0.119926,0.969428,0
SPE01600561,0.93946,-3.13967,0,0.00197088,0.93946,0
SPE01800031,1.01452,0.75924,0,0.562086,1.01452,0
SPE00200343,0.963677,-1.8855,0,0.0707026,0.963677,0
SPE00200403,1.03809,1.97031,0,0.0750544,1.03809,0
SPE00210658,1.01739,0.906054,0,0.427102,1.01739,0
SPE00240651,0.967049,-1.70566,0,0.0992384,0.967049,0
SPE01500655,1.0403,2.09848,0,0.144177,1.0403,0
SPE01504156,0.989953,-0.521799,0,0.603986,0.989953,0
SPE01504168,0.957064,-2.23024,0,0.0460012,0.957064,0
SPE01600919,0.994897,-0.266364,0,0.794276,0.994897,0
SPE00200407,0.916907,-4.30675,0,1.69052e-05,0.916907,0
SPE00201331,1.00195,0.0942464,0,0.46361,1.00195,0
SPE00300222,1.00163,0.0863705,0,0.827796,1.00163,0
SPE00300556,1.05743,2.97022,0,0.012717,1.05743,0
SPE01500724,1.02476,1.28804,0,0.25347,1.02476,0
SPE01504155,0.971298,-1.48999,0,0.147953,0.971298,0
SPE01600365,0.966828,-1.71177,0,0.200986,0.966828,0
SPE01600964,1.00627,0.328128,0,0.723406,1.00627,0
SPE00200013,1.0051,0.265294,0,0.791394,1.0051,0
SPE00200413,0.985927,-0.72956,0,0.465688,0.985927,0
SPE00201341,0.999016,-0.0543729,0,0.70794,0.999016,0
SPE00241150,1.01503,0.775901,0,0.462378,1.01503,0
SPE00300564,1.00965,0.496331,0,0.649668,1.00965,0
SPE01504003,0.974185,-1.34369,0,0.259372,0.974185,0
SPE01504115,0.986929,-0.672823,0,0.55608,0.986929,0
SPE01504124,0.982532,-0.904315,0,0.369816,0.982532,0
SPE00200416,0.98371,-0.845252,0,0.39999,0.98371,0
SPE00201342,1.01296,0.674107,0,0.516758,1.01296,0
SPE00203029,0.968659,-1.61992,0,0.150921,0.968659,0
SPE00240958,0.925197,-3.87862,0,0.000119102,0.925197,0
SPE00270083,1.00388,0.20095,0,0.8409,1.00388,0
SPE01500880,1.01252,0.650671,0,0.521404,1.01252,0
SPE01504167,0.995862,-0.21871,0,0.649376,0.995862,0
SPE02300228,1.00413,0.215074,0,0.830988,1.00413,0
SPE00200436,0.989107,-0.566605,0,0.579856,0.989107,0
SPE00201355,1.02065,1.06666,0,0.33157,1.02065,0
SPE00240740,1.03555,1.8382,0,0.0993376,1.03555,0
SPE01504005,0.968422,-1.64201,0,0.156175,0.968422,0
SPE01504016,0.98881,-0.57929,0,0.563772,0.98881,0
SPE01504051,0.988649,-0.589031,0,0.556802,0.988649,0
SPE01701001,0.984367,-0.806045,0,0.470556,0.984367,0
SPE01800123,1.0319,1.65536,0,0.103558,1.0319,0
SPE00211950,0.969052,-1.61009,0,0.180706,0.969052,0
SPE00307045,0.995037,-0.256177,0,0.799172,0.995037,0
SPE01500730,1.00058,0.0315063,0,0.85535,1.00058,0
SPE01500842,1.02323,1.20376,0,0.229014,1.02323,0
SPE01502020,0.987816,-0.638845,0,0.505182,0.987816,0
SPE01504162,1.05122,2.65593,0,0.00835352,1.05122,0
