supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.955427,-1.92298,0,0.156915,0.955427,0
SPE00100016,1.00065,-0.0283701,0,0.490528,1.00065,0
SPE00100058,1.02237,0.967485,0,0.375446,1.02237,0
SPE00100094,0.983191,-0.712967,0,0.526046,0.983191,0
SPE00100126,1.00569,0.22751,0,0.747884,1.00569,0
SPE00100194,0.985445,-0.625189,0,0.553536,0.985445,0
SPE00100271,0.421755,-26.1689,0,0,0.421755,0
SPE00100305,0.980461,-0.811248,0,0.542892,0.980461,0
SPE00100003,0.9606,-1.72788,0,0.117241,0.9606,0
SPE00100024,1.0144,0.623072,0,0.54786,1.0144,0
SPE00100060,1.01553,0.663585,0,0.538714,1.01553,0
SPE00100096,1.01899,0.833464,0,0.415578,1.01899,0
SPE00100129,0.984558,-0.702858,0,0.485662,0.984558,0
SPE00100195,0.985264,-0.646577,0,0.523872,0.985264,0
SPE00100279,0.712914,-13.0181,0,1.21113e-29,0.712914,0
SPE00100310,0.986302,-0.604145,0,0.548612,0.986302,0
SPE00100005,0.924566,-3.40054,0,0.000891286,0.924566,0
SPE00100031,1.00959,0.393125,0,0.683438,1.00959,0
SPE00100066,1.00241,0.0908338,0,0.83552,1.00241,0
SPE00100098,1.00339,0.159245,0,0.873932,1.00339,0
SPE00100139,0.989438,-0.464879,0,0.643812,0.989438,0
SPE00100201,0.981176,-0.806771,0,0.464466,0.981176,0
SPE00100280,0.927688,-3.28935,0,0.00333112,0.927688,0
SPE00100315,0.968911,-1.37117,0,0.18605,0.968911,0
SPE00100006,0.997972,-0.101517,0,0.899182,0.997972,0
SPE00100034,1.00691,0.321481,0,0.750172,1.00691,0
SPE00100068,1.02359,1.03473,0,0.318598,1.02359,0
SPE00100099,1.0177,0.757907,0,0.488386,1.0177,0
SPE00100140,1.00808,0.31838,0,0.616964,1.00808,0
SPE00100205,1.00622,0.262168,0,0.797284,1.00622,0
SPE00100287,0.211339,-35.6562,0,0,0.211339,0
SPE00100318,0.951181,-2.15835,0,0.0422562,0.951181,0
SPE00100008,0.95768,-1.80921,0,0.22884,0.95768,0
SPE00100047,1.01389,0.590255,0,0.583908,1.01389,0
SPE00100069,1.02859,1.27715,0,0.20221,1.02859,0
SPE00100101,0.963026,-1.73169,0,0.204634,0.963026,0
SPE00100146,0.95599,-1.96503,0,0.0504778,0.95599,0
SPE00100218,0.986158,-0.655424,0,0.54792,0.986158,0
SPE00100290,1.00369,0.144041,0,0.798488,1.00369,0
SPE00100325,0.0640203,-42.2562,0,0,0.0640203,0
SPE00100009,0.936065,-2.90939,0,0.00869706,0.936065,0
SPE00100048,0.996364,-0.177765,0,0.861096,0.996364,0
SPE00100076,1.01498,0.652818,0,0.524594,1.01498,0
SPE00100102,1.02649,1.1376,0,0.336594,1.02649,0
SPE00100156,0.991199,-0.416777,0,0.687524,0.991199,0
SPE00100222,0.987352,-0.547249,0,0.594714,0.987352,0
SPE00100296,0.969007,-1.46193,0,0.287228,0.969007,0
SPE00100530,0.967179,-1.43149,0,0.198816,0.967179,0
SPE00100049,1.01041,0.463836,0,0.642962,1.01041,0
SPE00100081,1.01896,0.859201,0,0.3932,1.01896,0
SPE00100103,1.02139,0.911343,0,0.436044,1.02139,0
SPE00100158,0.989553,-0.445212,0,0.66843,0.989553,0
SPE00100223,0.993546,-0.325265,0,0.68188,0.993546,0
SPE00100298,0.99956,-0.0400419,0,0.807188,0.99956,0
SPE00100531,0.95078,-2.24663,0,0.0419138,0.95078,0
SPE00240645,0.863744,-6.11342,0,1.03615e-09,0.863744,0
SPE00100012,0.98246,-0.726144,0,0.572786,0.98246,0
SPE00100050,1.00987,0.445142,0,0.656358,1.00987,0
SPE00100088,1.00757,0.310407,0,0.738938,1.00757,0
SPE00100105,1.01113,0.521221,0,0.615116,1.01113,0
SPE00100162,0.988674,-0.490464,0,0.631258,0.988674,0
SPE00100242,0.949784,-2.28099,0,0.0313516,0.949784,0
SPE00100301,0.0791281,-41.5752,0,0,0.0791281,0
SPE00100359,0.957194,-1.95903,0,0.0769638,0.957194,0
SPE00100013,0.987779,-0.5386,0,0.592482,0.987779,0
SPE00100054,1.00519,0.231337,0,0.817072,1.00519,0
SPE00100090,1.04938,2.21307,0,0.0268974,1.04938,0
SPE00100114,1.01369,0.616403,0,0.537824,1.01369,0
SPE00100173,1.00665,0.25662,0,0.629868,1.00665,0
SPE00100254,0.965141,-1.58803,0,0.128741,0.965141,0
SPE00100303,0.987854,-0.541549,0,0.588366,0.987854,0
SPE00100360,0.994405,-0.244249,0,0.80763,0.994405,0
SPE00100014,0.971259,-1.31453,0,0.210072,0.971259,0
SPE00100056,1.01064,0.461962,0,0.64945,1.01064,0
SPE00100093,1.02256,1.04071,0,0.327706,1.02256,0
SPE00100117,1.02082,0.991863,0,0.4316,1.02082,0
SPE00100190,0.991994,-0.370007,0,0.713816,0.991994,0
SPE00100267,1.00195,0.0963626,0,0.913,1.00195,0
SPE00100304,0.992691,-0.329072,0,0.742136,0.992691,0
SPE00100368,0.955372,-1.9294,0,0.144812,0.955372,0
SPE00100375,0.972043,-1.23891,0,0.222286,0.972043,0
SPE00100528,0.994356,-0.283586,0,0.72389,0.994356,0
SPE00100537,0.087565,-41.1965,0,0,0.087565,0
SPE00100568,1.07314,3.08628,1,0.221572,1.07314,0
SPE00100609,0.950108,-2.29508,0,0.0569012,0.950108,0
SPE00102018,0.986482,-0.598279,0,0.551396,0.986482,0
SPE00200004,0.991547,-0.355833,0,0.73211,0.991547,0
SPE01500420,1.00436,0.172603,0,0.78432,1.00436,0
SPE00100378,0.987568,-0.540793,0,0.595966,0.987568,0
SPE00100455,1.02389,1.08445,0,0.28452,1.02389,0
SPE00100540,0.870908,-5.9689,1,7.6445e-05,0.870908,0
SPE00100572,1.01616,0.687715,0,0.531896,1.01616,0
SPE00100612,0.959574,-1.87708,0,0.139914,0.959574,0
SPE00100682,1.00044,0.0625814,0,0.605346,1.00044,0
SPE00102076,0.781126,-9.9284,0,6.9635e-18,0.781126,0
SPE00201606,0.33469,-30.0182,0,0,0.33469,0
SPE00100423,0.973541,-1.17497,0,0.244278,0.973541,0
SPE00100458,1.00861,0.38184,0,0.702906,1.00861,0
SPE00100541,0.974463,-1.16017,0,0.253922,0.974463,0
SPE00100576,1.03232,1.45003,0,0.147073,1.03232,0
SPE00100615,1.00756,0.319318,0,0.756116,1.00756,0
SPE00100686,0.990322,-0.443476,0,0.659548,0.990322,0
SPE00102058,0.976748,-1.0647,0,0.304108,0.976748,0
SPE00200010,1.00757,0.330817,0,0.742122,1.00757,0
SPE00100424,0.99766,-0.115326,0,0.900884,0.99766,0
SPE00100525,1.00626,0.313483,0,0.707684,1.00626,0
SPE00100551,1.01441,0.639879,0,0.523464,1.01441,0
SPE00100580,0.999065,-0.0574448,0,0.852112,0.999065,0
SPE00100616,0.955018,-2.05951,0,0.0663476,0.955018,0
SPE00100698,0.989684,-0.431128,0,0.68793,0.989684,0
SPE00107023,0.961935,-1.68868,0,0.0987382,0.961935,0
SPE00200012,0.987943,-0.5889,0,0.617982,0.987943,0
SPE00100432,0.983396,-0.715483,0,0.500358,0.983396,0
SPE00100465,1.01777,0.785759,0,0.435878,1.01777,0
SPE00100550,1.01967,0.869382,0,0.389906,1.01967,0
SPE00100582,1.02067,0.921945,0,0.357406,1.02067,0
SPE00100618,1.00185,0.0966554,0,0.871396,1.00185,0
SPE00100719,0.898956,-4.54835,0,8.44814e-06,0.898956,0
SPE00107022,0.970548,-1.32156,0,0.186356,0.970548,0
SPE00201466,0.973739,-1.21862,0,0.278266,0.973739,0
SPE00100434,0.988553,-0.508818,0,0.611374,0.988553,0
SPE00100475,1.00461,0.188036,0,0.823732,1.00461,0
SPE00100552,1.02664,1.18788,0,0.23628,1.02664,0
SPE00100583,1.07751,3.47573,0,0.000509636,1.07751,0
SPE00100620,0.986981,-0.567626,0,0.5774,0.986981,0
SPE00100688,0.978585,-0.9477,0,0.348638,0.978585,0
SPE00107093,0.987736,-0.527214,0,0.61138,0.987736,0
SPE00201477,0.372869,-28.3702,0,0,0.372869,0
SPE00100435,0.988655,-0.503369,0,0.615408,0.988655,0
SPE00100489,1.0095,0.453437,0,0.667534,1.0095,0
SPE00100562,1.01226,0.540152,0,0.59142,1.01226,0
SPE00100584,1.02456,1.04562,0,0.396576,1.02456,0
SPE00100638,1.00013,0.0101183,0,0.956842,1.00013,0
SPE00100731,0.981011,-0.858753,0,0.392368,0.981011,0
SPE00200002,0.880985,-5.39433,0,1.37316e-06,0.880985,0
SPE00201484,0.962066,-1.7207,0,0.094384,0.962066,0
SPE00100439,0.993432,-0.28278,0,0.779476,0.993432,0
SPE00100492,1.01171,0.544014,0,0.595976,1.01171,0
SPE00100520,0.986433,-0.593444,0,0.55912,0.986433,0
SPE00100563,1.0085,0.402697,0,0.697122,1.0085,0
SPE00100585,1.01947,0.873841,0,0.382236,1.01947,0
SPE00100646,0.984507,-0.719464,0,0.491318,0.984507,0
SPE00107015,0.985199,-0.659858,0,0.509768,0.985199,0
SPE00201505,0.943121,-2.56968,0,0.0123219,0.943121,0
SPE00100447,0.97457,-1.16374,0,0.2634,0.97457,0
SPE00100497,1.01744,0.783139,0,0.433612,1.01744,0
SPE00100566,0.980766,-0.915272,0,0.450768,0.980766,0
SPE00100586,1.02996,1.32784,0,0.191879,1.02996,0
SPE00100650,1.00375,0.157873,0,0.875468,1.00375,0
SPE00100901,0.997582,-0.0815703,0,0.747772,0.997582,0
SPE00102007,0.961161,-1.76738,0,0.0917926,0.961161,0
SPE00201506,0.92716,-3.29351,0,0.00169137,0.92716,0
SPE00100517,0.999183,-0.0205416,0,0.846728,0.999183,0
SPE00100529,0.919406,-3.64633,0,0.000607696,0.919406,0
SPE00100567,1.01382,0.63397,0,0.532378,1.01382,0
