supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.939855,-1.02778,0,0.402148,0.939855,0
SPE00100016,0.97632,-0.406935,0,0.690692,0.97632,0
SPE00100058,1.01399,0.242034,0,0.652364,1.01399,0
SPE00100094,0.989043,-0.18716,0,0.852914,0.989043,0
SPE00100126,0.965787,-0.583761,0,0.616648,0.965787,0
SPE00100194,0.970483,-0.513713,0,0.155939,0.970483,0
SPE00100271,0.247705,-12.8959,0,1.03689e-37,0.247705,0
SPE00100305,1.00989,0.172816,0,0.513268,1.00989,0
SPE00100003,0.983909,-0.279157,0,0.507834,0.983909,0
SPE00100024,0.95873,-0.708912,0,0.498814,0.95873,0
SPE00100060,1.02588,0.440871,0,0.611414,1.02588,0
SPE00100096,1.02295,0.394135,0,0.697178,1.02295,0
SPE00100129,1.00024,0.00359451,0,0.908744,1.00024,0
SPE00100195,0.993801,-0.107203,0,0.847032,0.993801,0
SPE00100279,0.636154,-6.23756,0,6.50224e-10,0.636154,0
SPE00100310,0.985704,-0.245102,0,0.806388,0.985704,0
SPE00100005,0.739504,-4.46381,0,1.67209e-05,0.739504,0
SPE00100031,1.0113,0.193571,0,0.84653,1.0113,0
SPE00100066,0.964723,-0.601953,0,0.607374,0.964723,0
SPE00100098,0.981378,-0.319659,0,0.750272,0.981378,0
SPE00100139,0.922383,-1.33079,0,0.18425,0.922383,0
SPE00100201,0.928875,-1.22489,0,0.490198,0.928875,0
SPE00100280,0.879658,-2.06764,0,0.142384,0.879658,0
SPE00100315,1.00146,0.0258636,0,0.867208,1.00146,0
SPE00100006,1.04313,0.738819,0,0.46202,1.04313,0
SPE00100034,0.998419,-0.024387,0,0.575482,0.998419,0
SPE00100068,1.03003,0.514752,0,0.606744,1.03003,0
SPE00100099,0.980595,-0.331036,0,0.75389,0.980595,0
SPE00100140,0.938731,-1.05336,0,0.386324,0.938731,0
SPE00100205,0.917862,-1.41018,0,0.201296,0.917862,0
SPE00100287,0.211542,-13.5154,0,1.3629e-41,0.211542,0
SPE00100318,0.988636,-0.192722,0,0.67427,0.988636,0
SPE00100008,1.03651,0.632407,0,0.261124,1.03651,0
SPE00100047,1.09267,1.59293,0,0.256356,1.09267,0
SPE00100069,1.03032,0.515117,0,0.408414,1.03032,0
SPE00100101,0.712734,-4.92664,0,5.1601e-06,0.712734,0
SPE00100146,0.911561,-1.51597,0,0.129526,0.911561,0
SPE00100218,0.992693,-0.127941,0,0.580714,0.992693,0
SPE00100290,0.951755,-0.830587,0,0.522676,0.951755,0
SPE00100325,0.173472,-14.1679,0,2.8026e-45,0.173472,0
SPE00100009,0.734142,-4.55859,0,1.03904e-05,0.734142,0
SPE00100048,0.994253,-0.0972214,0,0.79078,0.994253,0
