supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.974672,-1.33239,0,0.187415,0.974672,0
SPE00100016,0.996325,-0.194687,0,0.84611,0.996325,0
SPE00100058,1.01629,0.859008,0,0.39159,1.01629,0
SPE00100094,1.00387,0.206171,0,0.838508,1.00387,0
SPE00100126,0.994725,-0.282558,0,0.745178,0.994725,0
SPE00100194,0.987045,-0.677715,0,0.523598,0.987045,0
SPE00100271,0.391864,-32.0279,0,0,0.391864,0
SPE00100305,0.973461,-1.40742,0,0.24896,0.973461,0
SPE00100003,0.975876,-1.26652,0,0.22894,0.975876,0
SPE00100024,1.01567,0.829847,0,0.429178,1.01567,0
SPE00100060,1.00961,0.509362,0,0.62044,1.00961,0
SPE00100096,1.02312,1.22077,0,0.23014,1.02312,0
SPE00100129,0.981489,-0.977587,0,0.335082,0.981489,0
SPE00100195,0.995162,-0.259074,0,0.770232,0.995162,0
SPE00100279,0.477729,-27.5065,0,0,0.477729,0
SPE00100310,0.974763,-1.33322,0,0.197372,0.974763,0
SPE00100005,0.957023,-2.26084,0,0.0280988,0.957023,0
SPE00100031,1.00476,0.249298,0,0.804032,1.00476,0
SPE00100066,1.0165,0.869554,0,0.384766,1.0165,0
SPE00100098,1.01805,0.953957,0,0.352974,1.01805,0
SPE00100139,1.00478,0.25209,0,0.801084,1.00478,0
SPE00100201,0.997626,-0.123875,0,0.901778,0.997626,0
SPE00100280,0.957662,-2.23078,0,0.0257162,0.957662,0
SPE00100315,0.969541,-1.6122,0,0.158223,0.969541,0
SPE00100006,0.998072,-0.0975575,0,0.770872,0.998072,0
SPE00100034,1.01333,0.707443,0,0.510488,1.01333,0
SPE00100068,1.00687,0.36029,0,0.720106,1.00687,0
SPE00100099,1.01349,0.710909,0,0.477164,1.01349,0
SPE00100140,0.991343,-0.449846,0,0.681732,0.991343,0
SPE00100205,0.998282,-0.0895766,0,0.928796,0.998282,0
SPE00100287,0.272418,-38.3308,0,0,0.272418,0
SPE00100318,0.984984,-0.798002,0,0.480288,0.984984,0
SPE00100008,0.969631,-1.60444,0,0.126988,0.969631,0
