supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.99131,-0.462958,0,0.649588,0.99131,0
SPE00100016,0.985429,-0.795754,0,0.495514,0.985429,0
SPE00100058,1.00831,0.448752,0,0.655078,1.00831,0
SPE00100094,1.00407,0.214463,0,0.83358,1.00407,0
SPE00100126,0.995951,-0.216389,0,0.828994,0.995951,0
SPE00100194,0.98838,-0.622041,0,0.537062,0.98838,0
SPE00100271,0.579031,-22.6327,0,0,0.579031,0
SPE00100305,0.98323,-0.902873,0,0.367362,0.98323,0
SPE00100003,0.974699,-1.36557,0,0.184467,0.974699,0
SPE00100024,1.01617,0.871794,0,0.386626,1.01617,0
SPE00100060,1.00387,0.215455,0,0.749492,1.00387,0
SPE00100096,1.02174,1.17836,0,0.284018,1.02174,0
SPE00100129,0.99586,-0.215998,0,0.769254,0.99586,0
SPE00100195,1.00152,0.0715189,0,0.636286,1.00152,0
SPE00100279,0.380186,-33.3374,0,0,0.380186,0
SPE00100310,0.987494,-0.671104,0,0.502868,0.987494,0
SPE00100005,0.952313,-2.5714,0,0.0147485,0.952313,0
SPE00100031,0.996212,-0.211807,0,0.715698,0.996212,0
SPE00100066,1.00862,0.469046,0,0.649676,1.00862,0
SPE00100098,1.01764,0.948785,0,0.342938,1.01764,0
SPE00100139,1.00137,0.0728327,0,0.942002,1.00137,0
SPE00100201,0.992812,-0.381025,0,0.711752,0.992812,0
SPE00100280,0.959937,-2.15384,0,0.0312542,0.959937,0
SPE00100315,0.986553,-0.718653,0,0.480814,0.986553,0
SPE00100006,0.997132,-0.158383,0,0.850182,0.997132,0
SPE00100034,1.00982,0.521522,0,0.616828,1.00982,0
SPE00100068,1.01603,0.860087,0,0.390894,1.01603,0
SPE00100099,1.01523,0.825699,0,0.430574,1.01523,0
SPE00100140,0.987766,-0.652548,0,0.525876,0.987766,0
SPE00100205,1.00168,0.0893843,0,0.92887,1.00168,0
SPE00100287,0.334689,-35.7657,0,0,0.334689,0
SPE00100318,0.979308,-1.11018,0,0.269612,0.979308,0
SPE00100008,0.968725,-1.69884,0,0.188931,0.968725,0
SPE00100047,1.01177,0.639062,0,0.540542,1.01177,0
SPE00100069,1.03429,1.84535,0,0.0656436,1.03429,0
SPE00100101,0.973752,-1.41288,0,0.158911,0.973752,0
SPE00100146,0.976614,-1.25808,0,0.208622,0.976614,0
SPE00100218,1.00083,0.0458882,0,0.956582,1.00083,0
SPE00100290,0.990391,-0.524303,0,0.621864,0.990391,0
SPE00100325,0.0526342,-50.9585,0,0,0.0526342,0
SPE00100009,0.971534,-1.52982,0,0.126231,0.971534,0
SPE00100048,1.02244,1.21736,0,0.280332,1.02244,0
SPE00100076,1.02716,1.46352,0,0.147707,1.02716,0
SPE00100102,1.02093,1.12541,0,0.26049,1.02093,0
SPE00100156,0.977066,-1.22524,0,0.249142,0.977066,0
SPE00100222,0.991846,-0.436977,0,0.662792,0.991846,0
SPE00100296,0.977492,-1.21736,0,0.248372,0.977492,0
SPE00100530,0.985965,-0.76329,0,0.48011,0.985965,0
SPE00100049,1.03141,1.69099,0,0.0921876,1.03141,0
SPE00100081,1.02119,1.14512,0,0.269182,1.02119,0
SPE00100103,1.01022,0.550694,0,0.582274,1.01022,0
SPE00100158,0.995951,-0.214069,0,0.83275,0.995951,0
SPE00100223,0.991315,-0.458147,0,0.67236,0.991315,0
SPE00100298,0.989451,-0.572257,0,0.57765,0.989451,0
SPE00100531,0.961859,-2.04747,0,0.0426916,0.961859,0
SPE00240645,0.955326,-2.39658,0,0.0197368,0.955326,0
SPE00100012,0.990134,-0.527075,0,0.602478,0.990134,0
SPE00100050,1.00914,0.4959,0,0.626982,1.00914,0
SPE00100088,1.01767,0.943256,0,0.368082,1.01767,0
SPE00100105,1.00822,0.44385,0,0.658574,1.00822,0
SPE00100162,0.988876,-0.605877,0,0.56953,0.988876,0
SPE00100242,0.954784,-2.43285,0,0.0153332,0.954784,0
SPE00100301,0.0948536,-48.6874,0,0,0.0948536,0
SPE00100359,0.983982,-0.873574,0,0.454502,0.983982,0
SPE00100013,0.990116,-0.518593,0,0.608418,0.990116,0
SPE00100054,0.997983,-0.108141,0,0.913892,0.997983,0
SPE00100090,1.02562,1.37743,0,0.168407,1.02562,0
SPE00100114,1.00776,0.419741,0,0.677098,1.00776,0
SPE00100173,1.00391,0.21771,0,0.73601,1.00391,0
SPE00100254,0.976544,-1.26289,0,0.208162,0.976544,0
SPE00100303,1.00171,0.0858878,0,0.784888,1.00171,0
SPE00100360,0.988968,-0.604373,0,0.595776,0.988968,0
SPE00100014,0.985971,-0.750099,0,0.461372,0.985971,0
SPE00100056,0.997292,-0.143101,0,0.886956,0.997292,0
SPE00100093,1.02834,1.52519,0,0.127898,1.02834,0
SPE00100117,1.01389,0.747897,0,0.455192,1.01389,0
SPE00100190,0.999504,-0.0251864,0,0.946244,0.999504,0
SPE00100267,0.984714,-0.803918,0,0.545394,0.984714,0
SPE00100304,0.98405,-0.862172,0,0.399174,0.98405,0
SPE00100368,0.987114,-0.705453,0,0.54936,0.987114,0
SPE00100375,0.982918,-0.91638,0,0.361524,0.982918,0
SPE00100528,1.00025,0.00388159,0,0.668616,1.00025,0
SPE00100537,0.107209,-48.0222,0,0,0.107209,0
SPE00100568,1.00965,0.517445,0,0.605512,1.00965,0
SPE00100609,0.96178,-2.05267,0,0.041103,0.96178,0
SPE00102018,0.995046,-0.266762,0,0.789694,0.995046,0
SPE00200004,0.989946,-0.545432,0,0.5947,0.989946,0
SPE01500420,0.99532,-0.237734,0,0.536744,0.99532,0
SPE00100378,0.986982,-0.704096,0,0.489308,0.986982,0
SPE00100455,1.01242,0.65184,0,0.557618,1.01242,0
SPE00100540,0.966948,-1.79309,0,0.150729,0.966948,0
SPE00100572,1.01135,0.610753,0,0.541492,1.01135,0
SPE00100612,0.926686,-3.94376,0,8.64048e-05,0.926686,0
SPE00100682,0.992211,-0.417949,0,0.676198,0.992211,0
SPE00102076,0.856283,-7.7343,0,7.1912e-14,0.856283,0
SPE00201606,0.855713,-7.78945,0,1.2597e-10,0.855713,0
SPE00100423,0.975111,-1.34815,0,0.222344,0.975111,0
SPE00100458,0.998468,-0.0813541,0,0.93523,0.998468,0
SPE00100541,0.993524,-0.354041,0,0.732654,0.993524,0
SPE00100576,1.02066,1.11333,0,0.269412,1.02066,0
SPE00100615,1.00442,0.245136,0,0.737652,1.00442,0
SPE00100686,0.988949,-0.591783,0,0.55634,0.988949,0
SPE00102058,0.983499,-0.874195,0,0.46039,0.983499,0
SPE00200010,1.01138,0.611875,0,0.540638,1.01138,0
SPE00100424,0.988599,-0.625677,0,0.596008,0.988599,0
SPE00100525,1.00649,0.341808,0,0.74525,1.00649,0
SPE00100551,1.02254,1.21008,0,0.228188,1.02254,0
SPE00100580,0.997427,-0.138412,0,0.889916,0.997427,0
SPE00100616,0.971148,-1.54525,0,0.136147,0.971148,0
SPE00100698,0.997969,-0.111295,0,0.911798,0.997969,0
SPE00107023,0.977189,-1.21991,0,0.242646,0.977189,0
SPE00200012,0.993123,-0.363436,0,0.727258,0.993123,0
SPE00100432,0.981721,-1.00145,0,0.473412,0.981721,0
SPE00100465,1.00858,0.46482,0,0.645924,1.00858,0
SPE00100550,1.0094,0.504113,0,0.615042,1.0094,0
SPE00100582,1.02133,1.1501,0,0.256054,1.02133,0
SPE00100618,0.997299,-0.148302,0,0.883272,0.997299,0
SPE00100719,0.924604,-4.04346,0,0.000174695,0.924604,0
SPE00107022,0.986701,-0.707339,0,0.505584,0.986701,0
SPE00201466,0.971095,-1.52708,0,0.387454,0.971095,0
