supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.972654,-1.51725,0,0.180848,0.972654,0
SPE00100016,0.992098,-0.423101,0,0.689538,0.992098,0
SPE00100058,1.00658,0.398814,0,0.702238,1.00658,0
SPE00100094,0.994789,-0.276148,0,0.78944,0.994789,0
SPE00100126,0.996155,-0.252125,0,0.69593,0.996155,0
SPE00100194,0.992814,-0.442653,0,0.683042,0.992814,0
SPE00100271,0.582888,-23.9115,0,0,0.582888,0
SPE00100305,0.977673,-1.3072,0,0.228404,0.977673,0
SPE00100003,1.00411,0.189826,0,0.591164,1.00411,0
SPE00100024,1.00977,0.524936,0,0.627132,1.00977,0
SPE00100060,0.99533,-0.213254,0,0.523174,0.99533,0
SPE00100096,1.00181,0.168134,0,0.429946,1.00181,0
SPE00100129,0.989887,-0.619493,0,0.58842,0.989887,0
SPE00100195,1.00015,-0.0151016,0,0.77064,1.00015,0
SPE00100279,0.896864,-5.8904,0,4.42524e-09,0.896864,0
SPE00100310,0.988157,-0.693304,0,0.498366,0.988157,0
SPE00100005,0.992716,-0.508907,0,0.310058,0.992716,0
SPE00100031,0.992949,-0.357138,0,0.60287,0.992949,0
SPE00100066,1.00465,0.263993,0,0.7918,1.00465,0
SPE00100098,0.999854,0.0150617,0,0.773826,0.999854,0
SPE00100139,0.990923,-0.494334,0,0.635254,0.990923,0
SPE00100201,1.01783,0.935504,0,0.499192,1.01783,0
SPE00100280,0.961261,-2.19395,0,0.0312284,0.961261,0
SPE00100315,0.976801,-1.31728,0,0.188959,0.976801,0
SPE00100006,1.10254,5.34643,1,0.20332,1.10254,0
SPE00100034,1.0096,0.615474,0,0.486876,1.0096,0
SPE00100068,0.999375,0.0107782,0,0.568208,0.999375,0
SPE00100099,0.995642,-0.175632,0,0.377228,0.995642,0
SPE00100140,0.997546,-0.184636,0,0.589372,0.997546,0
SPE00100205,1.03068,1.71002,0,0.125372,1.03068,0
SPE00100287,0.358334,-36.8429,0,0,0.358334,0
SPE00100318,0.997811,-0.213889,0,0.284786,0.997811,0
SPE00100008,0.985718,-0.789911,0,0.450556,0.985718,0
SPE00100047,0.992084,-0.454331,0,0.649778,0.992084,0
SPE00100069,1.15518,8.34305,1,0.0183822,1.15518,0
SPE00100101,0.959409,-2.29093,0,0.028046,0.959409,0
SPE00100146,0.985238,-0.84152,0,0.400066,0.985238,0
SPE00100218,1.00913,0.443813,0,0.390932,1.00913,0
SPE00100290,1.003,0.1715,0,0.863832,1.003,0
SPE00100325,0.0596665,-54.0275,0,0,0.0596665,0
SPE00100009,0.884783,-6.5164,0,2.76356e-09,0.884783,0
SPE00100048,1.01162,0.606757,0,0.565962,1.01162,0
SPE00100076,0.996271,-0.15482,0,0.482032,0.996271,0
SPE00100102,1.00769,0.439079,0,0.660614,1.00769,0
SPE00100156,0.990585,-0.545926,0,0.587354,0.990585,0
SPE00100222,0.974866,-1.39498,0,0.209692,0.974866,0
SPE00100296,1.00721,0.307007,0,0.22092,1.00721,0
