supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.970273,-1.17823,0,0.238852,0.970273,0
SPE00100016,0.997233,-0.108687,0,0.913726,0.997233,0
SPE00100058,1.00295,0.113191,0,0.76492,1.00295,0
SPE00100094,1.01555,0.612669,0,0.557772,1.01555,0
SPE00100126,0.994526,-0.218357,0,0.8281,0.994526,0
SPE00100194,0.984369,-0.612863,0,0.595094,0.984369,0
SPE00100271,0.867691,-5.24128,0,4.85134e-07,0.867691,0
SPE00100305,0.958786,-1.62693,0,0.156679,0.958786,0
SPE00100003,0.971908,-1.115,0,0.267194,0.971908,0
SPE00100024,1.01048,0.415925,0,0.677682,1.01048,0
SPE00100060,0.998161,-0.0749599,0,0.871988,0.998161,0
SPE00100096,1.01423,0.562073,0,0.57863,1.01423,0
SPE00100129,1.00226,0.0887146,0,0.929564,1.00226,0
SPE00100195,0.988569,-0.451282,0,0.655486,0.988569,0
SPE00100279,0.852255,-5.85312,0,1.90289e-08,0.852255,0
SPE00100310,0.969442,-1.21141,0,0.225758,0.969442,0
SPE00100005,1.0211,0.797863,1,0.0129912,1.0211,0
SPE00100031,1.00076,0.0302236,0,0.975894,1.00076,0
SPE00100066,1.00583,0.229409,0,0.819926,1.00583,0
SPE00100098,1.01841,0.725543,0,0.494354,1.01841,0
SPE00100139,1.00778,0.308535,0,0.757676,1.00778,0
SPE00100201,0.995367,-0.178786,0,0.704152,0.995367,0
SPE00100280,0.965128,-1.38342,0,0.167558,0.965128,0
SPE00100315,0.955459,-1.76008,0,0.109432,0.955459,0
SPE00100006,0.987097,-0.506398,0,0.640726,0.987097,0
SPE00100034,1.01091,0.425405,0,0.609814,1.01091,0
SPE00100068,1.00937,0.371454,0,0.71032,1.00937,0
SPE00100099,1.0106,0.414698,0,0.694336,1.0106,0
SPE00100140,1.00272,0.105073,0,0.830348,1.00272,0
SPE00100205,0.992365,-0.297715,0,0.70714,0.992365,0
SPE00100287,0.785972,-8.48755,0,4.5301e-17,0.785972,0
SPE00100318,0.954291,-1.80499,0,0.116618,0.954291,0
SPE00100008,0.980256,-0.777164,0,0.480186,0.980256,0
SPE00100047,1.03179,1.25355,0,0.271936,1.03179,0
SPE00100069,1.01345,0.535796,0,0.600154,1.01345,0
SPE00100101,1.00192,0.0732635,0,0.812938,1.00192,0
SPE00100146,0.98736,-0.49893,0,0.623028,0.98736,0
SPE00100218,0.967667,-1.28437,0,0.207658,0.967667,0
SPE00100290,0.977641,-0.884665,0,0.381098,0.977641,0
SPE00100325,0.0601752,-37.2671,0,0,0.0601752,0
SPE00100009,0.970039,-1.1969,0,0.341626,0.970039,0
SPE00100048,1.02768,1.10165,0,0.298372,1.02768,0
SPE00100076,1.01336,0.531814,0,0.60083,1.01336,0
SPE00100102,1.02227,0.879099,0,0.398812,1.02227,0
SPE00100156,0.986175,-0.54704,0,0.585706,0.986175,0
SPE00100222,0.98069,-0.767388,0,0.447538,0.98069,0
SPE00100296,0.965185,-1.38619,0,0.210268,0.965185,0
SPE00100530,0.982601,-0.691491,0,0.493084,0.982601,0
SPE00100049,1.06084,2.4081,0,0.0211914,1.06084,0
SPE00100081,1.05218,2.065,0,0.0477986,1.05218,0
SPE00100103,1.01216,0.483013,0,0.629934,1.01216,0
SPE00100158,0.986042,-0.553519,0,0.57993,0.986042,0
SPE00100223,0.982223,-0.709569,0,0.50809,0.982223,0
SPE00100298,0.975335,-0.980336,0,0.335908,0.975335,0
SPE00100531,0.967343,-1.28837,0,0.252004,0.967343,0
SPE00240645,0.92841,-2.84278,0,0.00711402,0.92841,0
