supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100271,0.469294,-22.2045,0,0,0.469294,0
SPE00100305,0.948101,-2.17212,0,0.0314226,0.948101,0
SPE00100002,0.953499,-1.94045,0,0.0762306,0.953499,0
SPE00100016,0.987561,-0.523354,0,0.617606,0.987561,0
SPE00100126,0.994261,-0.244445,0,0.67041,0.994261,0
SPE00100194,0.998707,-0.0527121,0,0.890296,0.998707,0
SPE00100094,1.00756,0.318723,0,0.756504,1.00756,0
SPE00100058,1.01401,0.588521,0,0.567668,1.01401,0
SPE00100310,0.951709,-2.02305,0,0.0540738,0.951709,0
SPE00100003,0.955767,-1.84697,0,0.0775998,0.955767,0
SPE00100279,0.965073,-1.46129,0,0.144306,0.965073,0
SPE00100195,0.984289,-0.656157,0,0.51377,0.984289,0
SPE00100129,0.994852,-0.215043,0,0.8298,0.994852,0
SPE00100024,1.00751,0.313025,0,0.756112,1.00751,0
SPE00100060,1.02296,0.959293,0,0.339252,1.02296,0
SPE00100096,1.02952,1.23608,0,0.221794,1.02952,0
SPE00100005,0.930916,-2.88712,0,0.00492558,0.930916,0
SPE00100315,0.954421,-1.90522,0,0.0583862,0.954421,0
SPE00100280,0.975211,-1.0371,0,0.299854,0.975211,0
SPE00100201,1.00126,0.0511849,0,0.872212,1.00126,0
SPE00100139,1.00677,0.284181,0,0.77761,1.00677,0
SPE00100031,1.01234,0.515633,0,0.606278,1.01234,0
SPE00100098,1.01882,0.78913,0,0.439662,1.01882,0
SPE00100066,1.02193,0.916105,0,0.362492,1.02193,0
SPE00100287,0.135021,-36.1837,0,0,0.135021,0
SPE00100006,0.955635,-1.85552,0,0.0635366,0.955635,0
SPE00100318,0.959223,-1.70788,0,0.096284,0.959223,0
SPE00100205,0.995561,-0.183922,0,0.85623,0.995561,0
SPE00100140,1.00218,0.0905416,0,0.927952,1.00218,0
SPE00100034,1.00779,0.330777,0,0.641076,1.00779,0
SPE00100068,1.01115,0.466624,0,0.641024,1.01115,0
SPE00100099,1.01677,0.698609,0,0.502546,1.01677,0
SPE00100325,0.0577262,-39.4168,0,0,0.0577262,0
SPE00100008,0.954033,-1.9231,0,0.0547534,0.954033,0
SPE00100101,0.96499,-1.45917,0,0.196932,0.96499,0
SPE00100290,0.981049,-0.791633,0,0.430928,0.981049,0
SPE00100146,0.998126,-0.0750062,0,0.73639,0.998126,0
SPE00100218,1.00522,0.211633,0,0.5138,1.00522,0
SPE00100047,1.01368,0.571951,0,0.567632,1.01368,0
SPE00100069,1.02589,1.08745,0,0.32243,1.02589,0
SPE00100009,0.955424,-1.86644,0,0.0672432,0.955424,0
SPE00100530,0.960876,-1.63624,0,0.101833,0.960876,0
SPE00100296,0.971699,-1.18437,0,0.23728,0.971699,0
SPE00100156,0.98145,-0.773231,0,0.45481,0.98145,0
SPE00100222,0.981939,-0.754089,0,0.454738,0.981939,0
SPE00100048,0.998488,-0.066596,0,0.737844,0.998488,0
SPE00100102,1.01371,0.573887,0,0.566372,1.01371,0
SPE00100076,1.01667,0.698155,0,0.4863,1.01667,0
SPE00240645,0.888062,-4.67648,0,1.7886e-05,0.888062,0
SPE00100531,0.938045,-2.59049,0,0.0098326,0.938045,0
SPE00100298,0.985965,-0.584772,0,0.568576,0.985965,0
SPE00100223,0.996682,-0.137534,0,0.891426,0.996682,0
SPE00100158,0.999882,-0.00337021,0,0.87461,0.999882,0
SPE00100103,1.01616,0.674854,0,0.503002,1.01616,0
SPE00100049,1.02144,0.89746,0,0.371012,1.02144,0
SPE00100081,1.02208,0.9243,0,0.356202,1.02208,0
SPE00100301,0.0598674,-39.3258,0,0,0.0598674,0
SPE00100242,0.953469,-1.94264,0,0.0668458,0.953469,0
SPE00100012,0.953703,-1.93657,0,0.0528274,0.953703,0
SPE00100359,0.962012,-1.59015,0,0.114576,0.962012,0
SPE00100162,0.999902,-0.00401345,0,0.994216,0.999902,0
SPE00100050,1.00652,0.27032,0,0.793544,1.00652,0
SPE00100105,1.01365,0.57169,0,0.568672,1.01365,0
SPE00100088,1.01847,0.772849,0,0.44002,1.01847,0
SPE00100360,0.954112,-1.91378,0,0.0935444,0.954112,0
SPE00100013,0.96983,-1.26204,0,0.206994,0.96983,0
SPE00100254,0.976637,-0.978043,0,0.329918,0.976637,0
SPE00100303,0.988504,-0.480613,0,0.630864,0.988504,0
SPE00100173,0.998685,-0.0575637,0,0.798886,0.998685,0
SPE00100054,1.00954,0.400347,0,0.691932,1.00954,0
SPE00100114,1.02351,0.984285,0,0.326706,1.02351,0
SPE00100090,1.02777,1.16735,0,0.324524,1.02777,0
SPE00100368,0.950662,-2.06333,0,0.0391508,0.950662,0
SPE00100014,0.956034,-1.84144,0,0.0742592,0.956034,0
SPE00100304,0.988454,-0.482746,0,0.629318,0.988454,0
SPE00100267,1.0019,0.0797995,0,0.93648,1.0019,0
SPE00100056,1.00669,0.281241,0,0.78056,1.00669,0
SPE00100190,1.00783,0.329051,0,0.744596,1.00783,0
SPE00100117,1.01814,0.760717,0,0.457178,1.01814,0
SPE00100093,1.13654,5.76299,1,0.291824,1.13654,0
SPE00100537,0.673483,-13.6498,0,1.26939e-38,0.673483,0
SPE00200004,0.953876,-1.93145,0,0.0595866,0.953876,0
SPE00100375,0.97039,-1.23633,0,0.22663,0.97039,0
SPE00100609,0.975475,-1.0327,0,0.408356,0.975475,0
SPE00100528,0.979896,-0.841991,0,0.402768,0.979896,0
SPE01500420,1.00186,0.0705994,0,0.48337,1.00186,0
SPE00102018,1.01178,0.496113,0,0.63799,1.01178,0
SPE00100568,1.01303,0.550182,0,0.62757,1.01303,0
SPE00201606,0.774261,-9.45481,0,1.83617e-16,0.774261,0
SPE00102076,0.874991,-5.23045,0,2.56416e-07,0.874991,0
SPE00100540,0.924395,-3.16437,0,0.00194391,0.924395,0
SPE00100612,0.956473,-1.82245,0,0.0733522,0.956473,0
SPE00100378,0.981435,-0.768045,0,0.523464,0.981435,0
SPE00100682,0.994769,-0.221928,0,0.759428,0.994769,0
SPE00100455,1.02368,0.993639,0,0.343616,1.02368,0
SPE00100572,1.03021,1.26536,0,0.211534,1.03021,0
SPE00200010,0.961028,-1.63419,0,0.131596,0.961028,0
SPE00100423,0.966468,-1.39852,0,0.194855,0.966468,0
SPE00102058,0.976395,-0.989884,0,0.338226,0.976395,0
SPE00100541,0.990441,-0.395035,0,0.657742,0.990441,0
SPE00100686,0.995602,-0.186025,0,0.839784,0.995602,0
SPE00100458,1.01692,0.707633,0,0.479176,1.01692,0
SPE00100615,1.01979,0.827696,0,0.407906,1.01979,0
SPE00100576,1.03016,1.26429,0,0.222008,1.03016,0
SPE00100616,0.958512,-1.7367,0,0.0854772,0.958512,0
SPE00200012,0.964403,-1.49225,0,0.157584,0.964403,0
SPE00107023,0.973517,-1.11051,0,0.285526,0.973517,0
SPE00100424,0.976856,-0.964297,0,0.367168,0.976856,0
SPE00100698,0.995161,-0.204586,0,0.829088,0.995161,0
SPE00100525,1.00035,0.0185735,0,0.680776,1.00035,0
SPE00100551,1.01841,0.770957,0,0.443604,1.01841,0
SPE00100580,1.02267,0.948582,0,0.342952,1.02267,0
SPE00100719,0.914562,-3.57307,0,0.000357912,0.914562,0
SPE00201466,0.948969,-2.13695,0,0.0381738,0.948969,0
SPE00100432,0.959158,-1.70603,0,0.0957168,0.959158,0
SPE00107022,0.975695,-1.01875,0,0.319864,0.975695,0
SPE00100618,1.00883,0.37361,0,0.700564,1.00883,0
SPE00100550,1.02018,0.845999,0,0.406864,1.02018,0
SPE00100465,1.02425,1.01029,0,0.350874,1.02425,0
SPE00100582,1.0352,1.47939,0,0.230384,1.0352,0
SPE00201477,0.934736,-2.73232,0,0.00808104,0.934736,0
SPE00100434,0.966344,-1.4071,0,0.160135,0.966344,0
SPE00107093,0.978074,-0.919338,0,0.369928,0.978074,0
SPE00100688,0.987314,-0.535672,0,0.636666,0.987314,0
SPE00100620,0.991904,-0.337656,0,0.736826,0.991904,0
SPE00100475,1.00977,0.412291,0,0.697798,1.00977,0
SPE00100552,1.02123,0.890309,0,0.387008,1.02123,0
SPE00100583,1.05198,2.17411,0,0.0297066,1.05198,0
SPE00200002,0.896331,-4.33529,0,1.53973e-05,0.896331,0
SPE00201484,0.942184,-2.4208,0,0.0189965,0.942184,0
SPE00100435,0.970953,-1.21048,0,0.27017,0.970953,0
SPE00100731,0.998063,-0.0814022,0,0.935174,0.998063,0
SPE00100638,1.0028,0.120318,0,0.75499,1.0028,0
SPE00100489,1.00965,0.405965,0,0.692896,1.00965,0
SPE00100562,1.01869,0.780297,0,0.43899,1.01869,0
SPE00100584,1.02342,0.980157,0,0.328388,1.02342,0
SPE00201505,0.630984,-15.4353,0,0,0.630984,0
SPE00100439,0.963879,-1.51147,0,0.13159,0.963879,0
SPE00107015,0.982299,-0.739788,0,0.460118,0.982299,0
SPE00100646,0.988679,-0.472953,0,0.636804,0.988679,0
SPE00100520,0.993301,-0.282168,0,0.781934,0.993301,0
SPE00100492,1.00406,0.171608,0,0.862462,1.00406,0
SPE00100563,1.00843,0.352529,0,0.724442,1.00843,0
SPE00100585,1.02005,0.839653,0,0.40399,1.02005,0
SPE00201506,0.928008,-3.00696,0,0.005114,0.928008,0
SPE00102007,0.964499,-1.48316,0,0.143772,0.964499,0
SPE00100447,0.964883,-1.46598,0,0.158141,0.964883,0
SPE00100497,1.00786,0.331841,0,0.751648,1.00786,0
SPE00100650,1.00812,0.33964,0,0.734144,1.00812,0
SPE00100901,1.01291,0.536512,0,0.612646,1.01291,0
SPE00100586,1.01623,0.678461,0,0.497808,1.01623,0
SPE00100566,1.01797,0.752887,0,0.454722,1.01797,0
SPE00100529,0.92878,-2.9794,0,0.0029347,0.92878,0
SPE00201509,0.959549,-1.68793,0,0.116905,0.959549,0
SPE00107005,0.986225,-0.579253,0,0.580932,0.986225,0
SPE00100651,0.999336,-0.0267985,0,0.921876,0.999336,0
SPE00102035,1.00138,0.0560723,0,0.863772,1.00138,0
SPE00100595,1.01471,0.61742,0,0.54527,1.01471,0
SPE00100517,1.01479,0.617699,0,0.537762,1.01479,0
SPE00100567,1.01969,0.825299,0,0.414954,1.01969,0
SPE00300007,0.895328,-4.36956,0,0.000208256,0.895328,0
SPE00200833,0.930041,-2.92277,0,0.00532534,0.930041,0
SPE00200449,0.96235,-1.57444,0,0.11556,0.96235,0
SPE00200141,0.968755,-1.3056,0,0.195111,0.968755,0
SPE00211458,1.00176,0.0732258,0,0.94164,1.00176,0
SPE00300119,1.01188,0.500111,0,0.635642,1.01188,0
SPE00300531,1.01455,0.610618,0,0.55056,1.01455,0
SPE00300058,1.01944,0.816666,0,0.444356,1.01944,0
SPE00300012,0.941485,-2.44433,0,0.0193679,0.941485,0
SPE00200851,0.973816,-1.0912,0,0.311836,0.973816,0
SPE00200457,0.984469,-0.650391,0,0.516772,0.984469,0
SPE00300061,0.992858,-0.297895,0,0.766558,0.992858,0
SPE00200183,1.00042,0.0156355,0,0.848456,1.00042,0
SPE00200015,1.01095,0.458139,0,0.646854,1.01095,0
SPE00300132,1.02342,0.981988,0,0.339046,1.02342,0
SPE00300532,1.02972,1.24364,0,0.21406,1.02972,0
SPE00200255,0.0600345,-39.3187,0,0,0.0600345,0
SPE00300538,0.939822,-2.51499,0,0.0136498,0.939822,0
SPE00300018,0.967895,-1.34311,0,0.179428,0.967895,0
SPE00200873,0.968285,-1.3227,0,0.216982,0.968285,0
SPE00200463,0.984789,-0.638708,0,0.535806,0.984789,0
SPE00300101,1.00829,0.350188,0,0.732694,1.00829,0
SPE00200031,1.01128,0.468925,0,0.65381,1.01128,0
SPE00300133,1.02586,1.07924,0,0.291776,1.02586,0
SPE00200040,0.930051,-2.92862,0,0.00485148,0.930051,0
SPE00201066,0.958904,-1.71546,0,0.104665,0.958904,0
SPE00200484,0.960786,-1.64365,0,0.120527,0.960786,0
SPE00300021,0.97766,-0.93429,0,0.350174,0.97766,0
SPE00200191,1.00946,0.393965,0,0.698554,1.00946,0
SPE00300539,1.01808,0.758498,0,0.459862,1.01808,0
SPE00300104,1.02169,0.910568,0,0.391146,1.02169,0
SPE00300148,1.02795,1.16922,0,0.242342,1.02795,0
SPE00201067,0.881364,-4.96412,0,1.10387e-06,0.881364,0
SPE00300032,0.936155,-2.66846,0,0.00871622,0.936155,0
SPE00200488,0.96485,-1.46802,0,0.15125,0.96485,0
SPE00200243,0.980938,-0.801941,0,0.470604,0.980938,0
SPE00300157,0.99809,-0.0790387,0,0.932008,0.99809,0
SPE00200070,1.00493,0.208736,0,0.803594,1.00493,0
SPE00300105,1.02382,0.99666,0,0.319358,1.02382,0
SPE00300540,1.03694,1.545,0,0.122352,1.03694,0
SPE00201078,0.93191,-2.84457,0,0.00678706,0.93191,0
SPE00200640,0.9641,-1.50508,0,0.156057,0.9641,0
