supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100271,0.428916,-23.5348,0,0,0.428916,0
SPE00100194,0.971375,-1.1797,0,0.241602,0.971375,0
SPE00100126,0.978522,-0.885233,0,0.394278,0.978522,0
SPE00100016,0.989108,-0.448737,0,0.67739,0.989108,0
SPE00100094,0.990026,-0.411088,0,0.68618,0.990026,0
SPE00100002,0.990903,-0.374816,0,0.714218,0.990903,0
SPE00100305,0.993714,-0.259065,0,0.796226,0.993714,0
SPE00100058,1.01175,0.484362,0,0.630152,1.01175,0
SPE00100279,0.329548,-27.6298,0,0,0.329548,0
SPE00100310,0.980766,-0.792566,0,0.441526,0.980766,0
SPE00100129,0.989781,-0.421205,0,0.677818,0.989781,0
SPE00100003,0.992511,-0.30877,0,0.716548,0.992511,0
SPE00100195,0.997229,-0.114147,0,0.84751,0.997229,0
SPE00100060,0.99932,-0.028141,0,0.76786,0.99932,0
SPE00100096,1.01188,0.489601,0,0.637166,1.01188,0
SPE00100024,1.01257,0.517812,0,0.606902,1.01257,0
SPE00100280,0.914243,-3.5339,0,0.00128563,0.914243,0
SPE00100005,0.922325,-3.20095,0,0.00168867,0.922325,0
SPE00100315,0.978589,-0.882359,0,0.37774,0.978589,0
SPE00100201,0.983386,-0.684742,0,0.503394,0.983386,0
SPE00100139,0.988332,-0.480778,0,0.64029,0.988332,0
SPE00100098,0.992753,-0.298667,0,0.765204,0.992753,0
SPE00100031,0.998083,-0.0789442,0,0.876498,0.998083,0
SPE00100066,1.01351,0.556639,0,0.61356,1.01351,0
SPE00100287,0.20964,-32.5713,0,0,0.20964,0
SPE00100318,0.963027,-1.52331,0,0.306678,0.963027,0
SPE00100140,0.98272,-0.712232,0,0.499574,0.98272,0
SPE00100205,0.98755,-0.513165,0,0.618008,0.98755,0
SPE00100099,0.989297,-0.44097,0,0.671812,0.989297,0
SPE00100068,1.01436,0.591754,0,0.556,1.01436,0
SPE00100034,1.01491,0.614434,0,0.540468,1.01491,0
SPE00100006,1.01931,0.795998,0,0.431668,1.01931,0
SPE00100325,0.0561554,-38.8963,0,0,0.0561554,0
SPE00100101,0.894097,-4.36445,0,3.57402e-05,0.894097,0
SPE00100146,0.962613,-1.54086,0,0.146384,0.962613,0
SPE00100218,0.983331,-0.686905,0,0.492612,0.983331,0
SPE00100290,0.995563,-0.182934,0,0.82622,0.995563,0
SPE00100008,1.00394,0.162532,0,0.87113,1.00394,0
SPE00100047,1.0144,0.593338,0,0.553054,1.0144,0
SPE00100069,1.0319,1.31454,0,0.204614,1.0319,0
SPE00100009,0.864566,-5.58117,0,1.06375e-07,0.864566,0
SPE00100296,0.969282,-1.26597,0,0.21195,0.969282,0
SPE00100222,0.97576,-0.999031,0,0.329586,0.97576,0
SPE00100530,0.985568,-0.594801,0,0.55533,0.985568,0
SPE00100156,0.992019,-0.329063,0,0.695544,0.992019,0
SPE00100048,1.0069,0.284388,0,0.739758,1.0069,0
SPE00100102,1.00772,0.318098,0,0.75228,1.00772,0
SPE00100076,1.02155,0.888154,0,0.40038,1.02155,0
SPE00240645,0.880632,-4.91888,0,5.01396e-05,0.880632,0
SPE00100531,0.959296,-1.67749,0,0.0962786,0.959296,0
SPE00100223,0.979477,-0.846002,0,0.49113,0.979477,0
SPE00100298,0.984065,-0.656676,0,0.511624,0.984065,0
SPE00100158,1.00653,0.269022,0,0.737328,1.00653,0
SPE00100103,1.0125,0.514978,0,0.595048,1.0125,0
SPE00100049,1.01449,0.597137,0,0.577786,1.01449,0
SPE00100081,1.01945,0.801698,0,0.425308,1.01945,0
SPE00100301,0.0842801,-37.7373,0,0,0.0842801,0
SPE00100242,0.946616,-2.20007,0,0.032946,0.946616,0
SPE00100359,0.98772,-0.505971,0,0.622752,0.98772,0
SPE00100162,0.995696,-0.177493,0,0.725528,0.995696,0
SPE00100012,0.997011,-0.122945,0,0.476542,0.997011,0
SPE00100050,1.00467,0.192406,0,0.740668,1.00467,0
SPE00100088,1.00872,0.359393,0,0.71942,1.00872,0
SPE00100105,1.01045,0.430527,0,0.667208,1.01045,0
SPE00100303,0.977432,-0.929942,0,0.376348,0.977432,0
SPE00100254,0.980078,-0.820929,0,0.416998,0.980078,0
SPE00100013,0.991186,-0.363352,0,0.729772,0.991186,0
SPE00100360,0.991895,-0.333948,0,0.7428,0.991895,0
SPE00100173,0.998135,-0.0769865,0,0.713606,0.998135,0
SPE00100054,1.00401,0.165376,0,0.851606,1.00401,0
SPE00100114,1.00824,0.339697,0,0.734134,1.00824,0
SPE00100090,1.03249,1.339,0,0.188881,1.03249,0
SPE00100368,0.972919,-1.11602,0,0.264442,0.972919,0
SPE00100014,0.977633,-0.921694,0,0.366754,0.977633,0
SPE00100093,0.987052,-0.533622,0,0.594378,0.987052,0
SPE00100304,0.993418,-0.271221,0,0.78671,0.993418,0
SPE00100190,0.999775,-0.00931275,0,0.871838,0.999775,0
SPE00100056,1.00739,0.30456,0,0.760962,1.00739,0
SPE00100267,1.01211,0.498919,0,0.623748,1.01211,0
SPE00100117,1.01399,0.576356,0,0.570404,1.01399,0
SPE00100537,0.0986172,-37.1464,0,0,0.0986172,0
SPE00100609,0.908281,-3.77963,0,0.000464284,0.908281,0
SPE00102018,0.928073,-2.96403,0,0.00539924,0.928073,0
SPE00100528,0.93073,-2.8546,0,0.00514272,0.93073,0
SPE01500420,0.969342,-1.26339,0,0.212564,0.969342,0
SPE00200004,0.980408,-0.807523,0,0.441612,0.980408,0
SPE00100375,0.994901,-0.209857,0,0.403966,0.994901,0
SPE00100568,1.01129,0.465094,0,0.642134,1.01129,0
SPE00100540,0.513791,-20.037,0,0,0.513791,0
SPE00201606,0.60172,-16.4131,0,0,0.60172,0
SPE00102076,0.735514,-10.8997,0,2.31056e-26,0.735514,0
SPE00100612,0.828497,-7.0679,0,3.47478e-11,0.828497,0
SPE00100682,0.982937,-0.703063,0,0.505712,0.982937,0
SPE00100572,0.998572,-0.0588157,0,0.953176,0.998572,0
SPE00100378,1.00234,0.0965126,0,0.905874,1.00234,0
SPE00100455,1.00953,0.392856,0,0.702026,1.00953,0
SPE00100541,0.912166,-3.61965,0,0.000316556,0.912166,0
SPE00200010,0.976992,-0.948355,0,0.408262,0.976992,0
SPE00100423,0.984112,-0.654742,0,0.512636,0.984112,0
SPE00102058,0.984532,-0.637533,0,0.541108,0.984532,0
SPE00100686,0.989275,-0.441931,0,0.661706,0.989275,0
SPE00100458,0.999646,-0.0146738,0,0.799288,0.999646,0
SPE00100615,1.00636,0.262124,0,0.793958,1.00636,0
SPE00100576,1.01517,0.62523,0,0.549878,1.01517,0
SPE00100616,0.943996,-2.30808,0,0.0303728,0.943996,0
SPE00200012,0.981246,-0.772767,0,0.456388,0.981246,0
SPE00107023,0.992456,-0.310829,0,0.757978,0.992456,0
SPE00100580,0.99329,-0.276567,0,0.783502,0.99329,0
SPE00100551,0.993884,-0.252023,0,0.801994,0.993884,0
SPE00100698,0.995024,-0.204945,0,0.750876,0.995024,0
SPE00100525,0.998432,-0.0646105,0,0.948488,0.998432,0
SPE00100424,1.02559,1.05444,0,0.308368,1.02559,0
SPE00100719,0.878959,-4.9883,0,2.09846e-06,0.878959,0
SPE00100582,0.946144,-2.21969,0,0.0671672,0.946144,0
SPE00201466,0.974701,-1.0427,0,0.318618,0.974701,0
SPE00100618,0.985024,-0.61733,0,0.57717,0.985024,0
SPE00107022,0.986865,-0.541341,0,0.589052,0.986865,0
SPE00100432,1.00557,0.229451,0,0.81852,1.00557,0
SPE00100465,1.01298,0.534972,0,0.624578,1.01298,0
SPE00100550,1.01908,0.786369,0,0.434034,1.01908,0
SPE00201477,0.779863,-9.07218,0,2.027e-17,0.779863,0
SPE00107093,0.935934,-2.64043,0,0.0276696,0.935934,0
SPE00100688,0.973523,-1.09119,0,0.286388,0.973523,0
SPE00100620,0.988333,-0.480756,0,0.636094,0.988333,0
SPE00100434,1.00188,0.077411,0,0.87159,1.00188,0
SPE00100475,1.0026,0.107194,0,0.878164,1.0026,0
SPE00100583,1.01009,0.415806,0,0.686816,1.01009,0
SPE00100552,1.02075,0.855223,0,0.394048,1.02075,0
SPE00200002,0.897519,-4.22329,0,2.43292e-05,0.897519,0
SPE00100731,0.975337,-1.01653,0,0.348234,0.975337,0
SPE00201484,0.978535,-0.884714,0,0.419646,0.978535,0
SPE00100638,0.990233,-0.402472,0,0.690248,0.990233,0
SPE00100584,1.00418,0.172271,0,0.863224,1.00418,0
SPE00100435,1.00496,0.204558,0,0.838006,1.00496,0
SPE00100562,1.00855,0.352331,0,0.728512,1.00855,0
SPE00100489,1.01107,0.456014,0,0.648558,1.01107,0
SPE00201505,0.818496,-7.48016,0,1.04686e-11,0.818496,0
SPE00100520,0.968579,-1.29487,0,0.195368,0.968579,0
SPE00100646,0.975487,-1.01013,0,0.322146,0.975487,0
SPE00107015,0.99582,-0.172356,0,0.789386,0.99582,0
SPE00100439,1.00461,0.18999,0,0.710946,1.00461,0
SPE00100492,1.00534,0.219918,0,0.712454,1.00534,0
SPE00100563,1.00854,0.352182,0,0.732034,1.00854,0
SPE00100585,1.00969,0.399089,0,0.691936,1.00969,0
SPE00201506,0.570506,-17.6997,0,0,0.570506,0
SPE00102007,0.913177,-3.57805,0,0.000388238,0.913177,0
SPE00100901,0.969804,-1.24426,0,0.237166,0.969804,0
SPE00100650,0.984897,-0.622517,0,0.550958,0.984897,0
SPE00100447,0.992839,-0.295101,0,0.768056,0.992839,0
SPE00100586,0.998734,-0.052183,0,0.958396,0.998734,0
SPE00100566,1.02324,0.957869,0,0.37458,1.02324,0
SPE00100497,1.02626,1.08247,0,0.314882,1.02626,0
SPE00100529,0.911001,-3.66762,0,0.000344726,0.911001,0
SPE00201509,0.987379,-0.520147,0,0.603902,0.987379,0
SPE00102035,0.989874,-0.417343,0,0.677322,0.989874,0
SPE00100651,0.991313,-0.357937,0,0.722946,0.991313,0
SPE00107005,0.994419,-0.229983,0,0.818112,0.994419,0
SPE00100567,1.00297,0.122446,0,0.9027,1.00297,0
SPE00100517,1.00697,0.287063,0,0.780676,1.00697,0
SPE00100595,1.01588,0.654715,0,0.535412,1.01588,0
SPE00200833,0.946177,-2.21811,0,0.0283542,0.946177,0
SPE00200141,0.949196,-2.09364,0,0.0364346,0.949196,0
SPE00300007,0.966636,-1.37509,0,0.215726,0.966636,0
SPE00200449,0.969979,-1.23705,0,0.247826,0.969979,0
SPE00300058,0.995358,-0.191373,0,0.850222,0.995358,0
SPE00211458,1.00885,0.364909,0,0.71677,1.00885,0
SPE00300531,1.03362,1.38581,0,0.188585,1.03362,0
SPE00300119,1.04636,1.91076,0,0.066042,1.04636,0
SPE00200183,0.950775,-2.02871,0,0.0530292,0.950775,0
SPE00300012,0.97401,-1.07117,0,0.31126,0.97401,0
SPE00200457,0.9936,-0.263916,0,0.671566,0.9936,0
SPE00200851,0.99544,-0.188,0,0.850634,0.99544,0
SPE00300061,1.00877,0.36153,0,0.711166,1.00877,0
SPE00200015,1.01153,0.475061,0,0.639548,1.01153,0
SPE00300532,1.02658,1.09546,0,0.276654,1.02658,0
SPE00300132,1.0327,1.34732,0,0.197767,1.0327,0
SPE00200255,0.10767,-36.7734,0,0,0.10767,0
SPE00300538,0.758755,-9.94196,0,3.83192e-22,0.758755,0
SPE00200463,0.974579,-1.04759,0,0.29526,0.974579,0
SPE00200031,0.985499,-0.597644,0,0.55193,0.985499,0
SPE00200873,0.998248,-0.0722369,0,0.942522,0.998248,0
SPE00300133,1.00344,0.141725,0,0.820636,1.00344,0
SPE00300101,1.00929,0.382685,0,0.703216,1.00929,0
SPE00300018,1.0149,0.61412,0,0.559344,1.0149,0
SPE00200484,0.93256,-2.7793,0,0.00644248,0.93256,0
SPE00201066,0.977137,-0.94231,0,0.367786,0.977137,0
SPE00200040,0.983741,-0.670031,0,0.504638,0.983741,0
SPE00200191,0.992885,-0.293188,0,0.771196,0.992885,0
SPE00300104,1.00716,0.295116,0,0.768964,1.00716,0
SPE00300021,1.01162,0.478725,0,0.641008,1.01162,0
SPE00300539,1.02303,0.949052,0,0.346684,1.02303,0
SPE00300148,1.02491,1.02658,0,0.382704,1.02491,0
SPE00201067,0.805186,-8.0285,0,9.05024e-15,0.805186,0
SPE00300032,0.957239,-1.76212,0,0.0912922,0.957239,0
SPE00300157,0.967272,-1.34886,0,0.202044,0.967272,0
SPE00200070,0.974712,-1.04228,0,0.350212,0.974712,0
SPE00200488,0.988671,-0.466854,0,0.641476,0.988671,0
SPE00200243,1.00528,0.217953,0,0.436642,1.00528,0
SPE00300540,1.0213,0.877646,0,0.410414,1.0213,0
SPE00300105,1.02262,0.932029,0,0.35136,1.02262,0
SPE00200107,0.8912,-4.48345,0,8.63358e-05,0.8912,0
SPE00200412,0.978097,-0.902634,0,0.366732,0.978097,0
SPE00201078,0.982525,-0.720057,0,0.487818,0.982525,0
SPE00200640,0.987508,-0.514456,0,0.380396,0.987508,0
SPE00300006,1.004,0.165061,0,0.869252,1.004,0
SPE00300542,1.01075,0.442896,0,0.660504,1.01075,0
SPE00300160,1.01558,0.642137,0,0.544448,1.01558,0
