supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00330001,0.94313,-1.52784,0,0.126553,0.94313,8.35
SPE01501203,0.943853,-1.4858,0,0.137333,0.943853,8.83
SPE01505706,0.948739,-1.20156,0,0.229536,0.948739,7.88
SPE01500223,0.956614,-0.743517,0,0.45717,0.956614,6.46
SPE01500131,0.96655,-0.165507,0,0.868544,0.96655,5.51
SPE01500801,0.970014,0.0359708,0,0.971306,0.970014,5.27
SPE01503009,0.979593,0.593168,0,0.553068,0.979593,4.8
SPE01503968,1.00545,2.09731,0,0.0359658,1.00545,1.84
SPE01300043,0.939156,-1.75898,0,0.0785812,0.939156,8.23
SPE01503134,0.950827,-1.08009,0,0.280102,0.950827,6.81
SPE01500807,0.952415,-0.987725,0,0.323288,0.952415,6.1
SPE01505482,0.953709,-0.912451,0,0.361532,0.953709,6.22
SPE01500134,0.954611,-0.859995,0,0.389792,0.954611,5.75
SPE01505430,0.956773,-0.734243,0,0.4628,0.956773,5.75
SPE01503977,0.977535,0.473462,0,0.635884,0.977535,3.73
SPE01500224,0.98153,0.705811,0,0.480306,0.98153,2.67
SPE01504008,0.0864231,-51.3609,0,0,0.0864231,101.84
SPE01503216,0.939529,-1.73732,0,0.0823312,0.939529,7.17
SPE01500839,0.949785,-1.14072,0,0.253988,0.949785,6.1
SPE01500246,0.953019,-0.952605,0,0.34079,0.953019,5.27
SPE01500143,0.955737,-0.794484,0,0.426914,0.955737,5.04
SPE00330002,0.956915,-0.725977,0,0.467852,0.956915,5.04
SPE01505672,0.986301,0.983343,0,0.325438,0.986301,1.84
SPE01504105,1,1.7802,0,0.075044,1,0.18
SPE01503692,0.183691,-45.703,0,0,0.183691,90.94
SPE01505707,0.935599,-1.96592,0,0.0493084,0.935599,7.05
SPE01501205,0.950361,-1.10722,0,0.268198,0.950361,5.51
SPE01503228,0.954178,-0.885167,0,0.376066,0.954178,5.04
SPE01500667,0.959727,-0.562435,0,0.57382,0.959727,4.32
SPE01500155,0.96061,-0.511025,0,0.609334,0.96061,4.21
SPE01504078,0.962358,-0.409369,0,0.682268,0.962358,4.09
SPE01500247,0.966725,-0.155329,0,0.876562,0.966725,3.5
SPE01502202,0.917574,-3.01439,0,0.00257498,0.917574,8.95
SPE01505249,0.934623,-2.02269,0,0.0431052,0.934623,6.93
